Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.76,+0.7%,32502578811,2.80,2.69,2.74,2.96
Pyerite,7.00,+1.2%,8840026176,7.13,6.77,6.52,7.51
Mexallon,28.61,-0.2%,2371851611,28.99,27.60,27.20,30.89
Isogen,54.27,-1.0%,386207544,54.91,52.82,53.30,55.92
Nocxium,86.76,-0.7%,145777756,86.13,88.33,87.28,82.33
Zydrine,1160.89,+7.9%,23034063,1147.75,1179.96,1363.06,1168.62
Megacyte,2012.45,-1.1%,11585985,2003.48,2009.10,2279.04,2109.47
Morphite,5082.79,-13.8%,795307,5210.66,4630.78,7255.27,5041.33
,,,,,,,
Fuel,,,,,,,
Coolant,1180.23,-0.0%,3586449,1111.19,1344.04,2136.80,1192.34
Enriched Uranium,5384.25,+9.4%,1643834,5466.89,5289.74,5295.37,5300.57
Heavy Water,19.80,+9.7%,42532606,19.28,20.06,34.44,22.32
Helium Isotopes,402.60,-4.0%,14882807,386.48,472.43,451.84,364.41
Hydrogen Isotopes,437.29,-1.9%,141070927,444.61,430.50,434.35,480.30
Nitrogen Isotopes,474.51,+5.9%,18606487,459.05,491.78,568.24,418.39
Oxygen Isotopes,506.21,-0.8%,21896445,503.95,501.96,557.28,459.23
Liquid Ozone,390.86,+6.8%,29157850,413.91,368.63,426.95,357.76
Mechanical Parts,625.75,-0.7%,4157144,641.74,620.73,590.99,660.32
Oxygen,106.56,-2.3%,14096974,109.25,104.05,102.42,117.41
Robotics,6881.69,+0.6%,688342,6956.46,6812.89,7000.00,6932.46
Strontium Clathrates,1022.12,+3.4%,2062978,1049.18,912.76,1677.99,884.24
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,136241.12,-0.1%,134625,135466.37,138102.65,137106.77,144787.61
Armor Plates,198462.16,-2.1%,108007,198971.90,196598.29,199108.14,203321.95
Broken Drone Transceiver,120.02,+6.0%,87712,130.78,98.32,100.00,140.34
Burned Logic Circuit,30322.42,+3.2%,436826,30956.97,28464.94,30712.24,31632.24
