Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.73,-0.1%,29611011135,2.78,2.70,2.48,2.94
Pyerite,6.93,-0.9%,7266536122,7.05,6.80,6.61,7.43
Mexallon,28.06,-1.7%,2026780794,28.75,27.03,26.71,30.55
Isogen,54.03,-0.0%,343852490,55.00,52.42,52.52,55.51
Nocxium,82.73,+2.4%,102671633,83.31,81.81,82.29,80.28
Zydrine,1165.91,-0.1%,25789431,1152.11,1198.44,1214.35,1111.69
Megacyte,2056.53,-1.9%,9238268,2045.03,2114.55,1971.65,2053.27
Morphite,4991.57,-2.4%,822833,4937.83,5051.75,5362.60,4763.60
,,,,,,,
Fuel,,,,,,,
Coolant,1171.26,-6.0%,3920353,1113.56,1270.96,2061.68,1239.20
Enriched Uranium,5343.43,-4.2%,1856505,5449.65,5310.04,4832.33,5300.01
Heavy Water,19.27,+2.6%,39499355,19.97,16.34,22.76,20.87
Helium Isotopes,378.89,-1.3%,19435245,368.43,436.84,437.27,365.46
Hydrogen Isotopes,425.26,-2.0%,118365214,435.76,419.94,402.42,458.18
Nitrogen Isotopes,491.62,+0.9%,23413338,485.58,490.38,549.24,420.66
Oxygen Isotopes,450.47,-3.7%,18497031,422.78,492.84,556.23,409.18
Liquid Ozone,364.70,-4.9%,29750961,360.20,380.65,338.31,302.43
Mechanical Parts,627.63,-1.4%,3543691,674.51,609.41,575.49,643.80
Oxygen,106.35,+3.9%,14183406,109.25,100.51,119.34,116.39
Robotics,6906.01,-0.1%,702244,6931.41,6868.87,7000.00,6917.30
Strontium Clathrates,909.60,-13.4%,2078200,1001.03,736.34,944.86,814.13
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,136955.07,-1.7%,143125,137437.74,136558.50,134069.58,140461.47
Armor Plates,202445.10,+1.2%,121932,205720.67,191595.74,197413.03,204929.43
Broken Drone Transceiver,98.23,-1.5%,83330,96.09,105.67,100.01,143.14
Burned Logic Circuit,29811.38,-1.8%,465360,29949.10,29121.17,30305.69,31032.95
Charred Micro Circuit,129.75,-29.0%,433151,126.23,126.18,151.38,292.31
Conductive Polymer,132.31,+1.7%,47058,135.35,150.01,100.01,116.03
Contaminated Lorentz Fluid,161.03,-4.7%,78207,180.16,75.33,100.01,223.42
Contaminated Nanite Compound,2768.92,-8.5%,134515,2909.68,1852.77,2860.77,3001.03
Damaged Artificial Neural Network,276.00,+3.0%,48033,258.95,273.48,400.00,300.41
Defective Current Pump,203.52,-13.4%,49368,218.78,181.36,101.01,274.68
Fried Interface Circuit,3922.27,-0.2%,450481,3989.01,3422.54,4185.82,3919.50
Malfunctioning Shield Emitter,204.12,-0.7%,82405,200.03,302.20,100.00,419.54
Melted Capacitor Console,88581.23,-4.3%,30867,85189.85,87979.34,116953.83,84391.66
Scorched Telemetry Processor,324.62,-25.5%,98374,298.95,630.28,120.00,156.76
Smashed Trigger Unit,119.60,-8.4%,226326,120.01,126.11,100.00,128.19
Tangled Power Conduit,441.49,+24.3%,105910,476.64,417.05,264.54,232.41
Thruster Console,139.77,+0.5%,92103,142.13,158.73,100.01,187.15
Tripped Power Circuit,38236.47,+0.6%,447673,38431.52,37023.06,38563.79,39377.78
Ward Console,21751.12,-2.9%,42753,20547.27,28209.42,20934.93,19173.83
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,131239.74,+3.5%,1408,129144.39,180218.75,0.00,120422.19
Datacore - Caldari Starship Engineering,172745.27,-8.3%,1410,186879.28,144350.30,0.00,0.00
Datacore - Electromagnetic Physics,80801.49,-12.0%,3033,75772.16,121445.17,10000.00,0.00
Datacore - Electronic Engineering,262049.01,+11.5%,7646,272054.51,241649.85,101000.00,231916.93
Datacore - Gallentean Starship Engineering,194322.35,+3.6%,3772,191162.48,211024.27,250000.00,208328.25
Datacore - Graviton Physics,110515.62,+76.3%,1918,102354.38,127783.40,0.00,91488.98
Datacore - High Energy Physics,191560.65,-28.1%,3020,208205.99,161276.01,0.00,0.00
Datacore - Hydromagnetic Physics,531417.34,-4.3%,1804,518769.51,545741.38,0.00,0.00
Datacore - Laser Physics,140906.67,+2.2%,1267,150000.00,127013.00,0.00,113566.38
Datacore - Mechanical Engineering,328467.57,+11.0%,24930,381561.91,306978.51,347402.03,357290.43
Datacore - Minmatar Starship Engineering,303108.34,+7.9%,8015,352274.47,270314.54,398666.68,0.00
Datacore - Molecular Engineering,360244.06,-1.4%,2747,378610.75,334565.52,0.00,0.00
Datacore - Nanite Engineering,239503.75,-14.8%,2335,244308.42,227215.53,0.00,0.00
