Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.74,+1.2%,25889541906,2.77,2.65,2.72,2.86
Pyerite,6.78,+0.9%,6429717475,6.85,6.58,6.61,7.12
Mexallon,29.07,+1.0%,2266229669,29.29,28.52,28.03,30.52
Isogen,52.92,-0.5%,288819011,53.25,51.76,50.58,52.66
Nocxium,88.53,-1.5%,92948035,89.20,87.31,100.15,85.45
Zydrine,1424.10,+2.0%,17613157,1435.41,1357.86,1582.42,1414.45
Megacyte,2753.33,-2.2%,10098419,2756.22,2738.45,2903.96,2751.66
Morphite,6083.08,+0.1%,671367,6090.78,5644.18,7495.67,6040.68
,,,,,,,
Fuel,,,,,,,
Coolant,1146.06,+2.4%,2830016,1119.22,1400.00,1888.64,1232.54
Enriched Uranium,5236.80,+2.7%,899122,5267.58,5300.00,5005.38,5300.58
Heavy Water,19.18,+8.6%,23170634,19.30,18.92,23.57,21.36
Helium Isotopes,413.42,-3.2%,9075513,412.88,428.71,427.92,382.49
Hydrogen Isotopes,378.45,-2.1%,79272381,384.48,372.29,357.07,402.13
Nitrogen Isotopes,449.23,+2.7%,19764665,444.79,492.93,474.97,393.20
Oxygen Isotopes,427.68,+1.4%,17113412,414.93,439.99,583.21,394.30
Liquid Ozone,323.99,+13.7%,21575407,321.66,321.30,379.94,284.05
Mechanical Parts,618.22,+0.6%,1245639,614.51,635.88,573.97,646.79
Oxygen,112.51,+7.8%,5501429,109.25,142.00,142.00,134.13
Robotics,6350.39,+9.1%,783875,6954.73,6058.47,7000.00,6932.20
Strontium Clathrates,871.29,+4.8%,1174943,860.85,950.00,992.49,834.92
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,136532.27,+0.8%,89320,137491.12,130511.64,136604.05,143357.96
Armor Plates,206301.77,+0.3%,87396,208555.10,195881.26,200000.00,213111.37
Broken Drone Transceiver,97.37,+3.7%,43958,96.94,98.31,110.46,150.35
Burned Logic Circuit,30055.14,+1.7%,297637,30421.51,28450.34,30000.00,32524.48
Charred Micro Circuit,129.67,-3.1%,286115,131.38,95.00,112.78,299.60
Conductive Polymer,134.04,-1.8%,24599,135.65,122.54,100.00,128.58
Contaminated Lorentz Fluid,176.71,-3.0%,43948,181.96,83.13,100.00,181.60
Contaminated Nanite Compound,2984.55,-3.7%,85155,3026.15,2000.00,3000.00,3162.20
Damaged Artificial Neural Network,452.10,+10.6%,48548,263.26,258.07,700.00,331.73
Defective Current Pump,188.47,-2.5%,21944,191.27,153.37,123.14,255.37
Fried Interface Circuit,3983.69,+4.2%,313384,3958.54,4015.23,4388.06,4107.57
Malfunctioning Shield Emitter,245.83,-6.9%,45449,246.83,302.20,170.06,233.05
Melted Capacitor Console,85555.21,-0.5%,32189,85522.51,85206.28,88000.01,81257.72
Scorched Telemetry Processor,141.67,+1.2%,32965,140.20,125.28,180.87,202.20
Smashed Trigger Unit,98.91,+9.4%,119808,97.20,132.13,100.00,121.19
Tangled Power Conduit,234.02,+11.0%,24719,229.15,450.00,216.41,264.84
Thruster Console,235.28,-56.8%,173174,237.92,160.10,100.00,220.42
Tripped Power Circuit,40843.88,+0.3%,277342,41326.09,37583.85,40466.76,42144.11
Ward Console,22266.29,-0.5%,87501,22351.67,20048.22,20000.00,19633.18
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,150253.91,+28.0%,1725,150253.91,0.00,0.00,132608.93
Datacore - Caldari Starship Engineering,171101.32,-1.2%,1005,178260.37,159999.33,0.00,142855.71
Datacore - Electromagnetic Physics,92962.38,+6.5%,734,92610.33,116101.82,0.00,95734.95
Datacore - Electronic Engineering,272853.31,+6.5%,4716,271804.08,366961.31,0.00,241114.10
Datacore - Gallentean Starship Engineering,205694.91,+7.2%,2823,203234.45,318998.98,0.00,201379.06
Datacore - Graviton Physics,98418.42,+30.0%,593,97816.84,111537.60,0.00,104199.62
Datacore - High Energy Physics,177095.65,-0.4%,868,178265.10,170456.77,0.00,193791.18
Datacore - Hydromagnetic Physics,491759.44,+5.5%,1494,489142.39,600853.31,0.00,447628.30
Datacore - Laser Physics,174213.70,-4.4%,672,174098.78,177960.03,0.00,120381.11
Datacore - Mechanical Engineering,405522.81,-3.4%,12960,410188.27,390000.00,315419.38,418769.03
Datacore - Minmatar Starship Engineering,447286.54,-9.2%,5039,455741.91,350004.00,300000.00,440443.38
Datacore - Molecular Engineering,346175.72,+1.7%,1343,345193.54,357999.98,0.00,321766.58
Datacore - Nanite Engineering,241465.49,+29.2%,1794,237204.96,447221.45,320000.00,194077.63
Datacore - Nuclear Physics,309779.59,+1.9%,2622,309693.90,315340.36,151000.00,324703.67
