Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.25,+0.3%,25338977554,2.28,2.20,2.12,2.43
Pyerite,4.03,-2.7%,5637439866,4.07,3.96,4.07,4.27
Mexallon,32.60,+0.8%,1708846080,32.62,32.59,29.36,35.62
Isogen,58.30,-0.7%,276078337,59.39,55.62,48.73,61.54
Nocxium,127.22,+11.8%,73292196,138.04,115.53,154.15,139.62
Zydrine,1050.23,+2.7%,20971989,1049.72,1051.46,1124.80,1021.63
Megacyte,2321.77,-4.3%,9325060,2320.31,2323.33,2386.16,2321.74
Morphite,3825.92,+22.7%,354828,4117.61,3554.99,3400.50,4136.82
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,111522.44,-3.7%,140646,112113.89,112324.21,101872.82,110405.01
Armor Plates,242309.55,-4.3%,95092,246440.13,229712.42,227287.94,248851.22
Broken Drone Transceiver,105.44,-4.9%,54656,100.26,120.19,11.79,175.01
Burned Logic Circuit,29489.27,-5.7%,353107,30002.23,28394.65,26698.32,30155.87
Charred Micro Circuit,142.90,-42.6%,386013,136.58,180.94,151.21,301.93
Conductive Polymer,138.62,-24.2%,24701,150.10,101.57,82.32,182.21
Contaminated Lorentz Fluid,205.40,+4.7%,92348,215.00,102.29,15.23,192.16
Contaminated Nanite Compound,2197.91,-15.8%,105852,2371.01,1393.03,1793.05,2394.87
Damaged Artificial Neural Network,261.70,-41.9%,118028,266.34,187.16,28.45,217.76
Defective Current Pump,149.55,-2.5%,25813,158.54,79.00,10.04,214.92
Fried Interface Circuit,4165.86,-7.3%,479681,4225.70,3912.69,3030.12,4119.87
Malfunctioning Shield Emitter,143.94,+17.6%,88746,144.56,137.77,144.01,295.87
Melted Capacitor Console,131218.32,-0.1%,32791,131748.32,128597.37,107712.51,127055.57
Scorched Telemetry Processor,94.51,-46.7%,18436,112.95,50.27,25.00,191.81
Smashed Trigger Unit,89.42,-46.6%,142514,103.00,57.25,14.45,168.91
Tangled Power Conduit,303.72,+64.6%,17361,242.83,64.20,1790.96,220.01
Thruster Console,87.47,+14.3%,76410,86.06,100.05,10.31,210.90
Tripped Power Circuit,71580.63,-7.9%,365815,73025.66,68828.48,64441.05,73381.46
Ward Console,27655.40,+1.3%,12787,26076.17,30679.24,24190.98,26707.03
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6738.46,-11.0%,2126,6419.28,6738.46,3065.55,4258.76
Capacitor Console,20552855.01,+2.4%,131,21047010.44,20373743.04,15842353.37,23290456.72
Conductive Thermoplastic,81708.79,+22.4%,401,32177.96,107196.96,6281.09,20593.66
Current Pump,20013.72,-84.0%,89,21025.65,3079.24,3223.68,46767.81
Drone Transceiver,3045.88,-67.2%,68,3695.81,2998.06,2001.18,2880.42
Enhanced Ward Console,16902198.95,-40.2%,61,15765046.91,17625057.01,11931627.65,15249899.57
Impetus Console,6699.59,-97.0%,54,10965.89,6699.59,5012.28,20127.31
Intact Armor Plates,24013361.44,+5.2%,148,24122569.16,22960369.10,17797830.84,27401282.40
Intact Shield Emitter,595344.65,-91.6%,122,611015.46,392280.66,307500.75,777824.46
Interface Circuit,180953.47,-81.3%,504,93639.20,180953.47,37333.78,93440.06
Logic Circuit,163071.54,+16.5%,643,190818.47,128268.22,265474.05,148126.63
Lorentz Fluid,1717.32,-82.5%,216,3025.03,206.76,3981.35,3423.63
Micro Circuit,4416.25,-93.6%,186,4609.58,4416.25,9200.16,5829.86
Nanite Compound,102353.34,-98.0%,38,35751.31,102353.34,24368.43,46667.20
Power Circuit,1501577.34,-33.4%,232,1200594.59,1501577.34,1635599.65,1570644.49
Power Conduit,20588.27,+65.1%,226,25011.15,9419.75,19932.84,44611.24
Single-crystal Superalloy I-beam,5675454.01,+2.2%,58,5972167.49,5588573.19,3404301.21,5863166.77
Telemetry Processor,109471.36,-97.5%,342,99695.34,156694.54,8546.61,69813.39
Trigger Unit,73508.22,-99.3%,55,54533.53,73508.22,5525.01,39571.56
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,339.83,-1.7%,14295865,333.40,407.63,420.21,347.61
Hydrogen Isotopes,309.69,+7.8%,72089400,310.42,308.50,311.38,327.87
Nitrogen Isotopes,311.87,-0.7%,17387487,309.60,342.34,370.64,291.38
Oxygen Isotopes,348.07,-5.2%,15034451,339.31,386.02,432.81,323.68
Heavy Water,17.70,+20.5%,32100847,21.42,15.12,21.00,21.24
Liquid Ozone,230.63,+10.5%,11481999,230.14,231.78,259.56,207.36
Strontium Clathrates,321.14,-0.4%,1049104,338.54,224.19,1193.93,306.35
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,14644.87,-18.1%,927638,14229.46,15721.58,14362.56,14337.85
Enriched Uranium,8518.98,-16.6%,593734,8424.40,8152.11,11533.63,8500.66
Mechanical Parts,8564.34,+40.1%,793008,7182.76,13485.15,5182.88,6930.49
Oxygen,229.50,-4.1%,6516683,221.92,250.43,195.57,305.00
Robotics,30996.65,+2.2%,285705,30851.31,30392.19,26807.26,30828.02
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,149168.35,-6.1%,0,188136.25,240873.11,90187.02,149168.35
Datacore - Caldari Starship Engineering,97245.56,+88.1%,0,199782.74,161988.27,173844.25,97245.56
Datacore - Electromagnetic Physics,50971.61,+19.7%,0,71483.78,63889.49,191699.04,50971.61
Datacore - Electronic Engineering,223452.62,+18.6%,0,256819.49,264308.24,211278.46,223452.62
Datacore - Gallentean Starship Engineering,122960.85,+12.0%,0,148874.15,131463.82,199974.44,122960.85
Datacore - Graviton Physics,123082.50,+21.9%,1454,123082.50,120820.23,188048.08,88201.54
Datacore - High Energy Physics,153337.12,-36.1%,0,142238.00,120026.51,189008.62,153337.12
Datacore - Hydromagnetic Physics,231929.27,+5.6%,0,228013.39,249780.39,286414.33,231929.27
Datacore - Laser Physics,107538.90,+35.9%,0,145901.16,174442.77,211111.11,107538.90
Datacore - Mechanical Engineering,335640.31,+2.4%,17746,335640.31,317969.90,353933.33,370995.59
Datacore - Minmatar Starship Engineering,374770.36,+0.0%,4005,374770.36,298053.62,324948.59,388327.02
Datacore - Molecular Engineering,193513.25,+20.5%,0,210099.16,208728.58,215135.12,193513.25
Datacore - Nanite Engineering,160705.69,-0.4%,0,197789.59,182730.86,175516.17,160705.69
Datacore - Nuclear Physics,329547.09,-33.2%,0,290089.08,226290.03,329637.64,329547.09
