Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.29,-0.2%,28081000665,2.33,2.19,2.29,2.49
Pyerite,4.29,+1.3%,6814741595,4.33,4.20,4.62,4.60
Mexallon,31.11,+2.9%,1827360963,31.49,30.19,27.29,34.53
Isogen,54.44,-0.6%,243644464,55.93,51.44,52.70,58.06
Nocxium,144.50,-3.5%,90895795,144.29,144.96,133.79,139.02
Zydrine,1082.90,+5.5%,22429705,1095.88,1048.43,1141.55,1053.89
Megacyte,2325.62,-11.1%,8943920,2332.01,2280.23,2095.30,2235.44
Morphite,4176.67,+2.6%,365224,4170.43,3917.35,4026.13,3770.89
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,116981.00,-1.1%,113858,115850.16,121135.09,115637.12,91643.53
Armor Plates,233711.38,-1.1%,91247,235194.57,223263.17,207889.76,238426.40
Broken Drone Transceiver,100.82,+2.4%,48296,103.25,34.32,104.42,215.60
Burned Logic Circuit,29377.80,-1.3%,348550,29627.32,27274.17,23816.31,30146.93
Charred Micro Circuit,150.76,+7.6%,354030,161.82,81.04,100.97,338.36
Conductive Polymer,145.34,+3.3%,37385,150.21,104.20,104.42,216.15
Contaminated Lorentz Fluid,215.73,+0.1%,102583,215.73,91.11,105.00,250.56
Contaminated Nanite Compound,2900.28,+3.4%,92432,3000.17,2247.88,475.69,2879.91
Damaged Artificial Neural Network,247.38,+1.2%,48424,250.31,624.98,17.32,325.77
Defective Current Pump,151.52,+4.8%,26512,158.71,98.73,112.62,306.32
Fried Interface Circuit,4372.52,+4.9%,353058,4366.81,4408.22,3765.25,4380.49
Malfunctioning Shield Emitter,111.77,+2.3%,79280,114.14,93.09,100.57,398.13
Melted Capacitor Console,111283.46,-4.7%,44579,111664.38,104278.22,83880.57,107553.86
Scorched Telemetry Processor,118.71,-4.8%,43108,113.00,125.11,100.00,287.42
Smashed Trigger Unit,94.54,+7.0%,196936,101.17,56.67,30.36,268.71
Tangled Power Conduit,263.68,+11.5%,26792,293.75,90.26,100.00,369.49
Thruster Console,121.35,+7.2%,80132,130.05,12.06,100.00,273.39
Tripped Power Circuit,69629.56,-2.3%,366406,70499.55,64521.95,45991.02,72120.38
Ward Console,25001.01,-0.0%,54526,25056.63,24857.51,27637.68,22722.71
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,3746.66,-11.0%,340,3735.38,4858.35,1555.42,6266.25
Capacitor Console,18792232.26,-7.1%,108,19058746.20,18574387.03,12241179.40,21217966.39
Conductive Thermoplastic,25446.41,-52.8%,64,27653.04,164263.37,3001.08,16397.34
Current Pump,27387.01,-23.2%,97,29283.78,9980.55,3201.63,37381.93
Drone Transceiver,3507.14,-8.8%,171,3489.19,17899.13,2001.09,4010.82
Enhanced Ward Console,15947819.11,+7.1%,91,16531351.34,14766001.28,12222422.68,15674533.26
Impetus Console,12858.66,-14.4%,119,13488.32,7548.39,7911.59,11967.48
Intact Armor Plates,22825908.26,+2.4%,166,22800100.44,23387569.92,18453043.01,25170691.90
Intact Shield Emitter,732638.22,-16.7%,121,812651.32,538813.58,207588.55,712812.03
Interface Circuit,84865.35,-22.9%,845,69782.43,107073.27,53822.20,64229.49
