Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.20,-0.1%,29387178501,2.22,2.17,2.09,2.32
Pyerite,3.60,+0.8%,8146818935,3.65,3.54,3.51,3.90
Mexallon,31.21,-4.4%,1870670929,31.69,31.05,29.39,33.44
Isogen,58.79,+1.0%,259794417,59.92,56.68,59.58,62.30
Nocxium,185.09,+51.3%,60620405,187.11,156.82,206.36,203.81
Zydrine,1034.18,+10.7%,16422207,1024.43,1052.39,1077.54,996.45
Megacyte,2322.76,+3.3%,7025311,2322.75,2267.21,2301.67,2321.30
Morphite,4250.63,-8.2%,1616642,4230.61,4008.12,4418.04,3948.95
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,111390.67,-2.1%,117428,112483.14,108617.27,106724.37,118292.60
Armor Plates,260166.96,+0.4%,101880,261545.14,248964.54,251251.57,261875.18
Broken Drone Transceiver,80.83,+23.8%,86362,78.38,100.03,2.01,136.01
Burned Logic Circuit,28990.71,-3.7%,391640,29243.39,28662.66,25062.51,29552.37
Charred Micro Circuit,117.41,-2.9%,361335,117.18,202.84,85.17,258.01
Conductive Polymer,146.82,+2.2%,83204,150.04,27.13,1.00,136.21
Contaminated Lorentz Fluid,57.52,-56.5%,83809,56.38,94.73,15.33,112.01
Contaminated Nanite Compound,2015.35,-0.6%,119630,2028.56,1834.80,1555.31,2504.35
Damaged Artificial Neural Network,205.59,-25.5%,37960,205.59,127.59,52.60,267.91
Defective Current Pump,158.58,+0.0%,43271,158.58,10.09,10.08,240.21
Fried Interface Circuit,3806.60,+2.5%,412211,3862.75,3210.21,3153.08,3888.24
Malfunctioning Shield Emitter,188.74,+6.0%,84152,195.99,128.08,82.11,300.34
Melted Capacitor Console,126029.80,+0.0%,25752,126029.80,123140.51,105443.18,120190.13
Scorched Telemetry Processor,102.61,+2.4%,54674,105.06,43.21,2.39,191.25
Smashed Trigger Unit,42.84,+16.7%,169150,42.40,56.38,11.02,119.18
Tangled Power Conduit,100.14,+0.8%,45470,100.14,56.12,1402.28,235.75
Thruster Console,92.63,-13.6%,125221,92.63,103.60,15.06,207.46
Tripped Power Circuit,83450.92,-2.5%,401223,84561.30,77343.25,77688.86,86279.27
Ward Console,30344.31,+14.9%,18707,30547.60,34467.74,24282.01,30759.83
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,4315.33,-7.3%,0,8839.50,6000.02,3388.78,4315.33
Capacitor Console,20663806.39,+1.6%,0,21843759.82,20281147.60,17347769.25,20663806.39
Conductive Thermoplastic,27156.72,-54.0%,0,19440.98,109092.58,14286.54,27156.72
Current Pump,58002.27,-14.4%,0,35019.31,3209.61,3446.12,58002.27
Drone Transceiver,2483.25,+47.5%,0,10304.76,2991.55,2001.21,2483.25
Enhanced Ward Console,16120341.93,-8.2%,0,15174463.23,14045521.44,13521554.53,16120341.93
Impetus Console,28664.26,-82.5%,0,13522.89,1198.65,5016.17,28664.26
Intact Armor Plates,30916953.35,-44.9%,0,26603225.99,25989295.08,17746434.39,30916953.35
Intact Shield Emitter,874072.48,-25.3%,0,660308.32,579491.30,407423.46,874072.48
Interface Circuit,65667.28,-69.1%,0,66118.56,72624.96,124472.60,65667.28
Logic Circuit,132784.11,-32.2%,0,83447.74,119787.30,16004.43,132784.11
Lorentz Fluid,2482.22,-39.4%,0,2611.87,5.26,1503.08,2482.22
Micro Circuit,4503.31,-100.0%,0,3427.34,7033.35,6792.81,4503.31
Nanite Compound,32907.85,+19.8%,0,39665.34,2001.70,20058.83,32907.85
Power Circuit,1564500.15,-4.1%,0,1262533.25,1234149.76,1424453.12,1564500.15
Power Conduit,40502.93,-94.2%,0,15154.84,67484.34,11720.17,40502.93
Single-crystal Superalloy I-beam,5938996.51,+5.2%,0,5855837.71,5892845.79,4656669.02,5938996.51
Telemetry Processor,74178.25,-95.3%,0,20280.96,137628.27,3500.07,74178.25
Trigger Unit,38556.08,+34.5%,0,49623.01,33477.29,6456.53,38556.08
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,354.30,-1.8%,8973479,348.80,366.99,449.18,316.71
Hydrogen Isotopes,299.52,-0.4%,108655157,299.99,299.15,306.96,314.99
Nitrogen Isotopes,309.96,+9.4%,17966681,307.43,347.78,364.48,289.34
Oxygen Isotopes,321.83,+0.7%,19493663,317.83,327.13,413.68,304.40
Heavy Water,16.55,-20.5%,39121361,18.02,15.59,15.22,20.58
Liquid Ozone,225.77,+15.8%,21870527,228.72,198.45,262.40,231.68
Strontium Clathrates,341.59,+16.8%,1858320,310.63,425.22,516.49,301.99
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,8971.11,-20.9%,981167,8286.93,9892.86,12619.40,9129.90
Enriched Uranium,6995.98,-4.2%,567528,7007.41,7067.42,7508.82,7538.33
Mechanical Parts,7074.11,+5.7%,410303,6677.55,7328.61,6050.99,6336.71
Oxygen,280.67,+22.9%,6048285,315.04,232.32,243.14,326.64
Robotics,37695.48,-1.7%,167270,36840.64,39659.24,35739.93,33463.29
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,172033.18,+1.7%,395,172033.18,169194.19,149133.73,190269.04
Datacore - Caldari Starship Engineering,121055.17,+3.3%,1296,121055.17,141352.54,151879.03,106344.34
Datacore - Electromagnetic Physics,67330.01,-10.9%,473,67330.01,51255.78,175833.87,67812.93
Datacore - Electronic Engineering,232114.28,-7.4%,4992,258561.57,231478.43,270167.94,233289.60
Datacore - Gallentean Starship Engineering,107976.40,+13.4%,0,144712.19,119545.84,182202.76,107976.40
Datacore - Graviton Physics,92983.93,+6.0%,0,141515.46,111421.16,128472.73,92983.93
Datacore - High Energy Physics,139451.02,+186.8%,0,134769.88,113699.60,310421.05,139451.02
Datacore - Hydromagnetic Physics,234158.15,+22.1%,0,246994.58,228733.30,270189.40,234158.15
Datacore - Laser Physics,133772.81,-60.4%,0,124619.96,168866.30,199756.10,133772.81
Datacore - Mechanical Engineering,343736.13,-41.8%,0,373151.71,315096.02,394893.29,343736.13
Datacore - Minmatar Starship Engineering,330570.64,+1.3%,6309,385365.15,330570.62,379026.48,371055.79
Datacore - Molecular Engineering,221869.68,+29.1%,0,232920.03,208742.19,278899.47,221869.68
Datacore - Nanite Engineering,178842.03,+80.9%,0,293405.15,197061.79,185964.96,178842.03
Datacore - Nuclear Physics,352338.45,-9.6%,0,314104.15,244728.49,304957.36,352338.45
Datacore - Plasma Physics,152092.77,+46.8%,0,192140.92,163855.97,86567.53,152092.77
Datacore - Quantum Physics,313059.97,+8.6%,1771,313059.97,328944.55,292769.48,320202.35
Datacore - Rocket Science,121012.37,+24.0%,0,129468.92,134003.99,164840.43,121012.37
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,11741827.52,-31.9%,0,11708546.57,12151217.40,7795558.04,11741827.52
Assembly Instructions,29703080.29,-66.3%,0,31022579.80,32625000.63,12642857.18,29703080.29
Calibration Data,5014267.91,-35.4%,0,3852936.90,3899265.12,2970100.22,5014267.91
Circuitry Schematics,6301427.57,-10.1%,0,5945038.04,5112521.77,4659100.40,6301427.57
Circular Logic,942106.01,-35.0%,0,1390558.83,1938608.70,3075000.00,942106.01
Classic Doctrine,8703135.41,-100.0%,0,7176977.84,9552181.82,6625000.13,8703135.41
Collision Measurements,4457542.97,+34.6%,0,5150000.62,5090709.62,5442307.69,4457542.97
Engagement Plan,5390682.50,+16.8%,0,5071909.10,6172548.43,10416666.67,5390682.50
Formation Layout,5031949.62,+8.6%,59,5376091.41,6141304.37,3352727.27,6262183.49
Installation Guide,22650880.99,-47.0%,0,26186725.06,29089287.27,47500000.00,22650880.99
Interface Alignment Chart,4575687.91,-45.4%,0,4102777.96,3727499.95,8149999.50,4575687.91
Operation Handbook,9558352.41,-30.9%,0,8167860.15,8119362.57,7240194.00,9558352.41
Prototype Diagram,6381933.73,+41.0%,0,7748355.75,5559091.17,12000000.00,6381933.73
Sacred Manifesto,5387118.03,-8.2%,0,4219238.10,4057313.58,3627272.73,5387118.03
Stolen Formulas,33587930.75,-18.1%,0,35953334.45,43285714.29,24800000.00,33587930.75
Symbiotic Figures,3372650.79,+77.9%,0,3715208.15,1953694.18,5985785.71,3372650.79
Test Reports,9608198.69,+3.2%,0,9583533.67,9425000.14,10625000.00,9608198.69
Tuning Instructions,5752074.96,-39.2%,0,5269138.91,6193750.00,8050052.63,5752074.96
User Manual,2571778.76,+55.5%,0,3307363.10,4101052.92,5142928.57,2571778.76
War Strategon,17937037.81,+45.0%,0,21763333.31,41271000.00,38499999.99,17937037.81
,,,,,,,
Raw Moon Materials,,,,,,,
Atmospheric Gases,90.06,+9.9%,0,62.77,119.99,91.74,90.06
Cadmium,1047.82,+5.0%,0,1032.30,1985.80,1044.00,1047.82
Caesium,581.41,+157.4%,0,1496.74,871.20,0.00,581.41
Chromium,1507.96,-19.8%,0,1668.44,2451.89,1961.13,1507.96
Cobalt,1420.63,-61.3%,0,480.40,603.21,49.32,1420.63
Dysprosium,13615.06,+46.9%,0,13132.13,17590.75,200000.00,13615.06
Evaporite Deposits,237.61,+18.4%,106702,280.45,280.44,238.67,279.68
Hafnium,649.95,-7.7%,0,575.30,1014.89,132.93,649.95
Hydrocarbons,133.32,-26.1%,0,72.40,100.00,4.55,133.32
Mercury,2606.30,+22.4%,0,1865.89,3044.33,993.19,2606.30
Neodymium,16511.03,+21.1%,0,16144.96,14929.37,2000.00,16511.03
Platinum,1993.63,+25.4%,0,2361.08,2853.70,1281.92,1993.63
Promethium,10830.42,-7.7%,0,12293.35,10361.78,0.00,10830.42
Scandium,366.74,+9.1%,1109625,354.72,351.17,295.15,633.81
Silicates,371.90,+7.6%,0,216.43,209.33,25.12,371.90
Technetium,37665.96,+59.3%,14805,41549.95,40857.33,2182.83,54625.23
Thulium,540.95,-7.0%,0,671.79,732.59,0.00,540.95
Titanium,763.48,-80.4%,0,780.88,1083.07,567.06,763.48
Tungsten,502.14,-0.4%,0,404.05,500.69,276.11,502.14
Vanadium,1405.57,-0.4%,0,891.42,1499.44,1034.74,1405.57
,,,,,,,
Processed Moon Materials,,,,,,,
Caesarium Cadmide,2068.67,+20.9%,0,2666.27,2198.81,4499.99,2068.67
Carbon Polymers,928.09,-99.8%,0,307.57,371.52,33.33,928.09
Ceramic Powder,629.40,-46.8%,0,412.06,441.75,257.91,629.40
Crystallite Alloy,2455.97,-18.6%,0,1494.54,1696.42,2025.39,2455.97
Dysporite,10918.79,-26.7%,0,13618.94,7014.58,0.00,10918.79
Fernite Alloy,2380.48,-13.6%,0,1332.87,1065.64,1030.46,2380.48
Ferrofluid,8658.11,+55.9%,0,8891.49,432.91,0.00,8658.11
Fluxed Condensates,8068.35,-0.8%,0,3454.97,7648.73,0.00,8068.35
Hexite,1889.91,-7.4%,0,1338.69,1981.85,3483.48,1889.91
Hyperflurite,7059.03,-98.6%,0,9040.10,3856.74,42684.55,7059.03
Neo Mercurite,10164.79,+82.0%,0,11624.63,3854.67,9400.00,10164.79
Platinum Technite,30127.28,-7.1%,0,10675.11,23685.30,73.13,30127.28
Prometium,5387.89,+104.2%,0,4487.91,2435.08,0.00,5387.89
Rolled Tungsten Alloy,1829.63,+9.3%,0,1810.32,1994.38,1174.00,1829.63
Silicon Diborite,715.32,+4.8%,0,820.68,971.43,386.50,715.32
Solerium,1960.88,-94.6%,0,3273.46,498.56,0.00,1960.88
Sulfuric Acid,504.12,-50.4%,47894,516.03,744.96,1334.21,560.88
Titanium Chromide,1613.60,-5.5%,0,2761.10,101.12,57.00,1613.60
Vanadium Hafnite,1331.85,+53.4%,0,2716.71,794.46,1372.90,1331.85
,,,,,,,
Advanced Moon Materials,,,,,,,
Crystalline Carbonide,74.11,-16.3%,10362716,70.04,79.15,50.53,68.18
Fermionic Condensates,19238.04,-6.4%,8922,19238.04,19955.29,16132.89,18545.14
Fernite Carbide,84.23,+12.8%,34321102,84.09,82.88,81.58,85.91
Ferrogel,10471.41,+3.1%,108504,10795.80,10187.26,7270.90,7795.95
Fullerides,1573.41,-4.7%,2665048,1727.75,1516.50,1143.19,1391.80
