Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.24,-0.9%,28228756933,2.26,2.20,2.12,2.43
Pyerite,3.99,-2.6%,6792609249,4.02,3.94,4.07,4.23
Mexallon,32.85,-0.3%,2055548461,32.83,32.87,29.36,35.34
Isogen,59.18,+0.5%,294451193,60.01,57.78,48.73,62.11
Nocxium,134.46,+6.6%,65567300,140.93,120.24,143.74,143.26
Zydrine,1057.40,-0.6%,22561480,1055.37,1061.38,1124.80,1026.44
Megacyte,2348.50,+1.0%,8951203,2336.98,2401.06,2386.16,2334.02
Morphite,4251.21,+10.4%,80760,4117.61,4251.21,3400.50,4343.10
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,108908.01,-7.3%,141238,109877.61,109410.37,96785.93,110053.25
Armor Plates,244659.24,-3.0%,99959,247942.16,233057.95,228762.62,249628.25
Broken Drone Transceiver,109.34,-8.3%,55752,100.27,138.57,11.79,188.53
Burned Logic Circuit,29681.15,+4.5%,409933,30117.91,28202.68,26897.44,30332.61
Charred Micro Circuit,139.75,-25.2%,478808,126.50,200.06,157.18,307.82
Conductive Polymer,137.70,+9.0%,33538,150.10,49.28,82.32,162.31
Contaminated Lorentz Fluid,206.59,+4.1%,84449,215.00,96.65,15.23,140.25
Contaminated Nanite Compound,2033.26,-1.0%,128007,2144.64,1148.56,1842.53,2295.06
Damaged Artificial Neural Network,205.73,+8.4%,50191,222.24,100.87,132.06,215.33
Defective Current Pump,148.48,+6.8%,25412,158.56,57.93,10.04,215.48
Fried Interface Circuit,4030.15,-0.0%,448445,4052.29,3974.63,3561.73,4079.28
Malfunctioning Shield Emitter,149.75,+6.8%,93690,152.14,133.97,146.82,298.30
Melted Capacitor Console,129542.26,-3.5%,56572,129413.80,130053.75,107712.51,127320.93
Scorched Telemetry Processor,100.47,-49.8%,27503,113.00,50.32,25.00,193.96
Smashed Trigger Unit,69.08,-27.6%,191716,73.96,56.11,11.01,175.02
Tangled Power Conduit,167.72,-7.6%,25886,155.01,182.69,1790.96,238.35
Thruster Console,76.38,-1.8%,108374,80.97,100.05,15.03,213.99
Tripped Power Circuit,73016.25,+5.3%,450487,74997.37,67320.84,61484.44,75172.98
Ward Console,31942.13,-12.2%,64412,31947.68,31283.25,24190.98,27868.52
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6674.78,-10.1%,2060,6419.28,6674.78,3065.55,3705.35
Capacitor Console,20558936.14,-8.0%,117,21047010.44,20281147.60,15842353.37,22731973.04
Conductive Thermoplastic,92621.85,-83.8%,341,32177.96,107914.33,6281.09,19596.20
Current Pump,18966.21,-83.1%,87,21025.65,3122.36,3223.68,46767.81
Drone Transceiver,3054.14,+17.4%,70,3695.81,2830.82,2001.18,2272.23
Enhanced Ward Console,13576408.14,-1.9%,30,15765046.91,13576408.14,11931627.65,15608224.50
Impetus Console,27993.14,-96.0%,54,10965.89,27993.14,5012.28,24984.95
Intact Armor Plates,24283442.03,+0.9%,78,24122569.16,24163719.56,17797830.84,28786489.09
Intact Shield Emitter,482960.42,-16.5%,25,611015.46,404171.53,307500.75,830227.61
Interface Circuit,114849.63,-3.9%,159,93639.20,114849.63,37333.78,80945.22
Logic Circuit,135522.87,-45.3%,700,144821.16,119787.30,265474.05,136086.96
Lorentz Fluid,226.28,-98.7%,129,3025.03,226.28,3981.35,3253.06
Micro Circuit,7033.35,-78.7%,440,4609.58,7033.35,9200.16,5603.55
Nanite Compound,95010.62,-97.9%,41,35751.31,95010.62,24368.43,47876.33
Power Circuit,1308254.80,-10.7%,785,1302017.00,1322251.20,1635599.65,1556927.40
Power Conduit,36428.52,-16.6%,308,25011.15,44654.89,19932.84,44611.24
Single-crystal Superalloy I-beam,5892845.79,+3.6%,107,5972167.49,5892845.79,3404301.21,5982222.55
Telemetry Processor,115745.89,-97.7%,181,99695.34,170899.40,8546.61,69920.07
Trigger Unit,55211.57,-25.3%,341,49094.14,95397.63,5525.01,43135.15
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,332.84,-5.0%,17454862,320.46,365.52,420.21,348.23
Hydrogen Isotopes,305.70,+3.0%,93029342,308.06,302.80,311.38,323.70
Nitrogen Isotopes,326.04,-4.9%,19960260,309.43,365.34,370.64,290.27
Oxygen Isotopes,341.36,+2.5%,9580533,336.97,353.02,432.81,321.02
Heavy Water,17.23,+18.1%,31385863,20.31,15.18,21.00,20.96
Liquid Ozone,232.60,+0.6%,19790486,230.14,231.88,280.26,199.10
Strontium Clathrates,420.71,+89.0%,2792441,328.17,557.22,1193.93,293.24
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,13595.18,-3.2%,812173,13403.03,13989.13,14362.56,13362.98
Enriched Uranium,8308.65,-4.3%,794345,8434.60,7988.30,8326.58,8249.22
Mechanical Parts,8906.41,+6.7%,617044,7138.07,11845.20,5182.88,6848.98
Oxygen,219.72,+1.0%,5659962,220.33,222.87,195.57,298.87
Robotics,31799.92,+0.6%,244703,31714.13,31999.99,26807.26,32070.93
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,170761.90,-8.8%,1086,188136.25,169194.19,90187.02,169720.32
Datacore - Caldari Starship Engineering,141352.54,+3.3%,619,199782.74,141352.54,173844.25,101563.19
Datacore - Electromagnetic Physics,62455.12,-29.5%,895,71483.78,66907.78,191699.04,64447.29
Datacore - Electronic Engineering,262878.40,-1.3%,2122,256819.49,262878.40,211278.46,223054.13
Datacore - Gallentean Starship Engineering,127293.71,+2.6%,921,148874.15,127293.71,199974.44,122960.85
Datacore - Graviton Physics,122726.11,-2.2%,1508,123082.50,121518.72,188048.08,96479.39
Datacore - High Energy Physics,130433.98,-10.6%,3039,142238.00,130433.98,189008.62,166185.63
Datacore - Hydromagnetic Physics,234210.54,-4.1%,1153,228013.39,232488.83,286414.33,239104.74
Datacore - Laser Physics,154250.96,+10.2%,940,145901.16,160552.65,211111.11,109486.02
Datacore - Mechanical Engineering,332315.16,-7.3%,28213,335640.31,330382.16,353933.33,380749.29
Datacore - Minmatar Starship Engineering,340616.36,+14.2%,7617,374770.36,335073.09,324948.59,394367.48
Datacore - Molecular Engineering,217397.99,+6.0%,865,210099.16,217397.99,215135.12,205107.75
Datacore - Nanite Engineering,197061.79,+11.9%,1271,197789.59,197061.79,175516.17,170879.94
Datacore - Nuclear Physics,294095.69,+10.2%,2195,290089.08,294095.69,329637.64,336153.16
Datacore - Plasma Physics,166242.54,-9.8%,893,131438.13,166243.98,617241.38,173321.71
Datacore - Quantum Physics,305279.14,+11.3%,4032,298517.80,328944.55,269383.51,314811.44
Datacore - Rocket Science,149978.74,-14.4%,690,149750.44,149978.74,191716.74,114883.13
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,12033901.48,-0.7%,168,11852488.72,12201495.19,8321739.91,13749505.81
Assembly Instructions,31858318.29,-15.2%,14,32144396.58,32000000.56,18687499.75,29378431.84
Calibration Data,3623576.17,-1.4%,151,3236705.97,3623576.17,3646564.81,4802784.50
Circuitry Schematics,5395821.93,-10.9%,108,5590590.79,5112521.77,4209294.91,6326590.65
Circular Logic,986096.28,+113.0%,57,866509.14,1555141.36,3075000.00,1191810.93
Classic Doctrine,8020144.13,+33.9%,14,6857119.22,9516111.00,7500000.00,8740702.05
Collision Measurements,4914499.95,+10.5%,44,5706870.96,4652333.41,5340000.00,4252173.35
Engagement Plan,5338757.05,-19.5%,14,6624435.98,5515430.66,10416666.67,6130978.27
Formation Layout,5842186.32,-26.1%,54,5739860.15,6037554.56,4482500.00,5951999.19
Installation Guide,22662553.52,+54.4%,16,21455032.36,28689656.68,47500000.00,19927106.52
Interface Alignment Chart,2911111.12,+47.7%,9,3764650.26,3499999.89,8149999.50,4463750.19
Operation Handbook,7696062.91,-1.5%,489,7838954.74,7493575.69,7186206.91,9643828.61
Prototype Diagram,4609489.78,-56.6%,0,7722361.61,5559091.17,12000000.00,4609489.78
Sacred Manifesto,4267550.40,-3.9%,71,4153866.58,4238809.15,3627272.73,4655044.46
