Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.24,+0.2%,31288530815,2.26,2.18,2.23,2.43
Pyerite,3.94,-1.7%,7369987083,3.96,3.89,3.96,4.19
Mexallon,32.64,-0.1%,2236997212,32.67,32.88,30.29,35.02
Isogen,59.52,+0.6%,378322624,60.23,58.09,59.69,62.44
Nocxium,143.09,+2.0%,64102786,142.84,143.23,145.65,143.62
Zydrine,1059.19,-1.0%,26147573,1057.84,1056.19,1102.55,1026.17
Megacyte,2350.10,+1.3%,10416292,2331.68,2393.56,2408.65,2328.34
Morphite,4179.42,-3.7%,1357325,4222.07,3879.74,3848.36,4345.87
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,107214.91,-3.4%,155805,107845.45,106740.32,98388.64,109045.64
Armor Plates,246104.39,+1.4%,112969,249469.10,234296.57,229607.54,253883.53
Broken Drone Transceiver,103.75,-3.4%,79639,100.26,126.74,1.99,194.59
Burned Logic Circuit,29630.94,-0.1%,451236,30111.43,28290.22,26429.38,30429.35
Charred Micro Circuit,129.97,+54.0%,383309,121.25,200.11,157.03,329.62
Conductive Polymer,132.73,-2.9%,34931,150.10,30.12,32.86,178.73
Contaminated Lorentz Fluid,202.80,+4.6%,82349,214.59,93.86,15.25,114.94
Contaminated Nanite Compound,1897.91,+1.4%,114097,2011.71,1240.64,1744.73,2163.48
Damaged Artificial Neural Network,169.53,-10.3%,48178,178.84,107.85,143.84,211.72
Defective Current Pump,136.01,-92.6%,24159,158.56,32.50,10.04,214.12
Fried Interface Circuit,3959.59,+2.2%,401826,3989.70,3855.81,3903.59,4093.17
Malfunctioning Shield Emitter,155.65,+3.9%,78728,161.69,129.93,147.99,299.37
Melted Capacitor Console,128193.24,-8.7%,39709,129413.80,128374.22,117330.08,125311.43
Scorched Telemetry Processor,129.87,-61.1%,37750,145.97,50.44,14.10,195.66
Smashed Trigger Unit,59.31,-5.4%,196002,66.20,56.11,11.01,185.01
Tangled Power Conduit,162.39,-40.2%,25508,146.79,182.69,308.52,275.06
Thruster Console,77.04,+29.9%,80189,80.97,104.55,15.03,235.43
Tripped Power Circuit,75080.92,+4.5%,466139,76969.37,68521.82,65786.45,77543.55
Ward Console,32308.72,+2.1%,62625,32008.15,31873.01,22145.76,28363.98
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
