Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.72,-0.0%,26293941253,2.77,2.59,2.71,2.86
Pyerite,6.78,+0.0%,6317238491,6.83,6.67,6.60,7.12
Mexallon,28.92,+0.5%,2020250943,29.10,28.35,28.04,30.50
Isogen,52.64,-0.4%,273470912,52.97,51.85,50.59,52.76
Nocxium,88.98,+0.2%,108041727,89.78,87.81,93.01,85.70
Zydrine,1413.39,+3.2%,20123581,1422.14,1373.62,1540.85,1356.66
Megacyte,2767.86,-1.0%,9120702,2779.33,2735.91,2879.37,2800.04
Morphite,6037.24,+5.5%,818247,6034.89,5765.06,7427.07,6040.07
,,,,,,,
Fuel,,,,,,,
Coolant,1158.02,+3.2%,2740709,1118.71,1438.77,1908.85,1227.83
Enriched Uranium,5223.81,-0.0%,982274,5269.29,5169.91,5095.20,5300.46
Heavy Water,19.16,+10.5%,24156031,19.33,18.81,24.09,21.12
Helium Isotopes,415.74,-0.7%,9028399,414.60,428.71,427.92,380.11
Hydrogen Isotopes,380.96,-4.4%,85270607,387.58,375.29,366.71,403.14
Nitrogen Isotopes,453.00,+2.6%,19446888,446.04,492.94,476.22,404.46
Oxygen Isotopes,435.62,+2.4%,17904837,421.61,439.99,575.10,402.31
Liquid Ozone,314.05,-0.4%,22927726,304.75,317.35,381.37,283.33
Mechanical Parts,607.92,+1.5%,1812650,605.48,615.99,583.83,654.76
Oxygen,110.87,+10.7%,6561098,109.25,116.95,123.28,134.52
Robotics,6408.48,+8.0%,873391,6954.76,6134.03,7000.00,6923.88
Strontium Clathrates,894.30,+4.7%,1313171,893.33,887.81,988.34,847.09
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,136121.61,+1.0%,95145,137238.27,130509.40,136359.37,143451.65
Armor Plates,204716.98,+1.6%,82642,207608.18,195738.18,197495.62,212956.18
Broken Drone Transceiver,105.73,-6.7%,45798,96.00,177.81,106.36,151.02
Burned Logic Circuit,29784.73,+2.9%,316332,30115.19,28446.72,30000.00,32635.03
Charred Micro Circuit,127.90,-1.8%,348233,131.32,95.01,109.31,309.35
Conductive Polymer,135.74,-4.2%,31172,135.53,146.47,100.00,127.52
Contaminated Lorentz Fluid,169.97,-8.3%,40607,180.46,83.13,100.00,185.03
Contaminated Nanite Compound,2928.89,-3.8%,86438,2999.08,2006.70,3000.00,3170.39
Damaged Artificial Neural Network,440.31,+18.5%,51084,251.38,258.07,700.00,334.17
Defective Current Pump,185.82,-1.3%,21549,191.27,153.20,113.31,256.63
Fried Interface Circuit,3949.19,+5.1%,322996,3887.23,4014.58,4532.81,4122.52
Malfunctioning Shield Emitter,240.81,-5.0%,55537,241.80,302.20,149.56,234.95
Melted Capacitor Console,85092.66,+1.1%,26911,85648.83,69985.66,87608.06,81993.00
Scorched Telemetry Processor,141.37,+4.7%,31345,141.79,98.58,164.58,198.98
Smashed Trigger Unit,94.87,+15.1%,130033,91.14,132.13,100.00,119.86
Tangled Power Conduit,241.66,+9.5%,32970,227.63,450.00,182.97,258.59
Thruster Console,240.20,+188.3%,171766,244.86,160.10,100.00,215.37
Tripped Power Circuit,40470.84,+1.7%,297121,41024.17,37575.95,39979.54,42147.55
Ward Console,22525.73,-2.6%,54858,22386.42,25575.10,20000.00,19652.12
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,146612.21,+26.0%,1604,146134.76,193999.00,0.00,136410.13
Datacore - Caldari Starship Engineering,172233.30,-4.8%,1058,180414.97,159999.40,0.00,143664.49
Datacore - Electromagnetic Physics,92417.19,-14.3%,608,90931.00,116031.11,0.00,89548.97
Datacore - Electronic Engineering,277616.65,-3.0%,4443,274319.61,346127.39,0.00,243707.21
Datacore - Gallentean Starship Engineering,207705.69,-1.9%,2573,205048.47,318998.98,0.00,204829.86
Datacore - Graviton Physics,102332.29,-7.1%,615,102014.74,106260.19,0.00,101770.78
Datacore - High Energy Physics,160396.78,+7.7%,1019,177863.54,145024.73,0.00,187516.57
Datacore - Hydromagnetic Physics,501378.35,+6.8%,1501,496752.68,594543.06,0.00,448213.97
Datacore - Laser Physics,174384.34,+0.3%,681,174291.42,177304.79,0.00,126990.92
Datacore - Mechanical Engineering,395300.45,+2.6%,24780,400383.78,385455.47,315419.38,417788.65
Datacore - Minmatar Starship Engineering,439908.47,-8.6%,5484,460233.52,350002.80,300000.00,437809.08
Datacore - Molecular Engineering,345315.73,+1.9%,1254,344692.43,350659.03,0.00,0.00
Datacore - Nanite Engineering,237988.71,+41.0%,1605,230530.15,478061.92,320000.00,188998.25
Datacore - Nuclear Physics,299972.18,+5.4%,3435,301268.42,289352.42,151000.00,324703.66
Datacore - Plasma Physics,284437.47,-12.6%,81,284437.47,0.00,0.00,0.00
Datacore - Quantum Physics,430806.19,-8.2%,1420,428514.23,447658.85,0.00,398052.82
Datacore - Rocket Science,288399.37,-4.8%,1492,293909.95,265346.14,205555.00,0.00
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,8243820.39,-1.1%,147,8173196.82,8346224.57,0.00,0.00
Assembly Instructions,27550001.45,-18.8%,6,27550001.45,0.00,0.00,0.00
Calibration Data,3942437.68,+1.2%,197,3882579.76,4148024.95,4000000.00,0.00
Circuitry Schematics,4562253.43,+2.3%,115,4457168.18,5007324.78,3534026.67,5308666.59
Circular Logic,1380846.34,+71.2%,26,1380846.34,0.00,0.00,0.00
Classic Doctrine,6682738.27,+7.2%,19,6682738.27,0.00,0.00,0.00
Collision Measurements,7800000.00,-6.1%,1,0.00,7800000.00,0.00,5250737.37
Engagement Plan,6720882.07,+25.0%,17,6725099.40,6714857.32,0.00,7386838.70
Formation Layout,5769184.46,+10.7%,59,5743426.48,6250000.00,0.00,0.00
Installation Guide,32099996.06,+48.3%,3,32099996.06,0.00,0.00,0.00
Interface Alignment Chart,4171766.87,+9.3%,29,3242363.91,4589998.20,0.00,5251620.81
Operation Handbook,6651633.60,-0.0%,519,6787511.07,6203161.69,5787030.00,0.00
Prototype Diagram,11785713.45,-31.0%,7,11785713.45,0.00,0.00,0.00
Sacred Manifesto,3484606.49,-5.3%,91,3430419.35,3936356.94,3000000.00,4584467.02
Stolen Formulas,38165585.23,-5.5%,0,0.00,0.00,0.00,38165585.23
Symbiotic Figures,9039996.30,-15.2%,10,9999991.50,8399999.50,0.00,4857379.72
Test Reports,11499999.80,-3.4%,10,10500000.00,13833332.67,0.00,10611803.05
Tuning Instructions,8516400.17,+1.4%,10,6504000.00,8740000.19,0.00,0.00
User Manual,4573861.13,-40.2%,15,4573861.13,0.00,0.00,0.00
War Strategon,15000000.12,+112.2%,1,15000000.12,0.00,0.00,0.00
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,109.03,+1.0%,12666926,109.34,107.15,0.00,98.10
Fermionic Condensates,25646.03,+14.1%,16459,24571.16,29799.10,0.00,23490.46
Fernite Carbide,87.76,+12.2%,28645685,87.51,94.03,31.01,84.56
Ferrogel,12898.79,+2.4%,196906,12783.64,13182.83,7000.00,12091.96
Fullerides,1032.57,-0.4%,2261828,1073.47,924.34,200.00,915.15
Hypersynaptic Fibers,3641.03,+15.1%,200378,3492.53,4192.90,19580.76,3222.80
Nanotransistors,2877.31,-0.9%,1108597,2876.47,2885.91,1752.59,2591.28
Phenolic Composites,647.14,+133.9%,2004021,646.87,689.92,32.10,615.32
Sylramic Fibers,184.72,+5.9%,15590947,181.64,201.01,0.00,177.35
