Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.52,-4.8%,26964054837,2.60,2.43,2.45,2.71
Pyerite,5.26,-5.4%,7450319325,5.43,5.01,4.97,5.75
Mexallon,25.12,-1.1%,1741162766,25.69,24.70,24.33,25.41
Isogen,48.66,-7.5%,296591268,50.37,46.95,49.78,49.17
Nocxium,120.57,+16.1%,96236384,125.35,110.59,120.57,125.47
Zydrine,1286.81,-2.3%,22909375,1289.31,1317.80,1397.05,1227.58
Megacyte,2837.27,-0.0%,11468127,2835.20,2828.49,2982.63,2821.59
Morphite,5611.39,-1.4%,925238,5624.02,5660.36,5222.20,5412.51
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,122871.96,-0.6%,164360,123834.99,117237.53,124646.74,130598.70
Armor Plates,221897.82,+3.3%,111631,223050.86,216064.76,222335.94,230626.94
Broken Drone Transceiver,57.31,-35.3%,86834,54.20,58.71,100.00,118.01
Burned Logic Circuit,29025.68,+5.7%,515192,28893.33,28609.57,31409.45,32254.25
Charred Micro Circuit,88.86,-10.5%,686460,96.12,31.72,104.52,157.49
Conductive Polymer,165.14,-39.4%,113218,166.25,92.05,100.00,230.23
Contaminated Lorentz Fluid,213.80,-43.3%,55665,238.55,117.36,127.39,264.42
Contaminated Nanite Compound,2296.41,+4.6%,131941,2293.10,2303.84,1931.80,2628.81
Damaged Artificial Neural Network,332.96,-22.5%,39314,331.86,337.72,500.12,352.12
Defective Current Pump,212.00,-24.5%,30661,191.00,316.69,114.79,227.22
Fried Interface Circuit,4498.29,+4.3%,497302,4452.40,4500.96,6027.11,4650.01
Malfunctioning Shield Emitter,264.03,+4.1%,86403,302.77,87.41,300.08,352.15
Melted Capacitor Console,79962.71,+6.3%,29796,80969.96,71538.60,88008.87,79445.30
Scorched Telemetry Processor,141.09,-11.3%,39201,144.96,125.00,100.00,207.59
Smashed Trigger Unit,58.19,-2.8%,281586,60.94,43.66,100.00,127.97
Tangled Power Conduit,300.14,+5.0%,50568,256.84,420.93,100.07,298.43
Thruster Console,103.82,+41.1%,131015,97.93,128.13,100.00,269.74
Tripped Power Circuit,45192.06,+4.3%,461463,45640.87,43610.33,41376.31,47005.06
Ward Console,21931.13,-0.2%,69759,21958.05,21647.34,23301.47,19032.84
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,7466.08,+5.4%,1037,7986.22,2482.30,60902.36,8703.65
Capacitor Console,17992729.24,+6.7%,130,18525102.20,13515625.67,10942859.17,17145620.03
Conductive Thermoplastic,14199.75,-15.5%,81,12003.10,30227.92,3786.78,14500.92
Current Pump,19290.33,-48.2%,87,16359.45,14465.99,3917.74,43484.64
Drone Transceiver,4510.81,-17.9%,1138,3705.51,11373.91,3167.74,5255.46
Enhanced Ward Console,16836225.88,+1.0%,73,16416167.60,17050795.22,7070353.40,18370704.39
Impetus Console,12341.91,+22.3%,244,12327.42,12441.43,5006.24,36802.27
Intact Armor Plates,20913976.38,-0.9%,207,21164111.16,19641231.73,16904651.21,22950866.18
Intact Shield Emitter,838829.77,-5.5%,137,879348.99,616544.12,105754.82,749674.70
Interface Circuit,75240.04,+14.4%,1125,76208.80,72172.30,345876.10,82883.59
Logic Circuit,132066.07,-2.1%,903,147370.49,109193.99,52472.01,178626.35
Lorentz Fluid,1991.85,+50.7%,165,3253.37,0.97,2573.07,13128.00
Micro Circuit,12193.57,-33.8%,841,8625.31,20486.61,2174.35,14230.56
Nanite Compound,71103.56,-50.8%,132,75602.07,16346.11,97378.26,97828.57
Power Circuit,1642916.51,+16.6%,799,1632319.92,1668814.23,1250155.89,1874770.99
Power Conduit,29229.88,-91.0%,120,5643.05,75484.65,1869.29,11352.40
Single-crystal Superalloy I-beam,6527810.90,-11.0%,453,6822074.22,5576267.82,6876334.14,6409601.26
Telemetry Processor,25594.79,+58.0%,111,12800.08,34500.26,22002.59,41716.96
Trigger Unit,28963.54,-23.5%,299,29600.29,26529.50,1604.45,15763.56
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,362.43,-13.8%,16444103,342.64,422.03,393.76,321.72
Hydrogen Isotopes,339.21,+1.2%,91969064,350.19,330.70,340.81,359.46
Nitrogen Isotopes,388.98,+0.5%,22785192,384.40,372.60,472.70,335.16
Oxygen Isotopes,379.65,-1.9%,22349241,376.86,393.28,515.60,347.29
Heavy Water,22.38,+23.2%,34709760,27.47,16.54,23.33,25.48
Liquid Ozone,319.17,+1.1%,26190515,316.54,321.80,335.36,278.39
Strontium Clathrates,769.40,-17.7%,2079097,777.81,750.27,1337.11,529.31
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,1242.66,+36.8%,4243425,1149.96,1686.81,1897.76,1201.67
Enriched Uranium,5549.12,-4.5%,1724745,5755.64,5290.88,5059.94,5300.15
Mechanical Parts,629.08,+1.1%,5687800,628.55,627.47,626.96,636.00
Oxygen,104.11,-3.4%,16616088,109.25,97.78,117.60,118.63
Robotics,7138.98,-3.5%,1272495,7901.22,6890.00,7469.52,7167.38
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,182218.03,-44.5%,1123,183145.97,181867.16,216410.78,131173.61
Datacore - Caldari Starship Engineering,190414.92,+52.2%,9170,190194.80,193108.82,343947.33,146595.80
Datacore - Electromagnetic Physics,94970.84,+10.6%,1288,93134.66,96560.15,194639.18,85914.03
Datacore - Electronic Engineering,317407.81,+1.0%,7773,317852.99,316368.47,229694.46,265277.81
Datacore - Gallentean Starship Engineering,180708.54,+32.9%,2652,180105.53,194547.50,118105.08,161371.40
Datacore - Graviton Physics,132233.81,-1.7%,1947,128162.36,138949.10,305272.25,108258.91
Datacore - High Energy Physics,163539.29,-8.2%,4122,171136.87,156315.65,203429.10,182558.04
Datacore - Hydromagnetic Physics,386318.21,-6.2%,974,397092.91,372869.65,467812.78,382703.14
Datacore - Laser Physics,203052.63,+39.5%,2260,175094.92,302950.39,239116.72,200435.23
Datacore - Mechanical Engineering,370748.38,+11.3%,22069,407011.98,341380.76,366274.37,386678.81
Datacore - Minmatar Starship Engineering,394683.83,-10.7%,10939,429626.17,380030.45,405496.57,439607.70
Datacore - Molecular Engineering,307033.85,-2.4%,1488,318515.57,292352.02,372342.11,269451.32
Datacore - Nanite Engineering,208471.23,+16.9%,1789,219570.78,191720.72,296026.32,190367.38
Datacore - Nuclear Physics,305127.09,+5.6%,5830,330087.09,260826.37,299750.00,352448.22
Datacore - Plasma Physics,175226.28,+14.1%,762,154410.02,243977.12,572440.94,155813.25
Datacore - Quantum Physics,462519.37,+3.3%,2845,466268.16,432193.71,355679.84,383420.06
Datacore - Rocket Science,199084.69,+3.1%,3577,200576.87,195454.49,295784.16,187912.67
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,10633039.70,+9.4%,145,10707606.93,10292706.58,8200320.50,12070026.10
Assembly Instructions,22936207.63,+2.9%,16,23592026.83,24890749.79,25884615.23,27851063.45
Calibration Data,3932270.34,-0.5%,414,4006663.98,3786671.36,3933333.42,4834415.83
Circuitry Schematics,6832660.57,-18.3%,83,7078222.96,6678525.20,5210942.00,7960685.45
Circular Logic,1176855.07,-13.8%,69,1176855.07,2759999.80,3075000.00,1187218.97
Classic Doctrine,7218308.55,+8.1%,58,7231459.56,6805333.23,7500000.00,9294077.73
Collision Measurements,4260176.78,-12.5%,34,4361356.43,5062311.06,5300000.00,4014929.76
Engagement Plan,5271897.82,+12.6%,38,6732755.89,5129090.91,10416666.67,6346021.01
Formation Layout,5672361.47,-2.4%,85,5739589.20,5189000.00,3397000.00,6456600.33
Installation Guide,31247498.91,+19.9%,8,32553332.25,37911056.22,47500000.00,23641071.54
Interface Alignment Chart,4718461.54,-24.4%,39,5446326.61,4986250.00,8149999.50,5376520.44
Operation Handbook,6972636.07,+5.3%,712,7086731.15,6755156.87,6470302.98,9043808.62
Prototype Diagram,8579039.96,-6.7%,25,8395956.52,8374555.44,12000000.00,6221619.34
Sacred Manifesto,3779576.66,-7.8%,99,3639385.64,4530235.07,3944444.44,4228880.73
