Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.44,+2.0%,25305514404,2.47,2.34,2.58,2.49
Pyerite,4.64,-0.2%,6204866179,4.67,4.51,4.46,4.78
Mexallon,27.97,+2.7%,1740007694,28.22,27.44,25.05,31.03
Isogen,54.33,+3.6%,259535158,55.36,51.04,52.33,59.05
Nocxium,126.60,+2.0%,89703912,126.00,130.84,128.31,127.05
Zydrine,1038.62,-1.3%,19607634,1020.52,1084.56,1110.27,1005.02
Megacyte,2165.02,+5.1%,9240786,2173.83,2152.55,2095.30,2275.76
Morphite,4046.55,-2.4%,826022,3971.27,4344.94,4026.13,3958.17
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,122468.59,-2.8%,129543,123569.45,118259.53,115203.94,128998.03
Armor Plates,229826.95,-0.1%,115578,231289.02,228013.56,207783.61,232242.96
Broken Drone Transceiver,85.12,+18.8%,60920,100.84,22.00,101.92,225.91
Burned Logic Circuit,30495.23,+1.7%,424672,30923.36,29634.73,23763.14,31829.63
Charred Micro Circuit,143.14,+8.7%,386190,152.79,113.92,100.91,378.99
Conductive Polymer,134.36,+11.7%,34444,150.13,55.76,102.01,207.51
Contaminated Lorentz Fluid,187.18,+5.8%,89294,218.70,111.64,102.91,195.76
Contaminated Nanite Compound,2765.23,+8.5%,120083,2979.73,2207.51,328.53,3063.93
Damaged Artificial Neural Network,261.31,-42.3%,39714,150.48,563.22,183.04,333.23
Defective Current Pump,165.76,-4.3%,35944,158.55,212.37,111.06,219.34
Fried Interface Circuit,4307.98,+1.4%,418828,4334.15,4392.38,3182.15,4723.16
Malfunctioning Shield Emitter,209.68,-47.0%,103037,231.11,89.09,100.26,356.48
Melted Capacitor Console,96190.48,-0.1%,35122,95267.12,172713.56,83208.08,94331.28
Scorched Telemetry Processor,112.08,+0.4%,34484,112.37,93.20,100.00,200.07
Smashed Trigger Unit,80.10,+12.4%,229097,88.51,41.17,64.19,139.84
Tangled Power Conduit,275.46,+3.5%,36094,276.86,300.12,100.00,325.08
Thruster Console,130.94,-3.7%,123410,134.80,49.20,100.00,292.82
Tripped Power Circuit,55737.18,+7.7%,428944,57462.87,49737.09,45677.97,58538.23
Ward Console,26535.10,+0.2%,29755,26557.86,26518.42,25544.22,24910.21
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6475.41,-15.6%,372,6684.42,1612.44,1555.42,6299.78
Capacitor Console,17635087.06,-15.7%,62,19825854.53,15548569.35,12241179.40,20117663.09
Conductive Thermoplastic,16005.22,-25.0%,0,11550.47,5667.99,3001.08,16005.22
Current Pump,15056.14,-26.8%,170,20970.10,1553.68,3201.63,42008.36
Drone Transceiver,13941.46,-73.4%,240,7499.68,19730.34,2001.09,1116.47
Enhanced Ward Console,15031781.79,+3.6%,97,14977515.48,15039802.83,12222422.68,14588964.83
Impetus Console,9904.10,+232.3%,47,10630.08,11398.86,7911.59,10069.66
Intact Armor Plates,21888713.77,+1.1%,143,22217544.21,19391739.87,18453043.01,22938582.45
Intact Shield Emitter,422177.66,+18.4%,109,468780.44,388521.71,207588.55,787373.08
Interface Circuit,65842.26,-17.8%,0,106583.12,123281.98,53822.20,65842.26
Logic Circuit,161628.07,-59.2%,1500,173171.32,110603.41,111863.50,124615.08
Lorentz Fluid,2539.45,-40.8%,74,2861.60,34.27,4206.64,3521.37
Micro Circuit,3304.10,+51.4%,94,14689.18,6964.74,5446.39,5726.79
Nanite Compound,40526.88,-11.2%,135,40526.88,59657.52,19751.32,39681.40
Power Circuit,1014313.63,+28.6%,280,1517167.96,1014409.41,1016396.99,1381444.81
Power Conduit,2145.61,+2.6%,69,74850.64,5485.69,23908.76,35069.34
Single-crystal Superalloy I-beam,6133846.97,-1.2%,270,6139920.76,5554675.08,4479579.04,5891876.40
Telemetry Processor,46240.88,-94.6%,18,113391.36,6124.94,22004.07,83981.19
Trigger Unit,41424.92,-91.6%,95,272239.92,6679.19,4050.01,38939.18
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,320.18,-9.4%,9816049,317.66,336.39,372.98,319.69
Hydrogen Isotopes,323.57,+2.0%,79347168,328.24,316.49,339.56,325.55
Nitrogen Isotopes,326.67,+0.4%,12379963,324.74,364.42,377.49,310.01
Oxygen Isotopes,359.12,+8.6%,26929944,371.86,337.96,377.04,349.92
Heavy Water,19.44,+33.9%,39361861,21.54,16.47,24.39,22.19
Liquid Ozone,245.71,+1.7%,20111020,239.53,254.25,339.32,224.35
Strontium Clathrates,527.57,+33.3%,3177741,538.07,455.53,839.79,347.26
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,6851.21,+20.4%,1128950,7426.77,6134.11,4190.62,7437.52
Enriched Uranium,11016.07,-13.8%,775395,11059.50,10915.42,12635.77,11239.59
Mechanical Parts,4818.13,-8.7%,732117,4584.86,5121.02,6958.20,3854.66
Oxygen,214.90,-6.0%,5477888,212.48,205.66,189.35,257.95
Robotics,25634.27,+2.4%,285447,25212.26,26743.87,22978.87,20152.64
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,177555.31,+12.6%,229,165234.92,188813.89,203073.44,147216.56
Datacore - Caldari Starship Engineering,136172.54,+17.5%,1097,127245.83,145453.18,241447.83,105445.30
Datacore - Electromagnetic Physics,78562.05,-23.6%,754,94157.58,71670.60,197289.16,64408.93
Datacore - Electronic Engineering,238471.57,+3.0%,7894,235945.99,243002.46,252456.29,225341.91
Datacore - Gallentean Starship Engineering,151216.16,-28.0%,2485,149467.35,137595.31,153537.92,137169.28
Datacore - Graviton Physics,120415.49,+1.3%,722,392409.33,120824.07,211780.59,95584.26
Datacore - High Energy Physics,95324.53,+1.8%,1330,155038.45,95324.53,186459.73,158766.44
Datacore - Hydromagnetic Physics,204975.69,+35.5%,2362,225155.84,206830.83,276371.67,185958.07
Datacore - Laser Physics,155615.50,+2.8%,869,155615.50,139841.93,238436.48,92979.97
Datacore - Mechanical Engineering,312712.69,-5.7%,22016,338626.88,295343.87,334686.77,339245.14
Datacore - Minmatar Starship Engineering,358763.69,-1.1%,13422,387425.60,358624.89,382170.06,368473.37
Datacore - Molecular Engineering,170952.79,+44.1%,0,225917.42,203099.63,403412.32,170952.79
Datacore - Nanite Engineering,144310.78,+28.9%,0,185960.71,228413.84,231145.30,144310.78
Datacore - Nuclear Physics,311056.98,+6.1%,0,269946.53,252328.55,303553.77,311056.98
Datacore - Plasma Physics,152072.11,+31.5%,0,130609.13,208084.16,617241.38,152072.11
Datacore - Quantum Physics,298494.23,+13.6%,0,340213.87,396181.23,299032.38,298494.23
Datacore - Rocket Science,124101.11,+48.6%,0,159355.27,165054.49,191288.15,124101.11
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,10806403.14,-8.9%,0,10038672.74,10761395.10,8103127.37,10806403.14
Assembly Instructions,32003770.67,+13.3%,0,31600086.09,30666888.51,21187499.75,32003770.67
Calibration Data,3753789.90,+6.7%,323,4059975.93,3551629.29,4412979.17,4249820.01
Circuitry Schematics,5200196.31,-11.3%,211,5221788.51,5089526.05,4453345.83,6362299.48
Circular Logic,706661.77,+18.2%,30,706661.77,1950071.42,3075000.00,932877.36
Classic Doctrine,7581448.96,-10.9%,32,7581448.96,7404599.90,7500000.00,9338567.03
Collision Measurements,4408873.54,+67.3%,0,4960275.92,5946526.30,5340000.00,4408873.54
Engagement Plan,5704398.66,+3.4%,74,6469684.06,5512761.87,10416666.67,6948310.87
Formation Layout,6961833.19,-16.7%,0,5529781.03,5336226.42,3608750.00,6961833.19
Installation Guide,18327684.22,+11.3%,0,32220000.06,30437932.71,47500000.00,18327684.22
Interface Alignment Chart,4204866.31,-4.9%,109,4210276.69,4599846.16,8149999.50,3852330.32
Operation Handbook,7191738.81,+3.3%,654,7322219.22,7042960.46,6615145.52,9045254.01
Prototype Diagram,4211789.12,+19.0%,0,6149570.07,6980000.04,12000000.00,4211789.12
Sacred Manifesto,3703168.07,-0.3%,125,3703168.07,4961095.21,3627272.73,4379000.42
