Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.46,+0.3%,29125189767,2.49,2.40,2.55,2.46
Pyerite,5.02,-2.9%,6996158106,5.07,4.89,4.80,5.14
Mexallon,23.51,+0.1%,1984059575,23.97,22.17,22.01,25.17
Isogen,48.56,-0.0%,347829637,49.09,46.99,48.65,48.73
Nocxium,123.97,-2.1%,141368637,125.79,122.61,138.08,114.77
Zydrine,1181.21,-16.2%,22035104,1186.07,1166.93,1333.55,1072.36
Megacyte,2493.15,-2.1%,9835847,2502.47,2466.51,2928.61,2390.67
Morphite,4656.84,-3.3%,1200780,4732.38,4548.31,5677.32,4695.65
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,122240.37,+1.4%,123123,122674.82,120344.53,121549.72,129802.15
Armor Plates,236293.91,-2.2%,92745,235730.61,236591.67,221826.64,230784.94
Broken Drone Transceiver,97.68,-33.3%,58373,65.04,186.50,100.00,220.76
Burned Logic Circuit,30751.51,-4.0%,381395,31260.82,29511.47,29238.11,32659.22
Charred Micro Circuit,130.95,-2.9%,329421,119.76,163.33,100.00,369.04
Conductive Polymer,95.66,-46.6%,39671,50.49,196.36,100.00,309.46
Contaminated Lorentz Fluid,165.48,-3.3%,58201,160.81,187.35,100.00,241.84
Contaminated Nanite Compound,3110.98,-15.4%,91727,3249.77,2623.23,1865.65,3153.61
Damaged Artificial Neural Network,312.20,-13.4%,44275,338.69,270.06,500.00,371.00
Defective Current Pump,193.75,-0.7%,21435,193.08,190.11,100.00,510.89
Fried Interface Circuit,4903.24,-3.0%,368647,4937.86,4796.73,4234.88,4935.88
Malfunctioning Shield Emitter,309.60,+7.5%,68141,327.79,286.05,301.31,273.83
Melted Capacitor Console,88472.92,-1.6%,22488,88398.10,88403.02,88303.61,85427.19
Scorched Telemetry Processor,161.00,+36.6%,28796,150.27,204.58,100.00,302.88
Smashed Trigger Unit,101.21,-55.5%,196911,86.19,189.36,100.01,271.49
Tangled Power Conduit,297.91,-13.7%,25844,300.32,276.74,417.06,392.57
Thruster Console,107.92,-7.3%,112136,100.50,195.35,100.00,377.99
Tripped Power Circuit,47960.40,+4.3%,433593,48765.09,44049.18,44866.41,50530.85
Ward Console,26659.80,+5.1%,47126,26945.80,23899.54,24075.94,24594.70
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
