Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.73,-0.0%,27137656195,2.76,2.67,2.72,2.93
Pyerite,6.97,-0.3%,6446002414,7.05,6.83,6.57,7.42
Mexallon,29.16,+0.5%,1620838245,29.64,28.13,26.68,30.80
Isogen,53.63,-0.5%,278568296,53.84,54.42,45.96,54.33
Nocxium,85.04,-4.7%,139870121,85.95,83.23,81.35,83.23
Zydrine,1254.78,+2.4%,32729056,1260.36,1242.65,1225.13,1267.41
Megacyte,2317.14,+5.1%,14933625,2310.83,2350.94,2275.68,2339.29
Morphite,5203.75,+15.7%,1144660,5164.21,5329.35,5689.31,5110.95
,,,,,,,
Fuel,,,,,,,
Coolant,1161.73,-1.8%,3100256,1137.52,1272.66,2098.57,1308.94
Enriched Uranium,5285.34,+4.1%,1626802,5255.51,5291.97,5643.99,5300.33
Heavy Water,18.97,+1.9%,21117275,19.57,17.65,21.94,20.31
Helium Isotopes,410.48,+1.3%,9376313,401.05,430.71,445.25,367.17
Hydrogen Isotopes,401.26,-0.3%,110689011,405.86,397.49,393.20,432.65
Nitrogen Isotopes,464.99,+2.1%,13702738,459.24,467.77,544.72,412.55
Oxygen Isotopes,444.85,-0.7%,15213283,438.98,445.74,513.90,404.27
Liquid Ozone,331.14,+4.9%,22323416,334.93,310.59,417.16,282.07
Mechanical Parts,616.77,+8.2%,3450212,638.39,598.68,590.95,639.04
Oxygen,108.81,+5.7%,14610235,112.01,99.10,128.42,114.17
Robotics,6924.25,-1.1%,654527,6959.86,6831.05,7000.00,6950.89
Strontium Clathrates,975.45,+6.7%,1782353,995.39,914.93,1169.53,850.64
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,132239.31,+1.2%,127431,132515.32,130414.06,134706.92,141540.50
Armor Plates,198155.95,+1.8%,96190,200137.18,192739.90,191212.28,207448.82
Broken Drone Transceiver,97.03,-0.1%,61720,96.10,98.31,102.36,141.31
Burned Logic Circuit,29775.10,-2.0%,393012,29893.68,28408.13,31024.79,30923.30
Charred Micro Circuit,134.65,-7.2%,460558,138.36,97.58,155.29,319.62
Conductive Polymer,132.31,-3.1%,33870,135.35,122.54,100.00,124.74
Contaminated Lorentz Fluid,160.15,+5.1%,50415,180.24,81.19,100.00,215.05
Contaminated Nanite Compound,2663.82,-3.7%,94940,2745.05,1855.04,3000.00,2829.47
Damaged Artificial Neural Network,460.84,-34.9%,35847,262.65,1672.91,500.00,297.91
Defective Current Pump,186.65,-4.7%,31684,191.18,153.36,100.00,235.78
Fried Interface Circuit,3958.25,+2.1%,533886,4039.70,3124.46,4200.00,4451.04
Malfunctioning Shield Emitter,211.85,-1.9%,72520,202.76,302.20,100.00,178.30
Melted Capacitor Console,84530.50,-0.8%,26831,84601.97,85104.51,83286.57,81715.40
Scorched Telemetry Processor,197.46,-32.5%,35443,209.80,125.24,120.00,179.44
Smashed Trigger Unit,115.59,+1.3%,188702,117.11,130.46,63.81,129.97
Tangled Power Conduit,520.95,+74.7%,33835,573.64,310.78,265.57,3826.80
Thruster Console,142.88,-1.7%,79512,142.13,160.10,100.00,168.26
Tripped Power Circuit,39537.33,+0.2%,361936,39953.18,37220.72,39688.67,40156.32
Ward Console,22253.81,+1.4%,28525,22424.48,22005.11,20000.00,19542.33
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,129329.61,+0.3%,484,126748.05,131868.85,0.00,140950.83
Datacore - Caldari Starship Engineering,151922.93,-20.9%,742,160763.53,136041.82,70000.00,173069.21
Datacore - Electromagnetic Physics,82361.46,+14.6%,601,73373.46,109627.06,0.00,85972.36
Datacore - Electronic Engineering,286362.80,-11.6%,3569,310688.17,265914.33,230000.00,262562.32
Datacore - Gallentean Starship Engineering,232472.00,+26.6%,1463,217397.53,301332.01,250000.00,224589.24
Datacore - Graviton Physics,104796.73,+99.0%,644,119827.00,86791.19,0.00,74207.39
Datacore - High Energy Physics,157174.67,-6.6%,4336,164593.35,151412.11,238500.00,194089.01
Datacore - Hydromagnetic Physics,544755.18,+3.2%,2111,546136.32,536670.13,0.00,468993.62
Datacore - Laser Physics,193163.32,-12.0%,846,201892.31,164967.73,155000.00,112544.47
Datacore - Mechanical Engineering,350172.07,+13.7%,29484,418260.16,330201.44,352946.94,390210.24
Datacore - Minmatar Starship Engineering,334769.20,+14.1%,7421,394744.90,297795.26,434450.53,476848.34
Datacore - Molecular Engineering,302541.17,+11.4%,2180,342671.03,282045.19,0.00,335466.06
Datacore - Nanite Engineering,187848.61,+8.8%,2032,192150.59,179166.67,151791.04,200044.63
Datacore - Nuclear Physics,318539.57,+2.8%,2981,326369.09,302446.11,315000.00,355517.75
Datacore - Plasma Physics,289314.18,+5.0%,124,291972.66,288139.50,0.00,161453.70
Datacore - Quantum Physics,399357.67,-2.0%,1571,405574.56,394412.57,0.00,393204.64
Datacore - Rocket Science,253519.84,+0.5%,2506,265137.51,242138.23,400000.00,234729.24
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,8513459.03,+1.3%,116,8205161.94,8918991.03,4707025.00,10548739.20
Assembly Instructions,28575000.16,-5.4%,16,28435714.47,29550000.00,0.00,22080741.18
Calibration Data,4771119.71,-3.6%,295,4874582.45,4708524.36,4000000.00,5748472.85
Circuitry Schematics,4516169.88,+4.0%,152,3926799.12,5033032.54,2800014.01,4603060.15
Circular Logic,1000009.67,+258.3%,5,1000009.67,0.00,0.00,822231.07
Classic Doctrine,7046717.29,+7.9%,7,7046717.29,0.00,0.00,8235181.24
Collision Measurements,6387500.00,+15.3%,16,7390909.09,4180000.00,0.00,5120091.93
Engagement Plan,7418181.83,+15.5%,22,8000000.00,7015384.64,0.00,7150403.78
Formation Layout,4301811.69,+13.9%,21,4291902.28,4500000.00,0.00,5646698.37
Installation Guide,19743290.16,+121.0%,0,0.00,0.00,0.00,19743290.16
Interface Alignment Chart,3968842.08,+39.4%,20,3994391.67,3921392.86,0.00,4459561.06
Operation Handbook,6682743.42,-2.0%,527,6591577.83,6777279.27,5406734.00,8482736.12
Prototype Diagram,4931817.91,+112.9%,4,4931817.91,0.00,0.00,7081454.64
Sacred Manifesto,3441279.95,-0.2%,43,3445283.02,3402250.04,0.00,4193563.48
Stolen Formulas,40000000.00,-9.8%,2,40000000.00,0.00,0.00,36559714.85
Symbiotic Figures,8499999.98,-15.5%,6,0.00,8499999.98,0.00,4762229.06
Test Reports,13550000.00,+1.5%,10,13937500.00,12000000.00,0.00,11599365.39
Tuning Instructions,7611909.23,+0.3%,11,8101200.00,7204166.92,0.00,7933990.58
User Manual,3270250.88,+0.6%,12,3367546.41,2200000.00,0.00,3013945.24
War Strategon,17181918.78,+98.9%,0,0.00,0.00,0.00,17181918.78
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,120.51,+5.1%,15704039,118.37,128.61,59.69,108.75
Fermionic Condensates,24202.08,-16.0%,24415,20794.40,29730.88,0.00,19833.40
Fernite Carbide,98.25,+9.9%,32636165,96.65,101.59,85.72,96.02
Ferrogel,13380.99,+24.8%,88020,13198.33,13661.73,0.00,11874.15
Fullerides,1092.00,+3.1%,3520563,1018.78,1243.27,517.18,925.24
Hypersynaptic Fibers,3738.43,+9.0%,166400,3825.35,3686.22,501.03,3036.80
Nanotransistors,2584.87,+4.8%,1711620,2733.63,2486.14,3446.06,2541.34
Phenolic Composites,680.76,+0.6%,404657,677.12,698.95,32.15,482.41
Sylramic Fibers,193.00,+1.1%,13755160,182.68,217.72,199.00,187.01
Titanium Carbide,140.81,-7.9%,5564465,119.76,147.31,0.00,101.72
Tungsten Carbide,124.67,+0.5%,14881140,124.73,120.70,30.01,116.08
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,1490.56,-50.6%,1435,1631.83,372.68,0.00,4585.80
Central System Controller,17269.94,+178.4%,160,6185.31,45597.33,0.00,18791.21
Defensive Control Node,10045.35,+1.0%,106,10576.74,5456.00,0.00,15261.27
Electromechanical Hull Sheeting,693.42,+3.4%,21385,755.83,484.40,100.00,1220.10
Emergent Combat Analyzer,1493.06,-44.2%,504,1772.99,318.52,0.00,3345.47
Emergent Combat Intelligence,4579.90,-11.2%,110,5064.01,1735.76,0.00,20789.06
Fused Nanomechanical Engines,1015.38,+32.8%,496,1096.83,519.75,0.00,3505.47
Heuristic Selfassemblers,1450.93,+18.2%,433,1712.75,390.24,10.00,7224.82
Jump Drive Control Nexus,7617.31,+3.0%,105,8263.94,2091.64,0.00,20604.76
Melted Nanoribbons,4870099.90,-0.1%,2012,4908435.64,4769709.91,0.00,5079449.12
Modified Fluid Router,22162.56,-0.6%,14041,23001.91,20094.97,869.56,19835.72
Neurovisual Input Matrix,722.78,-0.0%,3740,710.47,776.51,500.00,408.67
Powdered C-540 Graphite,920.49,+3.7%,7496,1009.84,558.12,1163.11,1343.80
Resonance Calibration Matrix,1104.66,+25.6%,424,1206.71,697.63,0.00,8189.65
Thermoelectric Catalysts,17917.91,+52.2%,194,12032.86,28342.86,0.00,24075.19
,,,,,,,
Ancient Relics,,,,,,,
Intact Armor Nanobot,17102808.24,-6.4%,0,0.00,0.00,0.00,17102808.24
Intact Electromechanical Component,12824637.30,-22.0%,0,0.00,0.00,0.00,12824637.30
Intact Hull Section,76785024.96,-3.8%,0,0.00,0.00,0.00,76785024.96
Intact Power Cores,22842375.91,-73.7%,0,0.00,0.00,0.00,22842375.91
