Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.74,-0.7%,23670020949,2.76,2.68,2.70,2.85
Pyerite,6.86,+0.1%,7121963200,6.89,6.83,6.67,7.15
Mexallon,28.99,-2.8%,1597269177,29.38,28.05,28.06,30.42
Isogen,53.00,-3.2%,257561501,53.48,52.57,50.61,53.64
Nocxium,89.49,-0.7%,111165877,90.55,87.89,89.38,87.62
Zydrine,1398.25,-0.5%,17610290,1390.23,1411.12,1507.16,1381.42
Megacyte,2689.84,+2.3%,8375630,2696.79,2641.12,2747.30,2826.72
Morphite,6359.62,-2.7%,843720,6292.66,6828.38,6630.19,6263.69
,,,,,,,
Fuel,,,,,,,
Coolant,1155.96,-1.5%,2241066,1122.12,1462.53,1850.71,1191.07
Enriched Uranium,5236.47,+2.7%,844474,5328.80,5250.37,4874.11,5300.37
Heavy Water,16.98,+12.1%,26832056,19.13,15.15,26.93,20.79
Helium Isotopes,413.62,-3.2%,4902619,422.29,421.52,359.08,375.11
Hydrogen Isotopes,390.83,-2.0%,81131018,403.52,378.02,356.57,414.84
Nitrogen Isotopes,430.84,-16.4%,8479972,461.29,377.45,487.50,410.96
Oxygen Isotopes,458.08,-2.9%,9401841,433.52,430.00,550.97,405.68
Liquid Ozone,319.96,+6.1%,13998228,321.52,284.50,385.10,286.99
Mechanical Parts,652.29,+7.5%,3057919,683.04,636.00,592.19,654.34
Oxygen,108.55,-0.8%,8098234,109.25,104.35,126.76,124.86
Robotics,6833.54,+1.1%,358666,6957.62,6750.10,7000.00,6946.54
Strontium Clathrates,808.41,-28.0%,1177906,963.66,493.09,1483.20,842.06
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,134925.33,+0.2%,81696,135590.25,130471.84,135703.14,143357.52
Armor Plates,202638.25,+0.8%,62657,206360.19,194006.25,191162.75,211712.66
Broken Drone Transceiver,96.79,-0.3%,36315,96.02,98.30,100.00,143.30
Burned Logic Circuit,29743.77,+0.5%,267761,29863.22,28419.20,30000.00,32605.16
Charred Micro Circuit,123.22,-0.5%,245040,127.54,95.00,122.53,283.37
Conductive Polymer,132.16,+0.3%,35068,135.10,122.54,104.29,137.26
Contaminated Lorentz Fluid,164.98,+1.5%,40165,180.22,83.82,100.00,233.70
Contaminated Nanite Compound,2725.72,-0.1%,66174,2770.54,1956.02,3000.00,3162.90
Damaged Artificial Neural Network,413.73,+36.2%,51270,267.20,258.07,700.00,332.20
Defective Current Pump,178.71,+5.1%,18409,191.26,153.33,108.96,215.41
Fried Interface Circuit,3709.88,-5.2%,261125,3575.07,3629.82,4525.16,4427.66
Malfunctioning Shield Emitter,210.33,+3.4%,44102,213.16,302.20,100.00,284.72
Melted Capacitor Console,84914.07,+0.4%,37448,84800.05,85203.18,85823.70,82076.67
Scorched Telemetry Processor,173.56,-11.6%,52301,173.42,244.39,120.00,234.67
Smashed Trigger Unit,86.59,-5.9%,121230,78.30,121.68,100.00,155.52
Tangled Power Conduit,322.14,-25.8%,23731,219.11,1920.13,367.35,230.45
Thruster Console,138.95,+0.3%,53986,142.13,160.10,83.78,195.19
Tripped Power Circuit,39676.22,+0.5%,221259,40075.49,37515.46,39494.32,41895.06
Ward Console,21731.36,+2.5%,28627,21927.78,19786.85,20000.00,19575.23
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,136140.65,+13.3%,1363,119811.85,193999.00,0.00,139121.69
Datacore - Caldari Starship Engineering,130137.40,-13.4%,3011,191452.95,119165.90,0.00,155682.05
Datacore - Electromagnetic Physics,88099.07,+14.4%,1832,96337.28,83492.69,0.00,87475.70
Datacore - Electronic Engineering,269087.61,+16.8%,2350,270187.10,271308.78,230000.00,246282.44
Datacore - Gallentean Starship Engineering,253557.53,+1.3%,1420,230361.84,316640.58,250000.00,212090.08
Datacore - Graviton Physics,153081.15,-12.5%,510,115998.23,97776.73,290000.00,97895.71
Datacore - High Energy Physics,171705.05,+5.5%,1286,166464.01,185666.21,0.00,194459.89
Datacore - Hydromagnetic Physics,556609.41,-0.9%,1312,515348.79,707996.21,0.00,458228.47
Datacore - Laser Physics,184194.99,-9.5%,487,194994.86,164592.91,0.00,119474.92
Datacore - Mechanical Engineering,353922.85,-5.3%,19645,380630.68,328871.62,409181.81,406103.77
Datacore - Minmatar Starship Engineering,389171.91,+15.9%,4285,432502.29,326752.14,491874.28,437527.25
Datacore - Molecular Engineering,337441.85,+3.9%,811,354276.67,315043.79,0.00,333591.96
Datacore - Nanite Engineering,285100.59,+3.8%,931,291551.22,250000.00,320000.00,188136.67
Datacore - Nuclear Physics,301527.91,+5.9%,2140,296702.72,305252.86,328845.16,350513.20
Datacore - Plasma Physics,273867.00,-16.7%,469,288518.96,265914.45,0.00,0.00
Datacore - Quantum Physics,430521.01,-7.7%,1046,420641.21,449999.93,0.00,399308.92
Datacore - Rocket Science,276565.45,-13.7%,841,289292.97,249098.32,297618.81,0.00
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,8776477.17,-11.5%,71,9046505.96,8010069.36,8321407.00,9616314.27
Assembly Instructions,26000000.00,-12.8%,1,26000000.00,0.00,0.00,25339530.28
Calibration Data,4231290.42,-7.3%,167,4276146.65,4243859.71,3962222.52,5015032.87
Circuitry Schematics,4519469.39,-2.5%,49,4377531.28,4786647.00,0.00,4843570.33
Circular Logic,995148.00,+129.4%,9,995148.00,0.00,0.00,916840.16
Classic Doctrine,7115420.33,-9.4%,12,7318504.40,6100000.00,0.00,8141618.61
Collision Measurements,4250000.01,+67.6%,4,0.00,4250000.01,0.00,5122555.97
Engagement Plan,7369145.30,+17.2%,26,8173185.19,6272727.27,0.00,7197193.03
Formation Layout,4759138.42,+14.0%,54,4732519.90,5020000.00,0.00,5632384.09
Installation Guide,39100001.00,+9.5%,1,0.00,39100001.00,0.00,20904001.39
Interface Alignment Chart,4704569.15,+6.3%,47,4924646.55,4350000.00,0.00,5170411.31
Operation Handbook,6578451.09,-8.3%,320,6715518.91,6490900.48,4662205.56,8316662.36
Prototype Diagram,8000000.00,+17.2%,1,0.00,8000000.00,0.00,6995855.99
Sacred Manifesto,3551276.01,-2.0%,87,3566291.30,3403000.05,0.00,4426398.36
Stolen Formulas,37255135.47,-3.2%,0,0.00,0.00,0.00,37255135.47
Symbiotic Figures,7095833.25,-13.9%,12,9999999.75,5643750.00,0.00,5133473.95
Test Reports,10642813.50,+29.2%,0,0.00,0.00,0.00,10642813.50
Tuning Instructions,8697875.11,+1.2%,8,9581600.00,7225000.30,0.00,7716112.18
User Manual,4783476.56,-23.9%,23,4737892.68,5000000.00,0.00,2848476.81
War Strategon,21644329.69,+57.9%,0,0.00,0.00,0.00,21644329.69
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,120.98,+2.6%,11044656,119.21,126.50,0.00,100.89
Fermionic Condensates,21061.69,-0.9%,51733,20787.36,29799.19,26998.95,21430.44
Fernite Carbide,97.93,-7.6%,15585584,99.32,95.62,50.00,92.00
Ferrogel,13204.02,-0.6%,146138,13167.03,13615.27,7000.00,12192.29
Fullerides,998.40,+0.2%,3256668,1003.36,1134.74,517.20,922.03
Hypersynaptic Fibers,3123.47,+16.7%,144404,3025.16,4192.99,3629.44,3401.23
Nanotransistors,2648.27,+8.0%,1370345,2726.79,2886.13,678.29,2604.23
Phenolic Composites,464.75,+37.3%,841863,597.52,694.31,32.10,481.93
Sylramic Fibers,184.73,+6.8%,7143216,183.22,192.28,55.04,182.19
Titanium Carbide,111.32,-9.9%,10648750,119.37,109.02,0.00,95.74
