Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.74,+1.0%,29202748921,2.76,2.70,2.75,2.92
Pyerite,6.95,-0.4%,6781758410,7.02,6.81,6.67,7.35
Mexallon,29.34,+0.2%,2010782779,29.78,28.41,27.74,30.77
Isogen,53.79,+0.1%,316879827,54.13,53.42,52.05,54.39
Nocxium,88.11,+0.8%,99990801,90.15,83.69,87.80,90.27
Zydrine,1335.25,-2.4%,23179226,1343.24,1281.61,1462.85,1349.56
Megacyte,2516.11,+1.8%,11398500,2525.26,2421.57,2526.90,2549.85
Morphite,6040.68,-7.9%,1560427,6063.85,5910.63,6230.43,5936.04
,,,,,,,
Fuel,,,,,,,
Coolant,1170.19,-0.0%,3819808,1134.24,1391.12,2097.49,1290.81
Enriched Uranium,5310.34,-4.6%,1480046,5323.63,5267.29,5411.66,5300.38
Heavy Water,19.46,-19.0%,26525724,19.78,18.59,25.66,20.68
Helium Isotopes,413.65,-3.2%,13160618,415.71,427.87,345.41,373.04
Hydrogen Isotopes,397.24,-3.4%,121818679,409.31,389.21,386.56,429.31
Nitrogen Isotopes,476.98,-0.8%,14873015,470.16,471.97,588.05,412.34
Oxygen Isotopes,443.23,+2.8%,18732023,434.96,449.00,551.35,404.18
Liquid Ozone,328.22,-10.9%,20838535,334.40,296.64,391.08,290.79
Mechanical Parts,629.53,+0.9%,4105687,646.34,619.80,588.43,637.96
Oxygen,108.62,-2.5%,14250334,112.22,100.85,117.36,113.03
Robotics,6917.57,-0.6%,625132,6959.99,6838.49,6937.30,6972.74
Strontium Clathrates,1000.64,-12.9%,1470502,1087.53,755.12,1395.71,849.23
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,133113.18,+0.7%,105834,133387.34,130447.08,136127.88,143067.20
Armor Plates,201151.45,+0.3%,89492,204112.48,193538.36,184960.05,212188.56
Broken Drone Transceiver,97.17,-0.5%,63475,96.08,98.31,102.80,142.01
Burned Logic Circuit,29393.44,+1.2%,314711,29406.88,28595.21,30814.01,31278.54
Charred Micro Circuit,134.82,-16.0%,359536,141.41,98.07,102.57,357.13
Conductive Polymer,132.12,+1.9%,34438,135.02,122.54,106.00,201.94
Contaminated Lorentz Fluid,165.00,-2.8%,52602,180.17,82.18,100.00,202.03
