Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.41,-0.5%,23986287167,2.42,2.34,2.58,2.49
Pyerite,4.59,-0.3%,5316154163,4.59,4.56,4.46,4.82
Mexallon,27.46,+3.0%,1937224573,27.71,27.25,25.05,29.62
Isogen,51.56,-3.0%,200426323,51.92,50.35,52.33,56.82
Nocxium,124.64,+5.1%,74558556,126.33,121.64,128.31,122.41
Zydrine,1035.03,+11.1%,22688046,1010.26,1064.95,1110.27,998.42
Megacyte,2126.67,+5.8%,7614713,2090.49,2152.55,2095.30,2219.18
Morphite,4290.20,+3.9%,647807,4209.48,4344.94,4026.13,4058.92
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,121882.11,-2.4%,93622,124329.83,118538.80,115203.94,129088.62
Armor Plates,229245.99,+0.5%,120269,231242.84,227653.69,206413.02,231947.85
Broken Drone Transceiver,97.29,+3.6%,60183,100.43,49.13,101.92,206.09
Burned Logic Circuit,30107.94,-21.1%,401569,30951.46,29518.92,23763.14,31700.26
Charred Micro Circuit,142.07,-29.6%,376316,148.68,135.67,100.91,391.28
Conductive Polymer,135.72,-54.0%,40363,150.16,79.02,102.01,208.31
Contaminated Lorentz Fluid,207.75,+8.1%,70659,218.97,100.93,102.91,196.46
Contaminated Nanite Compound,2623.31,-80.2%,100116,2948.54,2191.88,203.96,3071.08
Damaged Artificial Neural Network,152.28,-5.6%,35471,149.79,121.26,183.04,327.29
Defective Current Pump,154.82,+1.4%,26494,158.53,184.43,110.88,244.91
Fried Interface Circuit,4498.40,-26.4%,389998,4663.82,4457.30,3182.15,4912.67
Malfunctioning Shield Emitter,165.51,-10.4%,82648,188.11,89.02,100.26,366.15
Melted Capacitor Console,106710.04,-40.9%,33325,93229.84,200798.26,88536.99,90595.06
Scorched Telemetry Processor,110.74,+1.1%,38297,111.45,93.20,100.00,236.21
Smashed Trigger Unit,80.89,-75.3%,207107,119.11,40.99,64.19,156.29
