Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.14,-0.6%,25622859208,2.17,2.08,2.09,2.26
Pyerite,3.50,-0.1%,6338882348,3.55,3.40,3.51,3.73
Mexallon,29.23,-2.1%,1827459377,29.09,29.81,29.39,31.76
Isogen,60.31,-0.4%,250541328,60.50,59.11,59.58,62.38
Nocxium,233.83,+0.5%,73800711,228.35,212.45,319.00,228.19
Zydrine,994.12,-1.5%,16383547,991.43,1011.27,1077.54,964.38
Megacyte,2338.63,-2.4%,7416960,2355.16,2286.28,2301.67,2296.34
Morphite,4040.37,+0.9%,811862,4040.37,4008.12,4418.04,3972.07
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,106607.46,+1.5%,125262,108002.96,101122.15,106311.13,115772.57
Armor Plates,267710.44,+0.9%,111778,270027.31,256661.74,224843.59,270567.15
Broken Drone Transceiver,63.40,-65.3%,47096,54.01,79.72,2.81,150.07
Burned Logic Circuit,28809.02,+0.8%,380324,28982.87,28367.51,25247.95,30173.16
Charred Micro Circuit,133.96,+13.1%,381045,142.70,109.07,88.36,327.33
Conductive Polymer,61.99,-45.3%,28788,75.28,33.88,1.00,201.14
Contaminated Lorentz Fluid,122.85,-19.8%,62958,128.69,90.21,15.33,370.48
Contaminated Nanite Compound,2332.16,+11.5%,97771,2428.89,1852.53,1600.01,2648.57
Damaged Artificial Neural Network,224.25,-31.2%,39883,237.57,128.47,52.60,269.20
Defective Current Pump,133.73,+18.6%,28341,158.63,13.00,10.45,223.64
Fried Interface Circuit,3932.71,+2.0%,372216,4010.01,3681.81,2387.24,3813.82
Malfunctioning Shield Emitter,183.04,-29.5%,61520,204.25,128.72,88.19,324.93
Melted Capacitor Console,118109.72,+1.6%,30890,121207.57,115635.30,125605.16,116639.39
Scorched Telemetry Processor,91.35,+5.4%,34085,100.38,51.93,10.13,245.51
Smashed Trigger Unit,71.71,+25.5%,187572,81.30,41.24,11.17,176.04
Tangled Power Conduit,94.60,-0.7%,35887,110.64,66.99,108.08,271.98
Thruster Console,81.09,-69.2%,86326,83.24,70.31,19.06,269.77
Tripped Power Circuit,86055.94,+0.2%,380196,86194.46,85062.00,79740.13,87629.09
Ward Console,33431.91,-5.8%,63537,33524.96,33529.34,24282.01,29447.25
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,15887.58,-87.7%,1342,3888.36,33168.79,3388.78,3808.74
Capacitor Console,19037599.96,-4.1%,63,20616123.58,18907935.18,17347769.25,18478532.31
Conductive Thermoplastic,125996.25,-88.1%,107,19440.98,148561.83,14286.54,13827.33
Current Pump,42136.62,-92.2%,175,35019.31,3275.77,3446.12,36036.22
Drone Transceiver,14875.53,-75.9%,716,10304.76,2723.33,2001.21,3048.49
Enhanced Ward Console,15905701.99,-16.2%,122,16083624.31,15173471.28,13521554.53,14800215.16
Impetus Console,7662.13,-96.7%,56,13522.89,7662.13,5016.17,17871.30
Intact Armor Plates,24964451.60,-1.0%,96,25205594.31,24655317.84,17746434.39,27481515.37
Intact Shield Emitter,641663.77,+14.8%,64,660308.32,586013.13,407423.46,884836.66
Interface Circuit,74774.34,-19.6%,3724,74208.31,78393.96,124472.60,46053.80
Logic Circuit,100352.85,-7.3%,1095,101093.85,102281.03,16004.43,117993.53
Lorentz Fluid,5317.81,+84.2%,201,2611.87,6837.41,1503.08,5972.72
Micro Circuit,5316.16,-5.9%,295,3427.34,5316.16,6792.81,5326.39
Nanite Compound,39027.20,-94.9%,160,42552.13,14127.17,20058.83,40666.43
Power Circuit,1274353.98,-8.6%,978,1360730.14,1168335.69,1424453.12,1291599.13
Power Conduit,3064.30,-33.4%,64,15154.84,3885.23,11720.17,36266.56
Single-crystal Superalloy I-beam,6039645.65,+0.7%,118,5855837.71,6039645.65,4656669.02,5766297.26
Telemetry Processor,13394.89,-77.6%,76,20280.96,125456.94,3500.07,81558.72
Trigger Unit,14629.30,-65.8%,92,49623.01,14629.30,6456.53,42797.16
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,310.32,-0.8%,8633026,305.69,366.99,449.84,309.45
Hydrogen Isotopes,278.14,-6.2%,103312275,285.93,276.55,306.96,298.71
Nitrogen Isotopes,283.25,+19.7%,0,307.43,347.78,364.48,283.25
Oxygen Isotopes,310.01,-7.1%,6882210,317.83,310.01,413.68,283.27
Heavy Water,15.11,-12.2%,20166873,18.19,14.50,15.22,20.18
Liquid Ozone,239.99,-19.5%,18391985,252.82,217.55,262.40,247.26
Strontium Clathrates,650.92,-61.6%,1197375,348.70,324.29,4079.52,311.14
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,8146.33,-3.0%,812603,8037.03,8445.89,12619.40,8031.67
Enriched Uranium,6857.68,-4.0%,569416,6936.17,6639.46,7508.82,7349.98
Mechanical Parts,6659.04,+12.3%,545094,6416.62,7079.93,6050.99,5778.69
Oxygen,253.44,-21.1%,3563888,275.95,234.48,243.14,334.42
Robotics,35476.75,-4.2%,142762,35196.05,37853.49,35739.93,29071.90
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,196287.94,-9.0%,0,188916.22,169194.19,149133.73,196287.94
Datacore - Caldari Starship Engineering,108237.83,+24.7%,2290,111622.45,139421.91,151879.03,109594.43
Datacore - Electromagnetic Physics,48111.74,+27.8%,740,67330.01,48111.74,175833.87,71937.77
Datacore - Electronic Engineering,245599.03,+7.9%,5762,247563.58,241271.07,270167.94,236142.52
Datacore - Gallentean Starship Engineering,111785.43,+9.6%,0,144712.19,119545.84,182202.76,111785.43
Datacore - Graviton Physics,80510.31,+79.7%,1601,80510.31,111421.16,128472.73,88716.45
Datacore - High Energy Physics,120231.05,+35.4%,2110,120231.05,113699.60,310421.05,139224.90
Datacore - Hydromagnetic Physics,275663.24,+3.7%,1379,277569.10,246078.83,270189.40,223505.07
Datacore - Laser Physics,150963.56,+17.2%,1798,147958.15,178837.46,199756.10,146088.83
Datacore - Mechanical Engineering,319753.15,-6.2%,25282,347934.99,310693.95,394893.29,343853.10
Datacore - Minmatar Starship Engineering,366658.67,-4.3%,10769,356435.99,377993.10,379026.48,411423.36
Datacore - Molecular Engineering,265950.54,-4.5%,0,355370.24,208742.19,278899.47,265950.54
Datacore - Nanite Engineering,183716.58,+76.1%,0,293405.15,197061.79,185964.96,183716.58
Datacore - Nuclear Physics,321986.81,+4.2%,1011,321986.81,244728.49,304957.36,385829.59
