Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.72,+0.1%,27087898150,2.76,2.66,2.67,2.93
Pyerite,6.96,+0.9%,6700180245,7.05,6.81,6.50,7.43
Mexallon,29.00,+0.7%,1715547361,29.51,27.99,26.62,30.83
Isogen,53.45,+1.5%,296159304,53.63,54.26,46.28,54.40
Nocxium,83.75,+4.7%,150964829,84.69,82.31,80.27,82.26
Zydrine,1207.80,+6.4%,26758593,1205.75,1209.20,1222.57,1221.97
Megacyte,2205.82,+11.0%,12502938,2182.51,2283.57,2018.83,2276.12
Morphite,5127.74,+14.3%,1353359,5114.25,5156.45,5719.47,5090.07
,,,,,,,
Fuel,,,,,,,
Coolant,1154.91,-3.1%,3805947,1126.48,1270.55,2098.28,1298.56
Enriched Uranium,5209.79,-2.8%,1777348,5187.12,5224.41,5385.35,5300.02
Heavy Water,18.57,+3.2%,24765249,19.29,16.55,21.73,20.32
Helium Isotopes,410.82,+4.7%,8873381,402.35,447.46,436.69,368.16
Hydrogen Isotopes,402.57,-0.3%,116828015,407.71,397.28,394.88,434.81
Nitrogen Isotopes,453.91,+4.4%,18799089,445.30,467.82,583.08,412.55
Oxygen Isotopes,431.65,+1.4%,20947900,424.56,438.72,516.30,401.02
Liquid Ozone,327.12,+6.2%,31079972,334.17,309.46,418.25,284.20
Mechanical Parts,622.71,+12.0%,3121627,634.28,606.32,604.03,641.16
Oxygen,107.19,+5.0%,13246122,109.25,99.59,144.60,117.79
Robotics,6938.82,-0.3%,726204,6959.87,6871.39,7000.00,6950.72
Strontium Clathrates,961.18,+11.6%,1811544,989.19,905.80,768.66,848.64
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,131801.70,+0.4%,123805,131996.74,130404.72,133688.00,141460.86
Armor Plates,196923.99,+1.1%,89687,198377.75,192566.84,192694.48,206996.98
Broken Drone Transceiver,96.93,+0.4%,60504,96.10,98.31,100.00,141.31
Burned Logic Circuit,29887.26,-2.9%,382633,30112.27,28407.16,31337.35,30802.74
Charred Micro Circuit,133.12,+26.5%,415987,137.47,96.59,160.08,323.00
Conductive Polymer,134.16,-2.3%,36395,138.50,122.54,100.00,124.39
Contaminated Lorentz Fluid,162.39,+2.5%,56314,180.24,81.05,100.00,218.66
Contaminated Nanite Compound,2657.75,+3.6%,110172,2758.70,1855.03,3000.00,2859.98
Damaged Artificial Neural Network,441.06,-31.9%,40965,262.29,1780.56,500.00,298.16
Defective Current Pump,183.27,-1.2%,26267,191.17,153.36,100.00,238.38
Fried Interface Circuit,3918.35,-0.4%,494858,4017.25,3123.63,4200.00,4393.96
Malfunctioning Shield Emitter,214.57,-3.6%,61166,201.52,302.20,100.00,178.16
Melted Capacitor Console,86649.25,-3.5%,26830,84504.93,103923.04,85815.45,82412.83
Scorched Telemetry Processor,213.64,-3.6%,42711,230.29,127.52,120.00,179.37
Smashed Trigger Unit,116.04,-3.6%,170092,117.11,130.78,37.74,127.27
Tangled Power Conduit,300.54,-24.7%,29503,301.54,310.91,205.73,3257.14
Thruster Console,142.30,-1.0%,78099,142.13,160.10,100.00,171.44
Tripped Power Circuit,39356.14,+0.8%,373522,39857.22,37189.42,39269.11,40170.95
Ward Console,22681.63,-0.4%,37148,23002.01,21619.60,20000.00,19413.28
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,129891.39,+2.1%,459,128731.27,130950.00,0.00,136028.48
Datacore - Caldari Starship Engineering,160289.50,-12.5%,856,166990.07,144999.17,70000.00,175832.20
Datacore - Electromagnetic Physics,89727.63,+8.4%,893,82704.94,117162.42,0.00,86183.14
Datacore - Electronic Engineering,286739.38,-6.8%,5357,306287.72,262471.62,0.00,258795.27
Datacore - Gallentean Starship Engineering,210437.00,+14.4%,1642,210157.52,216117.18,0.00,223825.50
Datacore - Graviton Physics,107995.90,+119.0%,497,112303.89,99998.89,0.00,74494.81
Datacore - High Energy Physics,161358.02,+10.4%,4124,190466.11,153685.16,238500.00,197549.46
Datacore - Hydromagnetic Physics,543963.17,-1.6%,2213,546062.65,529760.36,0.00,484242.05
Datacore - Laser Physics,184224.23,-6.5%,1136,202813.02,164911.47,155000.00,110488.48
Datacore - Mechanical Engineering,349697.99,+13.9%,33623,412232.84,328918.17,351954.08,388710.67
Datacore - Minmatar Starship Engineering,338413.62,+11.1%,9292,388968.57,298101.99,341666.39,461195.06
Datacore - Molecular Engineering,308413.00,+7.3%,2356,350148.41,280559.86,0.00,333897.46
Datacore - Nanite Engineering,196989.83,+2.4%,2110,203126.17,172001.92,0.00,202540.97
Datacore - Nuclear Physics,318212.06,+6.3%,3400,327747.35,301197.35,315000.00,353550.19
Datacore - Plasma Physics,296353.60,+2.6%,144,303781.04,287575.72,0.00,161620.57
Datacore - Quantum Physics,401151.98,+1.2%,1552,406025.64,396290.86,0.00,396874.38
Datacore - Rocket Science,259386.59,+0.7%,2974,271315.12,248709.87,342307.69,239976.53
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,8565080.57,+12.0%,67,8163211.77,9004624.57,0.00,10674235.51
