Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.57,-0.7%,22927120448,2.60,2.51,2.55,2.69
Pyerite,6.29,-1.8%,5460934457,6.39,6.11,5.78,6.61
Mexallon,26.90,+0.6%,1469202828,27.04,26.69,26.21,28.72
Isogen,49.71,+0.3%,258027124,50.68,47.50,50.80,52.42
Nocxium,97.02,+3.7%,77261501,97.33,96.24,107.98,102.40
Zydrine,1365.88,+3.4%,20230945,1390.89,1317.19,1549.83,1360.27
Megacyte,2653.90,+0.6%,9011251,2674.45,2615.05,2833.82,2751.39
Morphite,5746.63,-8.8%,983186,5817.88,5280.37,7882.69,5926.19
,,,,,,,
Fuel,,,,,,,
Coolant,1158.75,+2.9%,3003784,1107.11,1600.00,1911.89,1229.69
Enriched Uranium,5844.92,-7.4%,785235,5977.43,5300.00,5300.98,5300.81
Heavy Water,24.99,+3.2%,23868832,23.81,27.50,54.88,23.27
Helium Isotopes,344.29,+8.5%,6952645,340.09,390.00,398.01,337.21
Hydrogen Isotopes,330.18,-4.0%,59755971,337.92,320.01,332.01,352.94
Nitrogen Isotopes,371.41,+0.2%,14370071,367.16,381.00,474.61,327.61
Oxygen Isotopes,389.02,+4.4%,10590031,378.40,400.00,476.34,361.36
Liquid Ozone,362.07,+3.5%,21693371,360.85,370.01,363.08,323.96
Mechanical Parts,663.16,-5.4%,2283172,673.58,634.34,587.99,646.65
Oxygen,108.53,+2.8%,7221541,109.25,104.82,141.00,125.08
Robotics,6995.90,-0.1%,360083,6999.67,6890.00,7200.00,6944.51
Strontium Clathrates,811.41,+5.8%,1063234,822.57,783.84,688.29,728.75
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,132547.65,+1.1%,106850,131674.64,137006.55,130533.26,142208.31
Armor Plates,225978.58,-2.2%,90715,228457.63,208967.52,220000.00,233788.16
Broken Drone Transceiver,90.62,-1.8%,42362,91.01,83.00,100.00,152.57
Burned Logic Circuit,31137.60,+0.7%,333787,31265.69,30496.46,31000.00,31483.08
Charred Micro Circuit,137.46,-9.3%,269129,149.30,51.61,100.00,183.20
Conductive Polymer,113.31,-11.7%,56779,113.87,100.01,100.00,161.15
Contaminated Lorentz Fluid,151.26,-14.3%,38431,150.94,161.95,100.00,227.46
Contaminated Nanite Compound,2773.67,-5.7%,89566,2858.38,2089.85,1808.27,2939.86
Damaged Artificial Neural Network,303.18,+0.8%,28662,300.01,261.11,500.00,350.79
Defective Current Pump,199.96,-7.5%,30379,203.16,154.75,125.52,0.00
Fried Interface Circuit,4923.21,-1.8%,329732,5015.74,3996.38,4808.31,4765.49
Malfunctioning Shield Emitter,264.51,-13.9%,57576,268.21,111.30,300.04,500.09
Melted Capacitor Console,84173.52,-3.3%,35283,84565.01,82656.14,78861.19,78313.01
Scorched Telemetry Processor,138.40,-1.7%,23377,139.58,125.47,120.00,0.00
Smashed Trigger Unit,95.43,-5.3%,132099,106.22,17.96,100.00,138.78
Tangled Power Conduit,261.06,-21.7%,28915,263.25,277.46,100.00,0.00
Thruster Console,57.54,+10.2%,87878,51.34,116.53,52.49,269.96
Tripped Power Circuit,44735.19,+1.1%,336424,45471.80,41311.88,42182.15,45675.96
Ward Console,21618.82,+4.8%,27182,21511.23,21427.61,24660.12,19307.20
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,184055.27,-14.8%,570,184055.27,0.00,0.00,157843.61
