Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.42,-3.7%,17238300387,2.46,2.37,2.19,2.59
Pyerite,4.77,+1.9%,4760723698,4.87,4.69,4.18,5.25
Mexallon,24.29,-5.3%,1372374854,24.79,22.76,22.76,27.69
Isogen,49.23,-4.6%,215704760,50.41,46.58,44.97,52.71
Nocxium,120.24,+3.7%,37515175,118.79,119.84,120.51,120.10
Zydrine,1133.66,+10.3%,12115840,1113.20,1151.21,1211.43,1045.37
Megacyte,2397.00,-2.6%,10333145,2397.08,2374.40,2552.64,2413.57
Morphite,4686.92,+13.1%,575888,4668.29,4542.37,5185.01,4514.03
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,121510.96,+1.0%,103562,122400.34,119003.08,117353.78,129732.25
Armor Plates,232091.59,+0.6%,83074,232859.72,230474.30,226111.42,230458.15
Broken Drone Transceiver,92.05,-29.3%,54039,56.70,220.00,100.00,284.58
Burned Logic Circuit,31384.66,+0.8%,383585,32056.33,29435.66,29114.79,32508.05
Charred Micro Circuit,185.42,+26.6%,417210,183.25,221.27,102.99,337.72
Conductive Polymer,223.24,+23.2%,32673,237.59,204.01,100.00,356.40
Contaminated Lorentz Fluid,162.17,+11.0%,39913,168.74,180.05,100.00,387.53
Contaminated Nanite Compound,3083.43,+4.1%,137725,3212.39,2564.19,1225.21,3267.80
Damaged Artificial Neural Network,970.87,-77.8%,44620,240.11,3098.86,400.00,413.74
Defective Current Pump,155.11,-9.0%,27143,154.33,197.19,100.00,336.62
Fried Interface Circuit,4888.09,+0.3%,406360,4967.67,4755.45,4000.00,4675.48
Malfunctioning Shield Emitter,279.53,+8.7%,73488,303.53,191.87,100.00,448.57
Melted Capacitor Console,91274.57,-1.8%,25437,91309.39,90789.91,87041.04,85060.18
Scorched Telemetry Processor,110.89,-20.6%,35110,88.72,220.00,100.00,294.26
Smashed Trigger Unit,170.23,+1.0%,242564,161.50,229.60,100.00,315.89
Tangled Power Conduit,263.48,-2.4%,24164,264.44,298.17,120.06,318.76
Thruster Console,112.39,+7.1%,131391,100.91,186.01,100.00,407.35
Tripped Power Circuit,49675.58,+3.8%,319355,50704.23,44835.50,46533.11,52702.99
Ward Console,27891.14,+0.6%,99122,28049.37,28048.69,20478.35,25515.44
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,5688.97,-36.3%,516,6164.78,1324.33,1677.54,6729.20
Capacitor Console,19316936.35,-1.6%,154,19571073.88,16832765.87,9285719.36,19928547.41
Conductive Thermoplastic,11930.65,-22.6%,359,11930.65,16030.90,3001.08,18235.72
Current Pump,10459.84,+113.9%,66,12575.71,3703.04,3734.55,46268.41
Drone Transceiver,5200.85,-34.7%,121,4943.54,3800.69,2035.55,5533.02
Enhanced Ward Console,17298542.56,-9.8%,104,17373022.59,17270255.73,13000100.00,16751524.44
Impetus Console,9258.03,+18.8%,126,9560.15,21750.17,5008.95,23224.28
Intact Armor Plates,22018375.94,+2.3%,154,22175577.25,23240905.14,18905716.19,23432875.65
Intact Shield Emitter,668406.00,+4.3%,79,801801.20,410452.00,127735.00,608058.58
Interface Circuit,89485.75,-21.7%,947,85618.07,95907.98,161970.09,70726.15
Logic Circuit,162932.46,-10.6%,795,164390.53,132278.89,111522.46,169282.35
Lorentz Fluid,4780.79,-36.8%,195,5044.00,2500.43,4206.64,6679.95
Micro Circuit,13882.88,-46.7%,616,13991.52,17170.54,5232.37,10562.46
Nanite Compound,35964.72,-2.7%,69,36471.55,104498.35,5369.37,62139.15
Power Circuit,1656161.61,+6.5%,791,1658414.15,1633036.59,3326559.90,1572753.53
Power Conduit,92901.04,-76.3%,97,95802.13,28934.02,9006.79,30261.18
Single-crystal Superalloy I-beam,5915809.64,-21.3%,242,5957731.67,5637100.91,5746374.76,6013922.06
Telemetry Processor,60294.91,-16.0%,65,67275.88,2472.36,22004.03,39567.10
Trigger Unit,42692.46,+35.7%,218,43069.67,36344.40,3233.34,22257.31
,,,,,,,
Ice Products,,,,,,,
