Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.20,+1.0%,29827908905,2.22,2.14,2.27,2.40
Pyerite,3.65,+0.9%,8301830960,3.68,3.61,3.42,4.00
Mexallon,31.47,+0.1%,2010424325,32.00,30.68,28.67,34.05
Isogen,59.75,+1.6%,316598548,60.45,54.07,65.40,61.34
Nocxium,158.22,-0.2%,65519790,157.49,156.26,170.00,150.62
Zydrine,1042.80,+3.6%,22178847,1039.34,1052.39,1099.13,992.15
Megacyte,2284.71,+2.9%,8355314,2292.02,2267.21,2295.61,2316.33
Morphite,4106.60,-2.5%,1571402,4096.51,3867.72,4418.04,3884.35
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,108497.63,+2.8%,102917,108073.81,106651.72,99526.70,118094.21
Armor Plates,255231.68,-2.1%,91712,256778.41,248964.54,244508.46,262011.35
Broken Drone Transceiver,97.20,+2.9%,63252,100.25,100.03,2.01,175.12
Burned Logic Circuit,29712.21,+1.0%,473146,30002.22,28662.66,27067.00,30010.68
Charred Micro Circuit,125.35,-9.8%,408435,108.86,202.84,85.10,275.37
Conductive Polymer,128.02,-73.8%,41666,150.04,27.13,1.00,188.95
Contaminated Lorentz Fluid,184.06,-46.1%,58236,172.36,94.73,15.33,111.26
Contaminated Nanite Compound,1962.94,-6.0%,107216,2025.95,1834.80,1555.31,2530.25
Damaged Artificial Neural Network,145.70,-12.0%,39778,154.66,127.59,52.60,217.74
Defective Current Pump,138.65,+8.5%,32816,158.58,10.09,10.08,225.19
Fried Interface Circuit,3892.03,-14.4%,499839,4034.29,3210.21,3846.56,3879.31
Malfunctioning Shield Emitter,160.68,+10.3%,95232,169.71,128.08,82.03,303.71
Melted Capacitor Console,124361.48,+1.3%,23136,125458.57,123140.51,105443.18,121863.05
Scorched Telemetry Processor,103.32,-8.6%,46222,111.37,43.21,1.02,190.04
Smashed Trigger Unit,47.36,+22.5%,183877,47.51,56.38,11.02,123.94
Tangled Power Conduit,140.65,-28.9%,51469,100.01,56.12,1402.28,237.16
Thruster Console,123.41,+56.2%,117004,128.81,103.60,15.06,275.77
Tripped Power Circuit,79854.54,-1.7%,356839,80804.15,77343.25,75617.54,86807.37
Ward Console,31274.56,-10.2%,44563,30973.86,34467.74,24282.01,30776.50
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,8816.78,-54.6%,1389,8839.50,6000.02,3388.78,3705.85
Capacitor Console,21843759.82,-3.9%,147,21843759.82,20281147.60,17347769.25,21947910.51
Conductive Thermoplastic,19762.75,-36.7%,133,19440.98,109092.58,14286.54,27156.72
Current Pump,33803.71,+46.9%,314,35019.31,3209.61,3446.12,58002.27
Drone Transceiver,10238.33,-64.2%,1339,10304.76,2991.55,2001.21,2233.47
Enhanced Ward Console,14926162.59,-0.8%,102,15174463.23,14045521.44,13521554.53,16120341.93
