Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.43,+2.7%,24572042464,2.46,2.33,2.58,2.49
Pyerite,4.63,+0.1%,6272170985,4.67,4.53,4.46,4.79
Mexallon,27.82,+2.8%,1808332025,28.10,27.28,25.05,30.56
Isogen,53.87,+4.0%,235154787,54.87,50.48,52.33,58.41
Nocxium,125.79,-0.6%,78360322,124.69,122.87,128.31,124.12
Zydrine,1037.82,-1.2%,18370019,1020.52,1064.95,1110.27,1002.03
Megacyte,2165.02,+5.1%,9240786,2173.83,2152.55,2095.30,2256.47
Morphite,4046.55,-2.4%,826022,3971.27,4344.94,4026.13,3958.17
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,122924.44,-3.2%,114496,124138.25,118259.53,115203.94,128672.83
Armor Plates,229803.58,-0.8%,101827,231521.24,228013.56,207783.61,232301.73
Broken Drone Transceiver,82.60,-10.1%,61311,100.70,22.00,101.92,200.02
Burned Logic Circuit,30366.53,+1.2%,439587,30861.80,29634.73,23763.14,31773.23
Charred Micro Circuit,141.99,+9.5%,405562,151.66,113.92,100.91,388.73
Conductive Polymer,134.36,+11.7%,34444,150.13,55.76,102.01,207.61
Contaminated Lorentz Fluid,184.13,-51.0%,80481,218.80,111.64,102.91,195.72
Contaminated Nanite Compound,2717.87,+3.4%,123038,2964.55,2207.51,328.53,3067.73
Damaged Artificial Neural Network,271.12,-81.5%,34816,150.22,563.22,183.04,329.54
Defective Current Pump,167.09,+37.7%,33203,158.54,212.37,111.06,220.01
Fried Interface Circuit,4299.89,-1.0%,442223,4323.66,4392.38,3182.15,4780.21
Malfunctioning Shield Emitter,203.25,+55.0%,108121,229.12,89.09,100.26,364.47
Melted Capacitor Console,105737.29,-10.8%,41772,94455.33,172713.56,83208.08,92806.74
Scorched Telemetry Processor,110.74,+1.1%,38297,111.45,93.20,100.00,233.11
Smashed Trigger Unit,76.54,-9.2%,231754,86.76,41.17,64.19,137.43
Tangled Power Conduit,270.07,+11.1%,32342,270.06,300.12,100.00,331.40
Thruster Console,130.94,-3.7%,123410,134.80,49.20,100.00,292.82
Tripped Power Circuit,54719.46,+5.0%,451618,56609.42,49737.09,45677.97,57609.63
Ward Console,26966.81,-5.0%,33535,27145.52,26518.42,25544.22,24873.05
