Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.15,-0.6%,25175667968,2.18,2.11,2.09,2.25
Pyerite,3.50,-2.2%,7742854661,3.54,3.40,3.51,3.76
Mexallon,29.78,-4.3%,2314670338,29.76,29.81,29.39,32.06
Isogen,60.13,-0.2%,253434224,60.59,59.11,59.58,63.66
Nocxium,232.85,-3.9%,70930699,227.63,212.45,319.00,225.96
Zydrine,1001.36,+5.4%,14218167,997.84,1011.27,1077.54,969.13
Megacyte,2326.50,+1.0%,8222055,2340.27,2286.28,2301.67,2294.86
Morphite,4028.11,-0.7%,839706,4028.11,4008.12,4418.04,3892.26
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,105691.25,-4.4%,129160,107093.97,100424.63,106311.13,115450.55
Armor Plates,264125.62,-5.0%,87629,266515.16,256085.50,224843.59,270657.31
Broken Drone Transceiver,59.14,-15.3%,62707,50.02,88.17,2.81,145.81
Burned Logic Circuit,28608.27,-1.6%,359468,28733.70,28467.92,25247.95,30145.29
Charred Micro Circuit,126.65,-81.0%,347623,122.59,142.84,88.36,305.97
Conductive Polymer,66.00,-24.1%,32036,74.39,31.79,1.00,176.72
Contaminated Lorentz Fluid,113.40,+161.0%,59105,117.52,92.18,15.33,366.66
Contaminated Nanite Compound,2108.61,-12.1%,81247,1992.99,1851.35,1600.01,2687.88
Damaged Artificial Neural Network,217.12,-29.0%,43533,233.89,128.47,52.60,250.42
Defective Current Pump,115.48,-99.1%,20145,158.59,13.00,10.45,223.02
Fried Interface Circuit,3863.63,-4.8%,352000,3977.12,3672.21,2387.24,3816.69
Malfunctioning Shield Emitter,185.14,+4.1%,76461,202.66,128.57,88.19,319.12
Melted Capacitor Console,122041.56,-18.1%,30161,124314.86,118630.69,125605.16,117151.54
Scorched Telemetry Processor,94.97,-5.1%,51209,103.73,51.92,10.13,242.96
Smashed Trigger Unit,64.26,-92.2%,184859,75.86,43.71,11.17,160.47
Tangled Power Conduit,87.52,-36.0%,20615,103.86,47.06,108.08,267.51
Thruster Console,82.43,-2.9%,103609,80.01,103.11,19.06,198.72
Tripped Power Circuit,84864.83,+0.2%,349483,85092.15,83211.02,79740.13,87607.63
Ward Console,33124.75,-3.4%,39526,34008.79,32868.56,24282.01,29620.30
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,15887.58,-87.7%,1342,3888.36,33168.79,3388.78,3808.74
Capacitor Console,20067660.59,+5.2%,118,20616123.58,19794996.24,17347769.25,18478532.31
Conductive Thermoplastic,125996.25,-88.1%,107,19440.98,148561.83,14286.54,13827.33
Current Pump,42136.62,-92.2%,175,35019.31,3275.77,3446.12,36036.22
Drone Transceiver,14875.53,-75.9%,716,10304.76,2723.33,2001.21,3048.49
Enhanced Ward Console,15905701.99,-16.2%,122,16083624.31,15173471.28,13521554.53,14800215.16
Impetus Console,7662.13,-96.7%,56,13522.89,7662.13,5016.17,17871.30
Intact Armor Plates,24964451.60,-1.0%,96,25205594.31,24655317.84,17746434.39,27481515.37
Intact Shield Emitter,641663.77,+14.8%,64,660308.32,586013.13,407423.46,884836.66
Interface Circuit,74774.34,-19.6%,3724,74208.31,78393.96,124472.60,46053.80
Logic Circuit,100352.85,-7.3%,1095,101093.85,102281.03,16004.43,113857.39
Lorentz Fluid,5317.81,+84.2%,201,2611.87,6837.41,1503.08,5972.72
Micro Circuit,5316.16,-5.9%,295,3427.34,5316.16,6792.81,5109.18
Nanite Compound,39027.20,-94.9%,160,42552.13,14127.17,20058.83,40666.43
Power Circuit,1274353.98,-8.6%,978,1360730.14,1168335.69,1424453.12,1312015.69
Power Conduit,3064.30,-33.4%,64,15154.84,3885.23,11720.17,36650.35
Single-crystal Superalloy I-beam,6155464.58,-6.5%,143,5855837.71,6155464.58,4656669.02,5749733.25
Telemetry Processor,13394.89,-77.6%,76,20280.96,125456.94,3500.07,74035.88
Trigger Unit,24280.09,-79.4%,105,49623.01,24280.09,6456.53,43747.21
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,310.32,-0.8%,8633026,305.69,366.99,449.84,313.58
Hydrogen Isotopes,284.17,-4.6%,93116343,285.93,288.05,306.96,304.09
Nitrogen Isotopes,288.18,+17.6%,0,307.43,347.78,364.48,288.18
Oxygen Isotopes,286.99,+8.7%,0,317.83,319.71,413.68,286.99
Heavy Water,15.29,+11.2%,31936415,18.19,12.96,15.22,20.26
Liquid Ozone,238.07,+21.0%,15370572,254.40,230.37,262.40,244.03
Strontium Clathrates,845.72,-65.1%,815468,348.70,399.09,4079.52,314.08
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,8125.20,-1.6%,969108,8012.85,8445.89,12619.40,8188.93
Enriched Uranium,6856.27,+0.6%,533090,6942.69,6711.14,7508.82,7318.28
Mechanical Parts,6602.75,-5.4%,609846,6416.62,7034.87,6050.99,5713.25
Oxygen,267.16,-3.4%,5616564,275.95,246.41,243.14,329.68
Robotics,36294.26,-3.6%,176037,35753.44,37853.49,35739.93,29170.37
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,188916.22,-5.5%,1183,188916.22,169194.19,149133.73,196287.94
Datacore - Caldari Starship Engineering,109236.70,-8.5%,2192,111622.45,162280.72,151879.03,107426.06
Datacore - Electromagnetic Physics,69410.49,-13.6%,0,67330.01,51255.78,175833.87,69410.49
Datacore - Electronic Engineering,243324.65,-7.5%,2092,258561.57,243324.65,270167.94,233815.36
Datacore - Gallentean Starship Engineering,112720.68,+8.7%,0,144712.19,119545.84,182202.76,112720.68
Datacore - Graviton Physics,87828.57,+12.2%,0,141515.46,111421.16,128472.73,87828.57
Datacore - High Energy Physics,137098.01,+191.8%,0,134769.88,113699.60,310421.05,137098.01
Datacore - Hydromagnetic Physics,248494.04,+9.1%,963,285209.36,246078.83,270189.40,225642.78
Datacore - Laser Physics,146088.83,-63.7%,0,124619.96,168866.30,199756.10,146088.83
Datacore - Mechanical Engineering,331243.04,+0.8%,22869,347934.99,320723.41,394893.29,340187.52
Datacore - Minmatar Starship Engineering,361057.22,-0.8%,7436,361861.83,347084.28,379026.48,411423.36
Datacore - Molecular Engineering,260952.66,-2.7%,0,355370.24,208742.19,278899.47,260952.66
Datacore - Nanite Engineering,183716.58,+76.1%,0,293405.15,197061.79,185964.96,183716.58
Datacore - Nuclear Physics,321986.81,+4.2%,1011,321986.81,244728.49,304957.36,370121.20
Datacore - Plasma Physics,144197.39,+11.0%,0,192140.92,165063.76,86567.53,144197.39
Datacore - Quantum Physics,331591.64,+3.4%,0,300075.99,328944.55,292769.48,331591.64
Datacore - Rocket Science,125908.50,+2.3%,2880,115622.01,148529.99,164840.43,111643.66
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,10710770.12,+4.5%,94,10710770.12,12151217.40,7795558.04,12449535.79
Assembly Instructions,30088979.02,+13.0%,0,32577172.34,32625000.63,12642857.18,30088979.02
Calibration Data,3767801.59,-9.2%,386,3952716.69,3557339.92,2970100.22,5050528.74
Circuitry Schematics,6764883.20,-18.1%,0,5547521.33,5112521.77,4659100.40,6764883.20
Circular Logic,933310.67,-34.4%,0,1390558.83,1938608.70,3075000.00,933310.67
Classic Doctrine,8899798.23,-100.0%,0,7176977.84,9552181.82,6625000.13,8899798.23
Collision Measurements,4152093.24,+44.5%,0,5150000.62,5090709.62,5442307.69,4152093.24
Engagement Plan,4928574.96,+27.8%,0,5071909.10,6172548.43,10416666.67,4928574.96
Formation Layout,5158741.53,-16.0%,65,5158741.53,6141304.37,3352727.27,6210375.52
Installation Guide,19972835.39,-39.9%,0,26186725.06,29089287.27,47500000.00,19972835.39
Interface Alignment Chart,4490525.04,-44.3%,0,4102777.96,4020000.00,8149999.50,4490525.04
Operation Handbook,8369745.54,-5.2%,483,8400853.93,8299259.69,7240194.00,9652455.35
Prototype Diagram,7684617.63,+15.4%,13,7684617.63,5559091.17,12000000.00,6463098.79
Sacred Manifesto,4967113.55,-13.3%,132,4922469.99,4593592.10,3627272.73,5793293.54
Stolen Formulas,32774405.09,-16.1%,0,35953334.45,43285714.29,24800000.00,32774405.09
Symbiotic Figures,3274334.88,+83.2%,0,3715208.15,1953694.18,5985785.71,3274334.88
Test Reports,9896553.85,+0.1%,0,9583533.67,9425000.14,10625000.00,9896553.85
Tuning Instructions,6208843.93,-43.6%,0,5269138.91,6193750.00,8050052.63,6208843.93
User Manual,2761833.92,+44.8%,0,3307363.10,4101052.92,5142928.57,2761833.92
War Strategon,18267057.80,+42.3%,0,21763333.31,41271000.00,38499999.99,18267057.80
,,,,,,,
Raw Moon Materials,,,,,,,
Atmospheric Gases,72.65,+36.3%,0,62.77,119.99,91.74,72.65
Cadmium,1028.13,+7.0%,0,1032.30,1985.80,1044.00,1028.13
Caesium,581.90,+157.2%,0,1496.74,871.20,0.00,581.90
Chromium,1574.91,-23.2%,0,1668.44,2451.89,1961.13,1574.91
Cobalt,1272.61,-56.8%,0,480.40,603.21,49.32,1272.61
Dysprosium,11685.78,+71.1%,0,13132.13,17590.75,200000.00,11685.78
Evaporite Deposits,270.65,+3.9%,0,280.45,280.44,238.67,270.65
Hafnium,660.80,-9.2%,0,575.30,1014.89,132.93,660.80
Hydrocarbons,67.62,+45.7%,0,72.40,100.00,4.55,67.62
Mercury,2939.30,-45.1%,0,1853.35,3044.33,993.19,2939.30
Neodymium,16604.48,+20.4%,0,16144.96,14929.37,2000.00,16604.48
Platinum,1690.24,+47.9%,0,2361.08,2853.70,1281.92,1690.24
Promethium,9516.90,+5.1%,0,12293.35,10361.78,0.00,9516.90
Scandium,506.47,-21.0%,0,354.72,394.49,295.15,506.47
Silicates,233.91,-53.0%,0,216.43,307.35,25.12,233.91
Technetium,59686.28,+0.5%,0,41549.95,40857.33,2182.83,59686.28
Thulium,525.04,-4.2%,0,671.79,732.59,0.00,525.04
Titanium,721.57,-79.2%,0,780.88,1083.07,567.06,721.57
Tungsten,412.17,+21.3%,0,404.05,500.69,276.11,412.17
Vanadium,1651.19,-15.2%,0,891.42,1499.44,1034.74,1651.19
,,,,,,,
Processed Moon Materials,,,,,,,
Caesarium Cadmide,1850.28,+35.1%,0,2666.27,2198.81,4499.99,1850.28
Carbon Polymers,595.71,-99.7%,0,307.57,371.52,33.33,595.71
Ceramic Powder,619.14,-45.9%,0,412.06,441.75,257.91,619.14
Crystallite Alloy,1799.03,+11.2%,0,1494.54,1696.42,2025.39,1799.03
Dysporite,10808.79,-26.0%,0,13618.94,7014.58,0.00,10808.79
Fernite Alloy,2518.50,-18.3%,0,1332.87,1060.11,1030.46,2518.50
Ferrofluid,6993.73,+93.0%,0,8891.49,432.91,0.00,6993.73
Fluxed Condensates,8637.48,-7.4%,0,3454.97,7648.73,0.00,8637.48
Hexite,2254.83,-22.4%,0,1338.69,1583.26,3483.48,2254.83
Hyperflurite,6732.48,-98.5%,0,9040.10,3856.74,42684.55,6732.48
Neo Mercurite,10152.54,+82.2%,0,11624.63,3854.67,9400.00,10152.54
Platinum Technite,33308.90,-15.9%,0,10675.11,23685.30,73.13,33308.90
Prometium,5329.93,+106.4%,0,4487.91,2435.08,0.00,5329.93
Rolled Tungsten Alloy,2022.41,-1.1%,0,1810.32,1994.38,1174.00,2022.41
Silicon Diborite,791.77,-5.3%,0,820.68,971.43,386.50,791.77
Solerium,1748.40,-94.0%,0,3273.46,498.56,0.00,1748.40
Sulfuric Acid,546.30,-54.2%,0,516.03,744.96,1334.21,546.30
Titanium Chromide,1455.24,+4.8%,0,2761.10,101.12,57.00,1455.24
Vanadium Hafnite,2968.35,-31.2%,0,2716.71,794.46,1372.90,2968.35
,,,,,,,
Advanced Moon Materials,,,,,,,
Crystalline Carbonide,66.25,-6.4%,0,70.04,79.15,50.53,66.25
Fermionic Condensates,19090.62,+2.0%,33647,19090.62,19955.29,16132.89,19293.04
Fernite Carbide,94.29,-1.4%,11289545,94.29,82.88,83.74,87.79
Ferrogel,10208.64,-0.1%,93785,10208.64,10187.26,7270.90,8031.91
Fullerides,1692.10,+0.4%,1256884,1699.63,1526.55,1143.19,1417.52
Hypersynaptic Fibers,2804.73,-0.2%,306737,2800.12,3144.12,3384.43,3065.33
Nanotransistors,3789.23,+5.6%,1838374,3732.87,4449.92,3567.42,3619.56
Phenolic Composites,521.26,-13.5%,563078,521.26,697.47,702.01,433.52
Sylramic Fibers,143.81,+6.2%,8899874,143.81,136.26,126.32,138.45
Titanium Carbide,69.78,+0.3%,0,81.49,74.84,50.75,69.78
Tungsten Carbide,79.96,+16.1%,0,89.04,95.11,33.77,79.96
,,,,,,,
Tech 2 Construction Components,,,,,,,
Antimatter Reactor Unit,33527.62,+1.4%,1826,32882.10,33045.27,37000.00,33976.16
Crystalline Carbonide Armor Plate,4994.87,+2.2%,28853,4876.68,5329.16,14849.75,4090.09
Deflection Shield Emitter,16236.36,-7.7%,9796,14989.38,19200.25,11193.17,11849.65
Electrolytic Capacitor Unit,32163.55,-0.5%,9388,32328.09,30143.11,2644.68,29353.48
Emp Pulse Generator,13660.35,+9.7%,0,14992.27,20837.07,7426.41,13660.35
Fernite Carbide Composite Armor Plate,6553.89,-11.5%,52162,6553.89,5317.67,7736.10,5401.47
Fusion Reactor Unit,32965.49,-0.5%,1576,33495.48,30848.51,37630.15,27995.91
Fusion Thruster,13765.21,-29.2%,3671,13765.21,15839.36,5086.33,13614.59
Gravimetric Sensor Cluster,14374.98,-2.8%,872,13989.49,14038.24,20464.56,11354.19
Graviton Pulse Generator,15822.93,+43.8%,0,16587.25,22794.62,9999.19,15822.93
Graviton Reactor Unit,29124.82,+6.4%,0,27572.64,31453.89,27789.20,29124.82
Ion Thruster,15790.62,-1.4%,3391,15957.57,14982.50,72918.88,14058.52
Ladar Sensor Cluster,15383.77,+0.3%,7716,15432.47,14129.18,33186.16,14922.19
Laser Focusing Crystals,21254.35,+36.4%,0,23822.80,20744.78,5140.00,21254.35
Linear Shield Emitter,16290.49,-2.1%,4667,15954.50,16401.81,48203.40,11971.54
Magnetometric Sensor Cluster,12252.68,+12.3%,8384,11972.14,15960.57,8466.87,13429.86
Magpulse Thruster,14660.00,-33.3%,2141,15146.52,14499.83,9643.04,11185.65
Nanoelectrical Microprocessor,19509.77,+17.1%,9770,19336.63,21998.90,2762.50,21202.76
Nanomechanical Microprocessor,25319.41,-5.2%,16209,25319.41,23900.50,6828.93,20200.98
Nuclear Pulse Generator,13656.62,-87.1%,0,11590.83,14129.74,1221.93,13656.62
Nuclear Reactor Unit,35537.42,+15.3%,834,39270.70,31300.46,28574.93,30822.34
Oscillator Capacitor Unit,31055.71,+3.4%,6466,31934.15,29708.28,7682.21,28642.03
Particle Accelerator Unit,23986.83,+15.9%,0,21388.73,26578.57,4666.20,23986.83
Photon Microprocessor,22073.84,+0.3%,29898,21448.18,22646.42,18155.35,19991.95
Plasma Pulse Generator,10990.90,+33.4%,0,12965.13,22600.50,1600.00,10990.90
Plasma Thruster,16843.99,-3.8%,14060,16916.52,16655.11,25666.28,13060.93
Pulse Shield Emitter,15711.82,+0.5%,6876,15830.36,15479.45,38702.47,12529.71
Quantum Microprocessor,22240.01,-39.2%,15108,21630.90,22899.52,11831.62,18996.57
Radar Sensor Cluster,14647.78,+2.0%,3334,14647.78,14714.52,8000.00,12022.53
Scalar Capacitor Unit,27713.32,-41.2%,3959,29839.08,23377.53,2534.15,28133.46
Superconductor Rails,23234.54,-1.4%,0,22162.82,24816.65,9723.29,23234.54
Sustained Shield Emitter,16961.54,-7.0%,6047,15876.71,17703.43,37638.46,12884.00
Tesseract Capacitor Unit,28606.42,+15.3%,2633,29029.00,30032.31,15345.93,37094.53
Thermonuclear Trigger Unit,28291.08,-1.5%,7858,27783.84,29235.89,29000.00,22124.69
Titanium Diborite Armor Plate,5088.56,-29.1%,22876,5255.85,5153.04,6680.75,4626.94
Tungsten Carbide Armor Plate,5466.50,+4.1%,30367,5465.48,5511.24,7984.55,4963.24
,,,,,,,
Tech 2 Production,,,,,,,
Construction Blocks,3137.52,+5.1%,165999,3137.52,2310.82,2704.10,3833.15
Electronic Parts,804.46,-4.8%,8662525,800.73,804.83,707.22,818.00
Guidance Systems,4624.81,-13.5%,41906,4700.87,4212.59,902.88,4744.40
Hydrogen Batteries,507.56,+15.3%,0,1535.41,584.29,590.85,507.56
Miniature Electronics,3120.17,+21.8%,18592,3120.17,3629.84,356.13,2663.33
Rocket Fuel,8032.97,-25.3%,130129,8336.69,6407.04,2554.42,6717.70
Superconductors,1997.96,+38.8%,43545,2035.91,1896.82,135.48,3173.28
Transmitter,2819.55,-13.1%,0,2817.57,3382.91,198.30,2819.55
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,303.16,+0.0%,1558,303.16,355.01,12.99,606.50
Central System Controller,2895.76,-82.7%,0,501.78,13626.35,12.99,2895.76
Defensive Control Node,7284.12,-72.5%,0,4116.37,1924.21,12.99,7284.12
Electromechanical Hull Sheeting,547.04,-44.2%,0,304.99,250.26,13.15,547.04
Emergent Combat Analyzer,829.22,-75.0%,0,205.22,386.51,12.99,829.22
Emergent Combat Intelligence,5362.79,-99.8%,0,1971.29,11710.04,12.72,5362.79
Fused Nanomechanical Engines,731.83,-51.8%,0,352.95,1764.87,355.66,731.83
Heuristic Selfassemblers,1234.79,-76.9%,0,284.41,858.31,12.99,1234.79
Jump Drive Control Nexus,1286.14,-22.1%,0,1001.95,1366.00,12.99,1286.14
Melted Nanoribbons,4901209.23,+0.1%,3063,4901209.23,4500751.06,1562395.75,5221625.81
Modified Fluid Router,16814.26,-9.0%,0,15082.71,10302.57,9131.46,16814.26
Neurovisual Input Matrix,463.94,-33.6%,0,308.00,162.35,500.16,463.94
Powdered C-540 Graphite,752.67,-60.1%,0,298.32,271.04,12.99,752.67
Resonance Calibration Matrix,1329.30,-24.4%,0,1005.00,3350.17,12.99,1329.30
Thermoelectric Catalysts,6084.10,-56.3%,0,2635.61,4288.21,225011.87,6084.10
,,,,,,,
Ancient Relics,,,,,,,
Intact Armor Nanobot,26602121.97,-51.1%,0,18152765.42,6671971.33,0.00,26602121.97
Intact Electromechanical Component,27417040.15,-19.8%,0,10839856.41,10001707.00,0.00,27417040.15
Intact Hull Section,70629816.46,-15.1%,0,81111111.44,70200000.00,0.00,70629816.46
Intact Power Cores,21034526.78,-28.7%,0,22500065.00,10001707.00,0.00,21034526.78
Intact Thruster Sections,24761361.10,-39.4%,0,14187586.21,4289760.14,0.00,24761361.10
Intact Weapon Subroutines,51054813.61,-41.2%,0,19151999.90,10001707.00,0.00,51054813.61
Malfunctioning Armor Nanobot,8372400.23,-76.1%,0,6105306.26,2275000.25,0.00,8372400.23
Malfunctioning Electromechanical Component,5255626.26,-61.9%,0,3356521.99,2477846.92,0.00,5255626.26
Malfunctioning Hull Section,19444103.56,-30.6%,0,18609612.09,27909182.01,0.00,19444103.56
Malfunctioning Power Cores,5988353.22,-66.6%,0,2881818.19,4353572.07,20000000.00,5988353.22
Malfunctioning Thruster Sections,6112243.00,-40.7%,0,4422106.31,2000000.93,0.00,6112243.00
Malfunctioning Weapon Subroutines,21969700.99,-63.6%,0,10687503.24,7139091.45,20000000.00,21969700.99
Wrecked Armor Nanobot,32047.23,-96.2%,0,116466.07,342207.59,1380000.00,32047.23
Wrecked Electromechanical Component,6844.53,-78.1%,0,14784.52,17040.00,1602666.67,6844.53
Wrecked Hull Section,5137205.68,+88.4%,0,1767559.77,7792727.27,25857142.86,5137205.68
Wrecked Power Cores,36619.91,-37.2%,0,20275.96,571126.32,2024047.62,36619.91
Wrecked Thruster Sections,17771.19,-55.0%,0,27186.17,20470.59,628500.00,17771.19
Wrecked Weapon Subroutines,637374.64,+5.4%,0,244922.79,628821.43,1108000.00,637374.64
,,,,,,,
Hybrid Datacores,,,,,,,
Datacore - Defensive Subsystems Engineering,595.44,+67.9%,351,405.12,1757.92,294042.57,2727.37
Datacore - Electronic Subsystems Engineering,3507.83,-76.9%,0,1550.03,12569.24,205359.09,3507.83
Datacore - Engineering Subsystems Engineering,2407.94,-58.5%,0,1512.50,20307.26,4960.34,2407.94
Datacore - Offensive Subsystems Engineering,4596.26,-89.1%,0,1579.06,1108.87,114010.20,4596.26
Datacore - Propulsion Subsystems Engineering,4298.28,-81.1%,0,2267.95,1196.55,191428.57,4298.28
,,,,,,,
Hybrid Decryptors,,,,,,,
R.A.M.- Hybrid Technology,573677.55,-97.4%,0,234755.22,106187.52,268947.37,573677.55
Amarr Hybrid Tech Decryptor,76445.49,-76.3%,0,48977.60,62294.12,5124999.83,76445.49
Caldari Hybrid Tech Decryptor,4585849.92,-18.2%,0,3777133.49,2524840.63,3296666.67,4585849.92
Gallente Hybrid Tech Decryptor,70271.11,-82.6%,210,61541.87,35097.27,300005.00,33323.39
Minmatar Hybrid Tech Decryptor,31091.90,-34.6%,85,31091.90,83000.00,1543333.34,44632.97
,,,,,,,
Fullerenes,,,,,,,
Fullerite-C28,9324.41,-57.6%,0,4008.19,705.15,368.89,9324.41
Fullerite-C32,14086.44,-36.1%,0,10820.24,6228.98,2917.70,14086.44
Fullerite-C50,7033.24,-50.2%,0,6084.60,3340.87,977.90,7033.24
Fullerite-C60,487.15,-38.4%,0,222.14,186.98,377.32,487.15
Fullerite-C70,716.11,-72.1%,0,210.69,132.34,426.01,716.11
Fullerite-C72,3795.25,-20.9%,0,3001.01,1599.27,1044.03,3795.25
Fullerite-C84,783.22,-36.1%,0,497.82,170.21,70.55,783.22
Fullerite-C320,69416.88,+29.7%,6910,69416.88,57590.02,76429.89,76294.02
Fullerite-C540,54520.01,-17.5%,0,42629.06,41170.21,74995.42,54520.01
,,,,,,,
Hybrid Polymers,,,,,,,
C3-FTM Acid,4012303.42,-32.7%,0,1122322.09,1787307.69,0.00,4012303.42
Carbon-86 Epoxy Resin,1524779.95,+27.9%,0,1547154.97,2112977.71,0.00,1524779.95
Fullerene Intercalated Graphite,1729.67,-23.2%,0,1194.18,6027.87,0.00,1729.67
Fulleroferrocene,2150.63,-7.0%,0,1223.17,2010.48,0.00,2150.63
Graphene Nanoribbons,91032.40,-99.6%,0,76226.22,23204.00,0.00,91032.40
Lanthanum Metallofullerene,3680.89,+198.8%,0,5793.10,3006.36,0.00,3680.89
Methanofullerene,11098.08,-9.9%,0,8385.36,6085.40,0.00,11098.08
PPD Fullerene Fibers,12056.15,-99.2%,0,11763.28,10166.30,0.00,12056.15
Scandium Metallofullerene,50725.53,-36.0%,0,35402.70,25407.59,0.00,50725.53
,,,,,,,
Booster Gases,,,,,,,
Amber Mykoserocin,4304.55,-58.2%,0,1515.95,1033.51,0.00,4304.55
Azure Mykoserocin,8972.72,-99.9%,0,1101.45,2076.47,1778.18,8972.72
Celadon Mykoserocin,7663.42,-87.0%,0,300.00,8788.94,0.00,7663.42
Golden Mykoserocin,4274.39,-100.0%,0,1999.27,2936.11,0.00,4274.39
Lime Mykoserocin,10035.05,-80.1%,0,2000.02,8517.78,1.00,10035.05
Malachite Mykoserocin,9150.92,-100.0%,0,0.00,0.00,0.00,9150.92
Vermillion Mykoserocin,7099.26,-53.5%,0,3068.75,3530.81,6950.54,7099.26
Viridian Mykoserocin,11163.42,-85.7%,0,9919.56,20000.00,0.00,11163.42
Amber Cytoserocin,48039.89,-100.0%,0,39834.63,29655.47,11.13,48039.89
Azure Cytoserocin,78031.60,-100.0%,0,53205.04,68667.55,38376.16,78031.60
Celadon Cytoserocin,92771.07,-96.9%,0,62018.70,42620.69,0.00,92771.07
Golden Cytoserocin,117620.26,-100.0%,0,0.00,0.00,0.00,117620.26
Lime Cytoserocin,41064.75,-100.0%,0,34175.31,46640.34,2000.00,41064.75
Malachite Cytoserocin,38108.33,-21.3%,0,59382.43,0.00,0.00,38108.33
