Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.74,-0.6%,29513752436,2.78,2.71,2.47,2.94
Pyerite,6.96,-1.5%,7256589704,7.07,6.81,6.67,7.44
Mexallon,28.12,-1.9%,2021177826,28.81,27.05,26.49,30.56
Isogen,54.05,-0.4%,336021691,54.84,52.72,52.23,55.42
Nocxium,82.93,+2.1%,106078039,83.25,81.63,85.75,80.56
Zydrine,1164.82,+0.1%,26077884,1152.12,1203.37,1189.04,1113.54
Megacyte,2060.72,-2.2%,9295914,2045.58,2112.16,2010.88,2035.68
Morphite,5031.36,-3.5%,816723,4955.97,5106.12,5578.40,4791.38
,,,,,,,
Fuel,,,,,,,
Coolant,1164.81,-10.7%,3896935,1121.00,1282.77,2099.35,1239.25
Enriched Uranium,5355.68,-4.4%,1856505,5449.26,5308.69,4902.11,5300.01
Heavy Water,19.22,+2.9%,39499355,19.99,16.65,22.72,20.96
Helium Isotopes,383.54,-2.5%,19435245,373.34,440.31,437.38,361.50
Hydrogen Isotopes,426.12,-2.7%,118590084,436.17,421.72,392.03,459.18
Nitrogen Isotopes,485.75,+1.9%,23764440,479.19,490.23,544.63,420.69
Oxygen Isotopes,459.23,-6.3%,21882980,427.01,481.87,533.60,409.64
Liquid Ozone,364.75,-4.9%,29750961,359.45,379.46,345.25,305.24
Mechanical Parts,627.37,-1.4%,3543691,672.13,607.53,575.94,642.66
Oxygen,105.69,+3.0%,14027284,109.25,99.88,121.24,119.41
Robotics,6907.94,-0.1%,700071,6935.16,6870.76,7000.00,6913.78
Strontium Clathrates,878.83,-26.8%,2027168,955.78,730.63,922.39,806.85
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,137496.76,-2.9%,144188,137727.47,137351.17,135207.27,141738.62
Armor Plates,201874.49,+1.1%,121473,204789.97,191412.48,197209.64,204735.34
Broken Drone Transceiver,98.99,-2.1%,82302,96.09,109.25,100.01,143.28
Burned Logic Circuit,29972.59,-2.8%,472348,30237.90,29120.55,30000.00,31153.41
Charred Micro Circuit,139.64,-24.9%,461101,140.95,125.53,160.08,297.04
Conductive Polymer,134.14,-2.7%,45887,135.35,150.01,100.01,115.84
Contaminated Lorentz Fluid,162.10,-8.4%,74527,180.15,75.31,100.01,234.91
Contaminated Nanite Compound,2781.84,-8.6%,133366,2955.91,1852.45,2749.94,3638.87
Damaged Artificial Neural Network,268.94,+6.9%,47477,256.25,276.94,400.00,300.34
Defective Current Pump,205.04,-17.7%,48278,216.00,177.55,101.01,326.00
Fried Interface Circuit,3903.01,+0.2%,451191,3978.60,3487.65,4135.32,3912.29
Malfunctioning Shield Emitter,209.39,-5.9%,81496,200.03,302.20,89.77,471.45
Melted Capacitor Console,87238.70,-2.4%,31857,86841.66,88120.55,89977.72,87022.57
Scorched Telemetry Processor,330.79,-29.5%,97691,302.12,599.18,120.01,154.18
Smashed Trigger Unit,120.49,-8.9%,253692,120.56,126.61,100.00,131.20
Tangled Power Conduit,484.34,+13.3%,105910,455.22,515.56,264.97,240.01
Thruster Console,141.26,-1.2%,91469,142.13,158.91,100.01,190.53
Tripped Power Circuit,38085.69,+0.4%,450757,38325.08,37022.34,38000.00,39281.53
