Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.73,-1.9%,34801933535,2.76,2.69,2.66,2.93
Pyerite,6.97,-0.5%,7982662592,7.05,6.90,6.49,7.47
Mexallon,28.65,+0.4%,2302301590,29.03,27.53,26.60,30.95
Isogen,53.52,-2.8%,371386503,54.22,52.74,47.76,54.96
Nocxium,81.99,+2.2%,136704081,81.85,84.10,80.05,79.89
Zydrine,1172.77,-2.2%,25462676,1170.47,1165.50,1206.75,1108.30
Megacyte,2092.45,-1.6%,12160799,2110.84,2032.04,1905.74,2087.42
Morphite,4907.73,-0.1%,1089109,4858.04,5048.86,5672.49,4852.88
,,,,,,,
Fuel,,,,,,,
Coolant,1138.87,+3.6%,3887504,1094.43,1298.82,2015.37,1243.00
Enriched Uranium,5103.63,+1.0%,1795201,5042.95,5261.32,4773.02,5300.01
Heavy Water,18.31,-4.6%,40415815,18.60,17.80,19.09,20.39
Helium Isotopes,398.88,-0.5%,14237100,382.14,428.76,443.36,368.73
Hydrogen Isotopes,407.31,-2.4%,116023744,418.11,395.80,409.08,437.20
Nitrogen Isotopes,452.04,+5.4%,29587617,434.91,481.74,696.39,413.53
Oxygen Isotopes,415.24,+7.7%,25214120,402.29,438.86,552.20,392.01
Liquid Ozone,328.59,+4.1%,30099187,324.41,326.19,428.99,296.96
Mechanical Parts,620.49,-1.3%,4663753,627.43,611.00,587.57,642.90
Oxygen,105.65,+0.8%,13121686,109.25,97.16,139.76,115.94
Robotics,6813.91,+1.6%,694755,6959.76,6619.17,6609.57,6945.41
Strontium Clathrates,856.29,+0.5%,1651830,881.49,723.13,1681.05,853.58
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,131918.32,+1.7%,142491,132256.27,130403.72,133292.41,140936.75
Armor Plates,198707.60,-2.3%,113397,200382.36,192211.34,199090.34,203700.36
Broken Drone Transceiver,96.86,-0.3%,68025,96.10,98.37,100.01,141.14
Burned Logic Circuit,30263.31,+1.6%,471128,30656.47,28500.11,31000.00,30730.26
Charred Micro Circuit,142.23,-18.3%,511468,157.68,91.49,30.88,320.64
Conductive Polymer,141.07,-6.8%,58637,138.56,146.17,100.01,117.17
Contaminated Lorentz Fluid,162.16,+1.9%,70954,180.24,79.90,100.01,265.66
Contaminated Nanite Compound,2568.63,+1.7%,135572,2693.40,1854.60,3000.00,3033.43
Damaged Artificial Neural Network,273.31,+1.9%,43667,268.49,260.02,431.93,298.85
Defective Current Pump,185.62,-4.0%,41886,191.16,153.34,100.59,269.32
Fried Interface Circuit,3890.42,+2.4%,546270,4009.31,3120.18,4200.00,4215.68
Malfunctioning Shield Emitter,217.24,-5.3%,79449,200.47,302.20,100.00,205.10
Melted Capacitor Console,86582.97,+10.1%,33909,84605.78,98748.22,90000.00,85557.41
Scorched Telemetry Processor,250.74,-16.3%,52982,269.57,136.98,120.00,179.06
Smashed Trigger Unit,120.32,-1.2%,195301,117.94,133.43,100.00,125.92
Tangled Power Conduit,272.95,+52.8%,53632,250.33,320.52,211.12,199.12
Thruster Console,136.79,+4.3%,96120,135.72,160.10,100.01,177.03
Tripped Power Circuit,38940.09,+1.3%,431795,39481.95,37040.56,38105.00,40180.23
Ward Console,23313.72,-11.8%,44298,23135.35,26003.43,20000.00,19055.19
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,122222.01,+4.1%,1394,123423.60,120000.00,0.00,119841.18
Datacore - Caldari Starship Engineering,168213.58,-9.3%,1258,168283.95,167222.22,0.00,0.00
Datacore - Electromagnetic Physics,85414.61,-14.3%,3160,83426.69,108495.57,0.00,83580.56
Datacore - Electronic Engineering,276399.05,+0.3%,11051,302483.97,251457.33,117333.33,243644.05
Datacore - Gallentean Starship Engineering,198760.04,+15.7%,4595,197452.31,212279.22,250000.00,203770.99
Datacore - Graviton Physics,105215.01,+166.6%,1817,105905.43,99550.81,0.00,78400.57
Datacore - High Energy Physics,167991.70,-0.3%,3472,194540.17,158556.70,0.00,193375.33
Datacore - Hydromagnetic Physics,541740.98,+0.9%,2574,544537.78,507634.44,0.00,508810.47
Datacore - Laser Physics,165985.40,+12.6%,1998,166842.06,164897.26,0.00,0.00
Datacore - Mechanical Engineering,346985.35,-1.1%,33575,387586.74,319312.01,348056.89,384375.83
Datacore - Minmatar Starship Engineering,347172.38,-0.9%,6527,372820.98,305360.84,397185.41,378409.45
Datacore - Molecular Engineering,346607.55,-5.0%,3119,373623.87,312236.47,0.00,339078.35
Datacore - Nanite Engineering,214160.06,+1.8%,2362,269870.68,166393.17,0.00,208380.56
Datacore - Nuclear Physics,305774.66,+2.6%,6851,329729.09,288230.96,0.00,343536.23
Datacore - Plasma Physics,306922.22,-9.0%,761,312984.78,271388.89,0.00,156091.13
Datacore - Quantum Physics,378951.61,-3.7%,2869,408280.66,359798.59,318334.01,393367.51
Datacore - Rocket Science,300512.73,-5.5%,3759,307124.19,278385.83,0.00,245216.99
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,8632896.18,-7.6%,105,7986474.39,9367466.38,0.00,10952214.98
Assembly Instructions,26123604.55,-8.6%,52,25252155.71,29609399.93,0.00,0.00
