Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jite
Sacred Manifesto,3693064.08,+9.6%,121,3695351.33,4514285.50,3944444.44,4867098.87
Stolen Formulas,39468751.23,+1.3%,0,39699996.18,46125000.00,24800000.00,39468751.23
Symbiotic Figures,8328440.96,-77.2%,44,8429409.37,8228967.18,8568812.50,5339766.64
Test Reports,10287340.96,+41.0%,22,11982407.41,10596075.05,10625000.00,9331930.22
Tuning Instructions,7485003.71,+30.9%,25,7517395.33,8526923.31,7764285.71,8537016.29
User Manual,4675165.62,-12.1%,60,4596727.85,5081821.74,5142928.57,2914138.16
War Strategon,31571000.06,-52.5%,7,22857000.07,43714000.00,38499999.99,20294953.10
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,85.54,+0.5%,14671602,85.54,83.19,56.03,78.96
Fermionic Condensates,21470.51,+12.7%,24165,21403.87,23222.19,21949.24,20144.04
Fernite Carbide,65.11,+4.7%,44702263,64.72,68.72,83.77,64.04
Ferrogel,12500.66,-0.1%,142337,12587.77,12934.59,12502.31,10260.73
Fullerides,1131.22,+3.4%,3569781,1122.60,1467.59,636.07,975.12
Hypersynaptic Fibers,3523.08,+7.9%,220114,3676.92,3309.59,7529.87,3304.44
Nanotransistors,2995.40,+6.5%,2138431,3032.01,2828.56,2297.46,2789.92
Phenolic Composites,577.21,+16.8%,1205354,583.94,677.45,32.25,481.70
Sylramic Fibers,150.11,+9.9%,12698846,150.19,151.41,66.97,157.13
Titanium Carbide,86.22,+8.9%,11464725,90.92,86.28,48.19,81.67
Tungsten Carbide,71.38,+14.7%,11073633,71.43,87.63,118.59,70.00
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,920.14,-1.7%,729,904.78,686.05,10.72,1086.60
Central System Controller,14020.12,+7.3%,85,14952.27,4255.66,757.50,14276.41
Defensive Control Node,11571.21,+5.0%,81,12142.61,7489.80,2310.00,5167.77
Electromechanical Hull Sheeting,251.40,-40.3%,45609,246.56,473.77,95.67,398.71
Emergent Combat Analyzer,1004.65,-0.5%,567,1044.78,502.47,32.50,1960.45
Emergent Combat Intelligence,9298.79,+7.9%,89,9720.51,2213.84,1691.25,25501.26
Fused Nanomechanical Engines,1069.34,-6.0%,705,1004.96,887.28,10.00,2255.81
Heuristic Selfassemblers,1945.04,+2.9%,645,2002.68,921.24,30006.67,151.44
Jump Drive Control Nexus,9085.51,+10.5%,85,9915.34,3502.65,19040.00,4472.75
Melted Nanoribbons,4722677.90,+0.1%,2133,4727613.08,4726063.08,2682929.77,5083515.95
Modified Fluid Router,18012.04,+0.1%,16003,18027.81,8690.69,1001.00,23550.44
Neurovisual Input Matrix,599.03,+0.2%,78819,600.21,452.60,500.00,556.62
