Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.48,+1.3%,28236949273,2.49,2.43,2.55,2.44
Pyerite,5.11,-0.1%,7481743964,5.15,5.02,4.80,5.23
Mexallon,23.53,+1.4%,1987433472,23.97,22.26,22.01,25.14
Isogen,48.78,-0.2%,316867907,49.09,47.57,48.65,48.48
Nocxium,127.35,-3.2%,171504299,125.79,132.34,138.08,116.93
Zydrine,1200.22,-7.5%,20278643,1186.07,1240.83,1333.55,1111.87
Megacyte,2541.92,-1.8%,6867008,2518.86,2651.81,2928.61,2456.04
Morphite,4739.00,+5.4%,957710,4740.09,4668.22,5677.32,4802.09
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,122240.37,+1.4%,123123,122674.82,120344.53,121549.72,130485.37
Armor Plates,235212.34,-0.1%,119021,235725.29,233297.15,221826.64,230677.69
Broken Drone Transceiver,97.68,-33.3%,58373,65.04,186.50,100.00,249.90
Burned Logic Circuit,31268.01,-5.6%,391702,31778.62,29501.62,29238.11,32455.96
Charred Micro Circuit,124.48,+2.1%,392185,114.29,163.33,100.00,318.29
Conductive Polymer,100.10,-49.0%,41347,50.37,196.36,100.00,319.38
Contaminated Lorentz Fluid,163.51,-2.1%,61733,159.79,187.35,100.00,264.02
Contaminated Nanite Compound,3121.57,+8.9%,92325,3181.73,2561.27,1865.65,3433.37
Damaged Artificial Neural Network,315.83,+7.0%,47424,338.70,263.47,500.00,370.13
Defective Current Pump,201.69,-4.6%,28452,203.55,190.11,100.00,368.15
Fried Interface Circuit,4887.20,+0.9%,354651,4903.42,4752.20,4234.88,4947.71
Malfunctioning Shield Emitter,317.53,+4.9%,80487,324.81,286.05,301.31,271.91
Melted Capacitor Console,88171.95,+10.0%,23643,87921.84,88441.65,88303.61,85182.12
Scorched Telemetry Processor,158.22,-3.4%,34936,149.32,194.15,100.00,312.30
Smashed Trigger Unit,120.12,-41.7%,205414,98.56,189.36,100.01,277.77
Tangled Power Conduit,305.21,-15.8%,29056,311.09,276.74,417.06,369.43
Thruster Console,114.72,-12.8%,118840,100.82,195.35,100.00,377.99
Tripped Power Circuit,47942.45,-8.0%,437378,48837.29,44049.18,44866.41,49999.13
Ward Console,26208.25,+3.6%,48085,26512.59,23899.54,24075.94,23652.07
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,5041.98,+2.2%,262,5301.35,426.29,2041.07,7599.60
Capacitor Console,19234031.39,+3.0%,131,19245339.47,15335300.20,9071433.65,19042208.00
Conductive Thermoplastic,11307.20,+6.2%,69,12002.97,16030.90,3001.08,13620.58
Current Pump,15644.05,-36.1%,62,16621.91,19855.39,3858.27,43108.39
Drone Transceiver,3659.72,+1.3%,132,3777.77,2357.21,2149.22,6568.49
Enhanced Ward Console,17860738.55,-0.6%,166,17813230.32,18519467.77,8878462.50,16884220.10
Impetus Console,10099.64,-16.3%,151,10489.20,5109.84,5008.95,18789.90
Intact Armor Plates,21266465.90,-1.7%,191,21401407.71,19153032.11,18043535.46,23120099.32
Intact Shield Emitter,942375.83,+25.8%,116,974582.69,622968.42,106976.67,617340.71
Interface Circuit,91018.69,+136.2%,959,93679.51,145657.71,178175.60,73198.58
Logic Circuit,143974.03,-2.7%,564,147475.62,115356.20,98382.68,148382.37
Lorentz Fluid,2938.32,+2.9%,397,2998.69,1.06,1503.07,6996.76
Micro Circuit,15258.76,+96.6%,711,15496.07,6701.90,40548.86,9607.03
Nanite Compound,91617.71,-61.8%,161,74953.82,108433.15,5369.37,85073.80
Power Circuit,1638090.88,-10.9%,848,1630403.06,1668261.06,3326559.90,1628423.25
Power Conduit,14460.99,+38.3%,82,17965.65,36195.65,2007.12,13766.76
Single-crystal Superalloy I-beam,5378581.23,-30.3%,198,5413752.85,5184304.88,6660975.61,6258280.57
Telemetry Processor,131738.13,-81.0%,77,146724.68,67593.07,22003.70,35163.73
Trigger Unit,30855.32,+13.0%,246,31326.46,26363.81,70539.34,19572.22
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,305.88,-0.3%,12469359,305.88,362.44,352.06,310.36
Hydrogen Isotopes,327.75,-6.9%,107158685,333.59,322.93,325.92,353.62
Nitrogen Isotopes,346.02,-5.0%,15379497,326.50,377.74,430.11,309.62
Oxygen Isotopes,347.78,-0.5%,22574448,347.99,371.95,398.83,328.63
Heavy Water,21.93,+0.4%,28545239,22.00,22.02,21.28,22.83
Liquid Ozone,275.05,-3.7%,18523670,274.61,287.49,346.91,247.43
Strontium Clathrates,484.39,+5.3%,1384234,484.89,558.26,791.41,385.08
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,1562.76,+185.0%,4822101,1578.55,1533.30,1402.32,1522.01
Enriched Uranium,5704.22,+57.8%,1349856,5974.29,5330.68,4828.87,6801.94
Mechanical Parts,684.49,+626.5%,14430370,762.92,658.79,643.90,734.76
Oxygen,142.05,+33.8%,18836912,149.60,108.06,129.80,153.36
Robotics,7642.17,+102.8%,1267034,8298.24,6716.11,8102.11,8411.37
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,163391.25,-14.3%,1838,164722.00,165640.83,203073.44,148250.62
Datacore - Caldari Starship Engineering,151449.83,+4.8%,2198,146532.32,214501.62,347553.88,133450.66
Datacore - Electromagnetic Physics,81862.14,-31.3%,1239,84381.23,67627.94,194347.83,74749.86
Datacore - Electronic Engineering,288316.93,+2.0%,4232,291435.72,258897.08,281404.48,226895.05
Datacore - Gallentean Starship Engineering,166241.03,+5.9%,2780,165402.03,187934.97,133856.50,159584.66
Datacore - Graviton Physics,108867.87,+10.2%,1919,106166.93,129493.88,306217.62,96057.81
Datacore - High Energy Physics,167470.69,-9.8%,3867,184304.63,157674.13,186871.95,183349.12
Datacore - Hydromagnetic Physics,420676.37,-26.8%,2339,419420.77,372368.15,478071.12,326783.91
Datacore - Laser Physics,152006.16,+14.0%,1581,144441.42,246444.23,238436.48,154228.26
Datacore - Mechanical Engineering,362565.06,+2.9%,16607,370681.10,341097.12,389510.13,373140.29
Datacore - Minmatar Starship Engineering,382475.70,+2.0%,8600,381104.12,339963.20,370043.02,400521.96
Datacore - Molecular Engineering,259259.17,+2.4%,1678,265966.50,230684.67,352500.00,244617.79
Datacore - Nanite Engineering,233703.46,+2.3%,3520,234136.25,215559.62,196363.65,176176.39
Datacore - Nuclear Physics,313518.53,-1.1%,3586,314248.83,227319.01,331265.92,330013.50
Datacore - Plasma Physics,193013.44,+3.5%,374,194313.40,213324.21,764516.13,156320.84
Datacore - Quantum Physics,379295.38,+2.3%,3178,392495.20,353653.51,373640.24,360519.19
Datacore - Rocket Science,180833.05,+4.6%,3423,172256.12,186877.05,232902.30,168578.52
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,10464626.41,-10.5%,114,10266940.42,10914092.94,9176380.30,12148797.97
Assembly Instructions,28985048.05,+31.1%,25,28714338.15,30208341.59,21055555.33,31311990.82
Calibration Data,4327668.51,+4.4%,405,4292205.25,4212783.24,4000000.00,5165259.50
Circuitry Schematics,6377805.70,-4.2%,100,6385632.02,6063626.96,5094670.07,6881972.86
Circular Logic,1022121.15,-21.7%,33,812222.15,2457142.84,3075000.00,926172.42
Classic Doctrine,8460916.32,+6.4%,30,8684788.06,6925600.00,7500000.00,8536145.76
Collision Measurements,4045700.16,+11.2%,60,4350257.56,3716070.57,5340000.00,3940312.78
