Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.51,+1.6%,25713709523,2.56,2.41,2.58,2.67
Pyerite,5.41,-10.7%,7573330362,5.63,5.07,5.25,5.86
Mexallon,26.71,-1.9%,2082080361,26.96,26.21,26.27,28.25
Isogen,51.17,-9.9%,374854967,52.30,48.46,50.24,52.44
Nocxium,136.26,+2.7%,112438772,140.31,131.39,145.62,133.07
Zydrine,1400.60,+3.5%,21527602,1401.82,1384.01,1461.27,1352.32
Megacyte,2805.58,+6.0%,8152258,2830.98,2811.79,3478.25,2894.62
Morphite,5664.46,+6.4%,661460,5616.89,5912.36,5380.41,5693.10
,,,,,,,
Fuel,,,,,,,
Coolant,1239.00,-7.2%,4379773,1137.38,1833.49,1810.94,1232.77
Enriched Uranium,5930.35,-0.5%,1436762,5957.67,5324.37,5044.05,5300.33
Heavy Water,23.18,-2.6%,37827012,23.87,21.78,28.86,24.44
Helium Isotopes,363.85,+8.4%,10569896,347.31,392.58,393.76,320.19
Hydrogen Isotopes,325.78,-2.3%,155132458,331.78,321.44,325.11,350.80
Nitrogen Isotopes,376.44,+3.9%,13803217,351.70,395.07,474.60,315.42
Oxygen Isotopes,373.03,+1.3%,16517794,382.07,365.51,515.60,349.43
Liquid Ozone,333.70,+13.9%,30389019,312.09,349.19,464.48,285.30
Mechanical Parts,621.11,+1.9%,4415925,631.96,614.10,598.86,649.17
Oxygen,105.62,+3.4%,19378102,109.25,99.19,129.18,121.23
Robotics,6955.96,-0.9%,1536742,7169.39,6889.95,7235.00,6962.73
Strontium Clathrates,801.97,-0.7%,1822834,835.79,658.85,1452.13,667.45
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,130746.76,-0.6%,121253,130578.65,132598.94,123526.79,139167.67
Armor Plates,225134.11,-0.1%,97737,228292.69,211785.20,223527.78,227972.18
Broken Drone Transceiver,60.19,+66.1%,48236,68.78,50.49,100.00,114.38
Burned Logic Circuit,29076.35,-3.7%,383066,29122.05,29206.17,28706.24,30296.77
Charred Micro Circuit,81.12,+23.3%,391082,84.44,60.56,87.76,128.42
Conductive Polymer,88.79,+12.6%,30520,85.08,101.12,100.01,157.74
Contaminated Lorentz Fluid,118.28,-15.5%,39121,136.38,91.22,100.00,167.58
Contaminated Nanite Compound,2428.37,-17.6%,62966,2656.04,2234.26,2000.21,3246.20
Damaged Artificial Neural Network,384.27,+30.4%,53749,368.23,259.38,613.02,312.43
Defective Current Pump,175.98,-43.2%,47293,184.84,154.75,74.24,196.90
Fried Interface Circuit,5076.86,+6.4%,478534,5240.01,4324.68,5211.84,5050.18
Malfunctioning Shield Emitter,262.98,+14.1%,79265,299.03,87.91,300.21,290.26
Melted Capacitor Console,82581.70,+1.7%,18754,83700.63,61650.34,81334.10,75114.45
Scorched Telemetry Processor,156.09,-35.9%,34613,151.17,108.69,115.48,170.04
Smashed Trigger Unit,63.95,+56.4%,146807,73.55,26.37,64.66,127.73
Tangled Power Conduit,1665.27,-94.0%,78312,2366.37,947.17,100.00,219.93
Thruster Console,109.78,-8.9%,80148,84.80,138.51,100.00,162.41
Tripped Power Circuit,43772.24,-1.8%,397516,44398.66,42264.00,42606.61,43933.28
Ward Console,22536.18,+15.4%,40485,22413.37,21475.94,25053.29,19048.22
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,194527.80,-48.0%,715,194527.80,194075.73,216410.78,150423.71
Datacore - Caldari Starship Engineering,186238.43,+4.7%,1951,168623.91,235609.57,343947.33,149071.00
Datacore - Electromagnetic Physics,102893.80,+1.1%,2784,102222.05,106198.64,194639.18,88950.14
Datacore - Electronic Engineering,300009.71,+9.3%,8470,298383.14,330091.76,229694.46,283670.29
Datacore - Gallentean Starship Engineering,185453.38,+5.1%,2451,187220.00,188918.70,118105.08,187430.65
Datacore - Graviton Physics,126964.61,+57.5%,1116,126349.64,136544.90,305272.25,108885.89
Datacore - High Energy Physics,196522.89,-0.9%,607,196522.89,180146.00,203429.10,199213.30
Datacore - Hydromagnetic Physics,462251.02,+4.9%,2171,486316.41,425860.63,467812.78,385307.77
Datacore - Laser Physics,164386.27,+15.6%,1793,164866.71,161332.57,239116.72,169212.47
Datacore - Mechanical Engineering,385554.76,+4.9%,31231,400163.01,372622.76,366274.37,406421.16
Datacore - Minmatar Starship Engineering,438727.24,+0.1%,4751,440978.43,407756.38,405496.57,448941.52
Datacore - Molecular Engineering,327968.88,+0.6%,1374,327408.20,332398.56,372342.11,284607.08
Datacore - Nanite Engineering,238234.55,-0.1%,1728,238234.55,220802.21,296026.32,180028.11
Datacore - Nuclear Physics,333181.38,-1.0%,2635,333181.38,286318.67,299750.00,347146.03
Datacore - Plasma Physics,252197.28,-9.6%,979,215575.94,278904.55,572440.94,165122.48
Datacore - Quantum Physics,408071.38,-2.0%,1426,404062.94,460187.61,355679.84,373704.02
Datacore - Rocket Science,227076.97,-9.2%,2622,227076.97,242742.61,295784.16,189694.52
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,10337521.47,+4.2%,103,10380660.50,10168192.14,8200320.50,12509246.94
Assembly Instructions,32488000.27,-32.3%,26,33048433.58,29552346.63,25884615.23,31029702.08
Calibration Data,4068767.84,-3.8%,354,4157608.28,3966881.44,3933333.42,6561859.86
Circuitry Schematics,7506225.24,+10.6%,122,7506225.24,6870131.55,5210942.00,8280758.08
Circular Logic,1996772.80,-95.0%,53,1949587.42,2699999.78,3075000.00,1709345.61
Classic Doctrine,7192961.38,-11.0%,28,7192961.38,7133500.00,7500000.00,7885835.08
Collision Measurements,5500000.70,+0.5%,19,4551875.28,5411111.85,5300000.00,4028674.21
Engagement Plan,5653552.67,+20.3%,29,6410893.85,5932257.94,10416666.67,5958828.38
Formation Layout,5132629.95,+18.3%,62,5088526.39,6018181.73,3397000.00,6689580.67
Installation Guide,26505545.72,+32.0%,0,34392383.71,37911056.22,47500000.00,26505545.72
Interface Alignment Chart,6000166.76,-64.4%,0,2904195.35,5412500.00,8149999.50,6000166.76
Operation Handbook,7221982.32,+16.0%,446,7330483.90,6963786.94,6470302.98,8853551.97
Prototype Diagram,8619151.72,-76.8%,0,4331187.13,8857500.00,12000000.00,8619151.72
Sacred Manifesto,3693064.08,+9.6%,121,3695351.33,4514285.50,3944444.44,4679736.75
Stolen Formulas,38504691.93,+3.9%,0,39699996.18,46125000.00,24800000.00,38504691.93
Symbiotic Figures,5473636.11,-65.3%,0,8429409.37,8228967.18,8568812.50,5473636.11
Test Reports,10646409.14,-57.7%,22,11982407.41,10586714.34,10625000.00,9478384.71
Tuning Instructions,7485003.71,+30.9%,25,7517395.33,8526923.31,7764285.71,7763661.71
User Manual,4675165.62,-12.1%,60,4596727.85,5081821.74,5142928.57,2914138.16
War Strategon,20610135.54,-27.2%,0,22857000.07,43714000.00,38499999.99,20610135.54
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,85.54,+0.5%,14671602,85.54,83.19,56.03,74.25
Fermionic Condensates,21470.51,+12.7%,24165,21403.87,23222.19,21949.24,20204.86
Fernite Carbide,66.42,+0.9%,13353724,66.42,68.72,83.77,61.66
Ferrogel,11848.29,+4.6%,159044,11848.29,12934.59,12502.31,10162.32
Fullerides,1126.88,-2.6%,2378355,1126.88,1467.59,636.07,950.69
Hypersynaptic Fibers,3258.43,+1.3%,556256,3208.77,3353.91,7529.87,3216.12
Nanotransistors,3031.53,-4.3%,2422669,3065.14,2828.56,2297.46,2852.89
Phenolic Composites,535.23,+16.9%,918234,535.23,677.45,32.25,439.18
Sylramic Fibers,149.96,+9.7%,10458517,149.39,151.41,66.97,160.08
Titanium Carbide,86.22,+8.9%,11464725,90.92,86.28,48.19,82.73
Tungsten Carbide,71.38,+14.7%,11073633,71.43,87.63,118.59,72.51
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,920.14,-1.7%,729,904.78,686.05,10.72,1072.49
Central System Controller,14020.12,+7.3%,85,14952.27,4255.66,757.50,11711.88
Defensive Control Node,11571.21,+5.0%,81,12142.61,7489.80,2310.00,6298.06
Electromechanical Hull Sheeting,251.40,-40.3%,45609,246.56,473.77,95.67,364.01
Emergent Combat Analyzer,1004.65,-0.5%,567,1044.78,502.47,32.50,313.89
Emergent Combat Intelligence,9298.79,+7.9%,89,9720.51,2213.84,1691.25,7804.58
Fused Nanomechanical Engines,1069.34,-6.0%,705,1004.96,887.28,10.00,1876.64
Heuristic Selfassemblers,1945.04,+2.9%,645,2002.68,921.24,30006.67,1259.32
Jump Drive Control Nexus,9085.51,+10.5%,85,9915.34,3502.65,19040.00,2495.24
Melted Nanoribbons,4722677.90,+0.1%,2133,4727613.08,4726063.08,2682929.77,5108057.95
Modified Fluid Router,18012.04,+0.1%,16003,18027.81,8690.69,1001.00,20207.81
Neurovisual Input Matrix,599.03,+0.2%,78819,600.21,452.60,500.00,571.17
Powdered C-540 Graphite,1084.46,+2.6%,10195,1113.61,602.05,10.00,932.92
Resonance Calibration Matrix,1254.73,-20.3%,497,1271.87,830.14,10.00,730.30
Thermoelectric Catalysts,16549.67,+9.1%,84,17838.14,7015.14,42502.11,9588.41
,,,,,,,
Ancient Relics,,,,,,,
Intact Armor Nanobot,34468890.25,-97.9%,0,22221349.78,10001707.00,0.00,34468890.25
Intact Electromechanical Component,27577918.44,-63.7%,0,12500235.67,10001707.00,0.00,27577918.44
Intact Hull Section,57490895.83,+25.2%,0,80138889.11,40333333.34,0.00,57490895.83
Intact Power Cores,29790103.20,-93.3%,0,32388940.11,10001707.00,0.00,29790103.20
Intact Thruster Sections,23301015.14,-57.1%,0,14901871.93,6000664.20,0.00,23301015.14
Intact Weapon Subroutines,35871664.71,-97.2%,0,8673333.17,10001707.00,0.00,35871664.71
Malfunctioning Armor Nanobot,9411877.62,+48.7%,0,8666666.67,5619148.79,0.00,9411877.62
Malfunctioning Electromechanical Component,6279481.80,+75.2%,0,5675882.19,1661000.00,0.00,6279481.80
Malfunctioning Hull Section,19919722.68,-12.1%,0,21536363.64,31000000.09,0.00,19919722.68
Malfunctioning Power Cores,9610375.72,-63.6%,0,3549732.86,7838625.06,20000000.00,9610375.72
Malfunctioning Thruster Sections,4787604.42,-24.2%,24,5345125.10,1945294.35,0.00,7390458.79
Malfunctioning Weapon Subroutines,10360000.03,-42.1%,30,10297948.67,7893662.65,20000000.00,15260133.87
Wrecked Armor Nanobot,1221150.20,-95.8%,43,18170.09,2380151.84,2002500.00,86746.16
Wrecked Electromechanical Component,448012.81,-97.8%,46,20869.51,657410.76,3057777.78,52302.75
Wrecked Hull Section,3403515.31,+87.3%,0,5350000.00,2245688.92,26571428.57,3403515.31
Wrecked Power Cores,472184.58,-95.8%,31,6666.67,763412.00,1047692.31,50257.64
Wrecked Thruster Sections,80355.91,-88.8%,45,12323.05,139132.44,1676666.67,65930.86
Wrecked Weapon Subroutines,100425.89,-0.4%,35,109812.70,401934.96,1513333.33,298723.06
,,,,,,,
Hybrid Datacores,,,,,,,
Datacore - Defensive Subsystems Engineering,5261.57,+0.8%,495,3719.04,30097.87,750250.12,5342.41
Datacore - Electronic Subsystems Engineering,5091.62,-39.1%,310,3437.36,8509.64,404766.67,8990.99
Datacore - Engineering Subsystems Engineering,2444.78,-67.8%,299,1722.33,2861.30,3931.47,6885.61
Datacore - Offensive Subsystems Engineering,3263.33,-74.0%,159,1857.87,9477.01,7216176.47,8483.71
Datacore - Propulsion Subsystems Engineering,4162.46,-25.5%,330,4519.21,24975.72,1479333.33,7324.49
,,,,,,,
Hybrid Decryptors,,,,,,,
R.A.M.- Hybrid Technology,497790.81,+54.6%,376,538388.72,227774.87,305804.60,568956.06
