Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.22,-0.8%,30679861162,2.26,2.16,2.20,2.41
Pyerite,3.86,-1.7%,6660036956,3.88,3.87,3.60,4.13
Mexallon,32.09,+0.0%,2235340489,32.15,32.44,29.47,34.23
Isogen,60.18,+0.1%,348831400,60.25,59.29,63.04,62.45
Nocxium,145.57,+4.4%,60255255,146.25,143.23,137.73,144.81
Zydrine,1053.15,+0.3%,25148443,1049.06,1053.69,1123.83,1017.52
Megacyte,2328.28,-2.2%,10343107,2306.28,2395.53,2391.26,2296.69
Morphite,4249.86,+4.9%,547797,4386.58,3879.74,3749.86,4231.56
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,102968.12,-7.7%,96256,104099.14,102309.45,103475.01,108146.19
Armor Plates,248000.52,-2.7%,96590,251002.21,237907.93,231651.17,257707.84
Broken Drone Transceiver,96.77,+3.6%,73938,100.26,126.74,1.99,175.36
Burned Logic Circuit,29828.90,+0.6%,423702,30296.66,28381.88,26466.80,30588.79
Charred Micro Circuit,119.26,+67.8%,364789,107.56,200.14,83.82,305.30
Conductive Polymer,136.54,+9.9%,31841,150.08,30.12,21.48,154.88
Contaminated Lorentz Fluid,172.07,-68.0%,79390,181.68,93.86,15.26,106.29
Contaminated Nanite Compound,1906.68,-5.9%,98727,2016.14,1431.13,1693.98,2183.92
Damaged Artificial Neural Network,170.97,-11.0%,46948,178.90,107.85,110.79,210.48
Defective Current Pump,131.09,-92.3%,27865,158.58,10.04,10.04,214.22
Fried Interface Circuit,3886.46,-24.9%,351215,4038.29,3136.21,3946.08,4100.61
Malfunctioning Shield Emitter,156.28,-0.3%,78777,164.27,127.92,132.27,300.59
Melted Capacitor Console,124028.78,-5.6%,24525,124773.08,123140.51,111067.56,124838.23
Scorched Telemetry Processor,131.29,-13.8%,40365,144.95,50.44,7.87,203.41
Smashed Trigger Unit,56.86,-1.2%,171193,57.20,56.13,11.01,176.28
Tangled Power Conduit,101.30,-44.6%,24302,119.36,56.09,173.09,282.68
Thruster Console,77.76,+60.2%,85315,75.00,108.90,15.03,243.54
Tripped Power Circuit,77153.89,+1.9%,458014,78880.41,71498.82,69359.50,80577.15
Ward Console,32124.92,-8.2%,54713,32161.99,31556.34,22482.61,28668.98
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,9144.40,-34.4%,1333,9309.03,6000.02,2993.10,3705.41
Capacitor Console,20637705.43,+1.9%,137,20943453.97,20281147.60,16738812.96,21999975.05
Conductive Thermoplastic,75160.53,-83.6%,326,31127.84,107914.33,6281.09,27156.72
Current Pump,21740.69,-1.1%,188,22324.74,3122.36,3334.90,36395.47
Drone Transceiver,4906.35,-24.5%,1409,4931.37,2991.55,2001.20,2402.27
Enhanced Ward Console,15002274.16,+0.4%,119,15429081.87,13576408.14,12026528.65,16283319.22
Impetus Console,13846.64,-63.8%,257,11951.24,27993.14,5012.86,29198.88
Intact Armor Plates,25404208.96,-33.0%,132,25402001.85,25989295.08,17692266.52,29922500.34
Intact Shield Emitter,655135.32,-0.8%,156,693602.79,361559.04,406807.73,859343.50
Interface Circuit,70390.43,-71.4%,1886,66402.02,114849.63,22786.96,93237.55
Logic Circuit,87730.17,-81.8%,1752,87929.92,119787.30,212772.46,148067.43
Lorentz Fluid,2708.81,+11.7%,307,2998.62,226.28,1503.08,2547.13
Micro Circuit,5675.56,-100.0%,2213,5232.37,7033.35,8666.85,5393.76
Nanite Compound,36397.33,-94.5%,207,39791.73,2001.66,23736.85,49416.76
Power Circuit,1236711.16,+18.1%,1316,1259942.51,1268117.63,1264077.02,1601143.83
Power Conduit,29350.33,-92.4%,360,14419.05,44654.89,11577.40,40357.30
Single-crystal Superalloy I-beam,5995174.87,-33.1%,420,5998098.14,5892845.79,3551847.41,6038857.66
Telemetry Processor,21370.23,+2.9%,225,27500.00,170899.40,4821.78,69931.86
Trigger Unit,48392.43,+3.3%,511,49646.15,95397.63,6160.72,41955.56
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,329.45,-3.0%,23620853,316.69,354.34,449.50,319.00
Hydrogen Isotopes,301.97,-0.6%,82726150,301.99,300.12,318.09,319.52
Nitrogen Isotopes,324.42,+13.1%,15666465,311.38,365.34,340.34,286.94
Oxygen Isotopes,347.32,+3.4%,21222054,333.84,340.35,423.20,316.96
Heavy Water,19.36,+3.3%,30061743,20.19,17.09,22.77,20.51
