Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.72,+1.2%,27921381839,2.77,2.62,2.70,2.84
Pyerite,6.83,-0.3%,6600366640,6.87,6.76,6.66,7.13
Mexallon,28.77,-1.2%,1751987129,29.17,28.07,28.07,30.46
Isogen,52.79,-0.4%,250790495,53.19,52.38,50.62,53.46
Nocxium,89.38,-0.6%,96907982,90.30,87.98,88.61,87.45
Zydrine,1415.40,-1.8%,14652459,1403.35,1445.72,1540.66,1368.33
Megacyte,2761.38,+2.0%,7813095,2768.19,2710.60,2833.20,2821.46
Morphite,6441.49,-9.2%,509178,6286.85,7109.45,6740.68,6147.84
,,,,,,,
Fuel,,,,,,,
Coolant,1190.66,-3.5%,2113923,1130.56,1419.75,1727.38,1206.22
Enriched Uranium,5165.80,+0.5%,1094963,5287.49,5207.01,4888.86,5300.52
Heavy Water,17.44,+9.2%,17922285,19.17,15.24,26.93,20.64
Helium Isotopes,425.13,-7.2%,4646304,417.49,425.94,491.31,374.49
Hydrogen Isotopes,392.62,-3.4%,76467937,404.04,382.61,356.60,409.20
Nitrogen Isotopes,442.96,+8.5%,10151825,460.90,429.31,487.36,409.54
Oxygen Isotopes,454.20,-2.3%,10929440,435.31,438.46,550.96,405.45
Liquid Ozone,320.45,+5.1%,14311348,319.85,309.74,383.15,285.13
Mechanical Parts,653.88,+9.2%,2775059,710.84,627.46,586.95,653.49
Oxygen,107.56,+7.2%,7963875,109.25,104.02,124.97,127.36
Robotics,6832.57,+1.4%,469077,6957.17,6789.07,7000.00,6932.94
Strontium Clathrates,727.27,+18.0%,1149480,933.41,469.78,1392.47,843.18
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,134480.49,+0.2%,72986,135773.80,130491.91,135824.28,143456.47
Armor Plates,201677.08,+0.9%,53363,206509.52,194743.82,193158.61,211784.92
Broken Drone Transceiver,108.61,-11.2%,35533,96.00,146.47,100.00,143.60
Burned Logic Circuit,29586.45,+0.8%,239459,29828.10,28424.68,30000.00,32984.87
Charred Micro Circuit,121.48,+1.4%,226054,127.60,95.01,133.17,280.93
Conductive Polymer,133.72,-0.9%,31256,135.45,140.82,100.00,125.68
Contaminated Lorentz Fluid,153.59,+8.3%,30347,180.31,83.52,100.00,171.56
Contaminated Nanite Compound,2658.00,+0.3%,55363,2800.00,1991.44,3000.00,3169.03
