Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.75,+0.6%,30997317522,2.78,2.70,2.77,2.94
Pyerite,6.99,+1.3%,7676696011,7.05,6.90,6.68,7.44
Mexallon,28.41,+0.6%,2193847887,28.66,28.03,27.19,30.80
Isogen,53.31,+0.3%,326079707,53.44,53.16,53.26,55.57
Nocxium,86.50,-3.4%,87299504,84.99,88.22,88.43,81.68
Zydrine,1194.55,-2.4%,23300266,1203.44,1162.61,1237.83,1134.71
Megacyte,2078.67,-0.6%,9847041,2078.69,2029.38,2265.69,2023.89
Morphite,5078.80,+2.4%,627501,5045.70,5090.76,5792.57,5018.52
,,,,,,,
Fuel,,,,,,,
Coolant,1177.85,+3.3%,3905738,1119.94,1281.11,2072.98,1213.74
Enriched Uranium,5380.91,+0.5%,1794390,5507.93,5383.69,4937.38,5300.01
Heavy Water,19.11,-1.5%,31019579,19.10,18.39,24.84,21.40
Helium Isotopes,417.09,+3.5%,21187242,398.43,484.34,452.39,362.53
Hydrogen Isotopes,434.57,-0.7%,121067534,437.53,433.29,423.55,471.54
Nitrogen Isotopes,470.50,-1.1%,22359744,448.71,489.64,604.15,428.84
Oxygen Isotopes,497.35,+1.3%,30901609,487.67,490.35,533.62,416.16
Liquid Ozone,372.24,-1.9%,35808645,365.80,381.39,425.37,324.11
Mechanical Parts,622.93,+0.5%,3992993,629.00,619.20,599.48,657.51
Oxygen,104.99,-0.2%,14216284,109.25,100.04,115.88,116.60
Robotics,6919.64,+0.3%,654669,6959.99,6869.24,7000.00,6929.36
Strontium Clathrates,982.03,-18.4%,2145776,1061.69,727.05,2154.91,834.31
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,139380.73,+0.2%,153617,139551.55,138314.21,140167.30,145561.97
Armor Plates,199013.64,-1.9%,119707,201384.37,190011.51,196000.00,204318.28
Broken Drone Transceiver,112.97,-9.4%,92750,118.08,102.91,100.00,140.85
Burned Logic Circuit,30365.74,-0.0%,440251,30723.47,29109.52,30381.63,31613.04
Charred Micro Circuit,176.01,-13.4%,476457,191.49,120.35,160.04,363.27
Conductive Polymer,154.23,-13.4%,63524,159.01,149.78,100.00,187.50
Contaminated Lorentz Fluid,153.90,+5.6%,62658,180.06,73.97,100.01,235.05
Contaminated Nanite Compound,2607.71,+8.4%,127311,2761.08,1829.43,2880.73,3276.56
Damaged Artificial Neural Network,385.49,-33.2%,98315,394.30,293.46,400.00,219.82
Defective Current Pump,181.10,+0.1%,37914,190.63,152.75,101.01,326.00
Fried Interface Circuit,3748.92,+5.0%,442868,3665.91,3906.93,4000.26,4402.27
Malfunctioning Shield Emitter,354.33,-42.5%,106562,329.21,421.81,267.56,379.63
Melted Capacitor Console,95818.57,-2.8%,34089,92967.83,103522.84,94207.64,90368.95
Scorched Telemetry Processor,258.41,+4.3%,50816,311.46,132.12,120.02,150.08
Smashed Trigger Unit,162.84,+5.7%,264914,175.99,130.46,93.65,183.17
Tangled Power Conduit,467.69,+173.6%,68398,244.56,780.35,3017.79,243.56
Thruster Console,141.23,-1.8%,102411,142.13,157.27,100.00,219.53
Tripped Power Circuit,37375.70,+1.3%,436123,37594.05,37010.37,36664.25,39085.43
Ward Console,23543.47,-10.4%,63045,24021.18,20816.53,22000.00,19527.60
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,147688.74,-3.4%,1429,142544.78,188235.29,0.00,125811.91
Datacore - Caldari Starship Engineering,162768.47,+8.9%,1186,170792.79,154444.18,0.00,167012.59
Datacore - Electromagnetic Physics,104564.68,+13.5%,836,90521.16,124189.15,250000.00,82448.26
Datacore - Electronic Engineering,244148.16,+7.5%,6475,255047.69,237142.59,10000.00,220831.38
Datacore - Gallentean Starship Engineering,183984.87,+2.4%,3693,180720.01,189805.65,250000.00,185175.82
