Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.42,-1.6%,28845445051,2.44,2.39,2.39,2.48
Pyerite,4.65,+0.4%,7459300674,4.74,4.34,4.18,4.79
Mexallon,25.83,+1.5%,2020991568,26.24,24.57,22.76,27.64
Isogen,50.36,-2.0%,319389274,51.37,47.80,44.97,51.63
Nocxium,120.18,-5.4%,114377891,124.33,106.30,120.51,118.19
Zydrine,1092.45,-1.0%,21429825,1089.26,1096.93,1211.43,1008.50
Megacyte,2256.57,+2.4%,9050024,2259.43,2227.73,2552.64,2221.95
Morphite,4352.13,+2.6%,534598,4387.70,4315.78,5185.01,4148.10
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,123969.36,-1.0%,151425,123995.11,123872.80,124000.32,130074.59
Armor Plates,227766.73,-0.3%,116827,229758.06,222791.68,218328.61,230169.76
Broken Drone Transceiver,81.28,+22.0%,66391,92.47,34.76,100.00,304.43
Burned Logic Circuit,30501.36,-0.0%,449551,30792.58,29896.27,28988.69,31647.49
Charred Micro Circuit,148.00,-13.7%,498345,147.43,157.63,104.72,427.51
Conductive Polymer,128.44,+16.9%,38437,144.57,51.11,100.50,312.37
Contaminated Lorentz Fluid,183.94,+9.4%,61267,198.87,95.17,100.00,320.91
Contaminated Nanite Compound,2799.21,+4.5%,144040,3027.45,2115.57,114.67,2998.52
Damaged Artificial Neural Network,133.79,+7.7%,42293,141.15,121.26,400.00,343.05
Defective Current Pump,162.47,-2.4%,36211,158.37,201.28,100.00,347.01
Fried Interface Circuit,4744.91,+0.3%,463123,4889.09,4485.07,3697.28,4963.99
Malfunctioning Shield Emitter,262.94,+19.4%,83582,312.35,125.07,100.00,383.99
Melted Capacitor Console,92422.60,-1.0%,40682,92894.64,87635.41,87041.04,86001.04
Scorched Telemetry Processor,99.66,+3.4%,42523,100.68,93.20,100.00,259.61
Smashed Trigger Unit,171.82,+3.9%,239583,211.27,39.47,100.00,323.35
Tangled Power Conduit,268.92,-2.9%,40140,258.80,289.90,120.06,336.78
Thruster Console,106.19,-2.0%,122740,122.51,40.20,100.00,331.32
Tripped Power Circuit,51250.68,-0.4%,444951,52285.07,48664.50,48297.60,53294.90
Ward Console,26400.14,+6.1%,47158,26336.59,26518.42,25000.02,25153.70
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6089.01,+0.2%,732,6186.79,1612.44,1711.60,6700.12
Capacitor Console,19266289.19,+6.1%,104,19952156.37,17216014.02,11263161.64,19836161.21
Conductive Thermoplastic,9487.41,+26.5%,64,10960.18,5667.99,3001.08,17574.81
Current Pump,10435.57,+5.6%,54,10990.61,850.71,3445.77,42003.16
Drone Transceiver,3187.82,+16.3%,75,3708.92,2751.93,2001.07,5511.14
Enhanced Ward Console,15345565.95,-8.2%,95,15515203.84,16077089.46,12222422.68,16616794.50
Impetus Console,13291.94,-17.2%,194,11882.60,13422.61,11913.68,13485.65
Intact Armor Plates,22310122.05,+4.9%,138,22670411.00,19391739.87,18890002.22,24156028.07
Intact Shield Emitter,520408.81,-13.2%,76,537391.64,536630.02,129673.21,648822.48
Interface Circuit,115943.15,-40.3%,1182,111269.36,123281.98,67535.86,62133.18
Logic Circuit,210595.87,-7.7%,1158,178561.38,256812.31,115796.61,170388.07
Lorentz Fluid,2148.60,+40.8%,79,2774.13,34.27,4206.64,6678.22
Micro Circuit,14025.78,-53.6%,596,16320.99,6964.74,5252.57,8810.45
Nanite Compound,33580.54,+7.2%,83,35203.60,1439.31,14202.80,41531.64
Power Circuit,1649910.36,+4.3%,1130,1608692.41,1863471.34,1698114.62,1493490.70
Power Conduit,73790.35,-98.1%,137,76579.92,37312.98,25740.68,20655.99
Single-crystal Superalloy I-beam,5578638.21,-12.0%,343,5609544.18,5554675.08,5746374.76,5958040.90
Telemetry Processor,95383.19,-5.6%,77,113343.78,5392.15,22004.07,50177.41
Trigger Unit,246511.92,-92.4%,193,297500.28,6679.19,12900.01,35988.55
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,330.61,+4.2%,16828364,327.54,336.39,340.08,320.93
Hydrogen Isotopes,321.80,-6.5%,109282688,324.66,317.73,344.79,343.15
Nitrogen Isotopes,346.19,-1.2%,18646192,336.73,364.42,398.95,312.52
Oxygen Isotopes,329.81,+2.7%,20480440,330.68,335.38,400.92,321.82
Heavy Water,22.96,-20.9%,21478105,22.82,22.78,69.08,20.51
Liquid Ozone,240.07,-2.2%,21674635,237.55,248.95,408.72,214.82
Strontium Clathrates,419.49,+7.3%,1415402,406.72,491.87,364.14,372.75
,,,,,,,
