Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.27,-1.0%,24548136492,2.31,2.20,2.12,2.43
Pyerite,4.09,+0.3%,5383547640,4.12,4.06,4.07,4.29
Mexallon,32.71,-0.0%,1717764906,32.87,32.45,29.36,35.45
Isogen,58.05,+2.7%,251577295,59.01,54.95,48.73,60.84
Nocxium,124.54,-11.7%,74941227,133.23,115.32,154.15,132.88
Zydrine,1083.13,-5.8%,22827631,1091.12,1058.15,1124.80,1024.55
Megacyte,2402.80,-1.6%,10138707,2428.14,2317.27,2386.16,2349.14
Morphite,3947.73,-3.7%,622825,4117.61,3823.26,3400.50,4050.88
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,113477.03,-1.3%,124018,113497.33,112779.73,115710.26,110186.74
Armor Plates,244187.13,-0.4%,98015,246119.79,233546.43,212170.79,246691.33
Broken Drone Transceiver,95.70,+4.5%,49774,100.24,87.69,11.79,180.25
Burned Logic Circuit,29756.43,-5.4%,359260,30004.79,28731.11,25804.48,29845.12
Charred Micro Circuit,159.50,+25.4%,336699,153.34,181.24,34.82,296.37
Conductive Polymer,145.99,+2.8%,23603,150.10,97.30,105.00,181.53
Contaminated Lorentz Fluid,203.20,-4.7%,91456,215.06,104.16,15.23,183.18
Contaminated Nanite Compound,2354.08,-5.1%,108857,2479.67,1591.87,1290.35,2460.90
Damaged Artificial Neural Network,264.96,-5.5%,112176,267.39,186.24,28.45,246.45
Defective Current Pump,186.71,-15.1%,30989,158.59,239.24,10.04,219.85
Fried Interface Circuit,4259.74,+5.8%,385918,4321.13,3883.52,3030.12,4130.89
Malfunctioning Shield Emitter,132.84,+5.6%,68014,131.83,137.26,10.31,295.58
Melted Capacitor Console,127545.41,+2.8%,23984,129148.36,116245.77,107712.51,126325.28
Scorched Telemetry Processor,104.13,+8.5%,26773,112.95,50.16,25.00,233.67
Smashed Trigger Unit,93.00,-39.7%,148667,101.01,57.10,10.05,176.43
Tangled Power Conduit,229.39,-32.4%,30964,242.83,63.74,33.35,231.85
Thruster Console,81.93,-2.3%,75883,80.00,106.12,10.31,169.06
Tripped Power Circuit,72602.17,-0.2%,377449,73028.18,70977.94,58610.50,72974.28
Ward Console,24660.04,+5.7%,25854,25397.10,22690.99,24190.98,25022.56
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,9810.56,+63.1%,412,6419.28,9810.56,3065.55,4258.76
Capacitor Console,20350804.73,-1.9%,104,21047010.44,20014021.90,15842353.37,23290456.72
Conductive Thermoplastic,20593.66,+122.9%,0,32177.96,92777.85,6281.09,20593.66
Current Pump,46767.81,-55.8%,0,21025.65,9598.63,3223.68,46767.81
Drone Transceiver,3695.81,+0.4%,279,3695.81,3574.63,2001.18,2880.42
Enhanced Ward Console,14955747.22,-3.6%,0,15765046.91,12865546.48,11931627.65,14955747.22
Impetus Console,20127.31,-45.3%,0,10965.89,368.05,5012.28,20127.31
Intact Armor Plates,22632202.09,-2.8%,62,22580469.90,22960369.10,17797830.84,27401282.40
Intact Shield Emitter,777824.46,-21.4%,0,611015.46,441780.77,307500.75,777824.46
Interface Circuit,114291.94,-44.2%,0,93639.20,65071.26,37333.78,114291.94
Logic Circuit,181078.00,+1.4%,1192,186636.20,120382.41,265474.05,186445.06
Lorentz Fluid,3423.63,-11.6%,0,3025.03,8972.87,3981.35,3423.63
Micro Circuit,5829.74,+8.0%,0,4609.58,1743.66,9200.16,5829.74
Nanite Compound,43045.79,-95.4%,0,35751.31,43856.96,24368.43,43045.79
Power Circuit,1567745.83,-11.0%,0,1200594.59,1038256.53,1635599.65,1567745.83
Power Conduit,44611.24,-95.5%,0,2473.59,49929.19,19932.84,44611.24
Single-crystal Superalloy I-beam,5702857.80,+1.7%,124,5972167.49,5628822.91,3404301.21,5863166.77
Telemetry Processor,69813.39,+43.2%,0,99695.34,117136.85,8546.61,69813.39
Trigger Unit,52099.19,-84.5%,418,54533.53,5979.11,5525.01,39571.56
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,344.90,-10.4%,16886524,331.21,407.63,420.21,315.26
Hydrogen Isotopes,307.54,-3.8%,80491074,307.15,308.50,311.38,329.14
Nitrogen Isotopes,313.11,-2.0%,14594697,310.44,342.34,370.64,291.12
Oxygen Isotopes,385.36,-3.5%,10841721,365.49,386.02,432.81,330.70
Heavy Water,20.02,+1.4%,15890912,21.34,16.38,21.00,21.73
Liquid Ozone,221.69,-0.4%,13129257,218.20,231.78,259.56,230.70
Strontium Clathrates,224.19,-31.8%,538862,354.32,224.19,1193.93,316.22
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,14930.99,-1.6%,740412,14930.99,20982.03,14362.56,15966.93
Enriched Uranium,8502.06,+6.7%,863292,8529.06,8393.28,11533.63,9134.06
Mechanical Parts,8087.50,+71.3%,1197821,8068.27,7896.84,5182.88,7214.44
Oxygen,223.48,-3.7%,5484036,221.13,223.68,195.57,301.47
Robotics,28969.59,+9.4%,460910,28610.50,30392.19,26807.26,30610.51
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,234048.79,-40.2%,1072,188136.25,240873.11,90187.02,148037.62
Datacore - Caldari Starship Engineering,97245.56,+88.1%,0,199782.74,161988.27,173844.25,97245.56
Datacore - Electromagnetic Physics,50971.61,+19.7%,0,71483.78,63889.49,191699.04,50971.61
Datacore - Electronic Engineering,264472.28,+0.2%,6395,256819.49,264308.24,211278.46,226297.68
Datacore - Gallentean Starship Engineering,120561.33,+14.2%,0,148874.15,131463.82,199974.44,120561.33
Datacore - Graviton Physics,85852.58,+11.8%,0,99910.57,120820.23,188048.08,85852.58
Datacore - High Energy Physics,120026.51,-18.4%,635,142238.00,120026.51,189008.62,126226.38
Datacore - Hydromagnetic Physics,228013.39,+7.4%,932,228013.39,249780.39,286414.33,210067.45
Datacore - Laser Physics,99328.80,+47.1%,0,145901.16,174442.77,211111.11,99328.80
Datacore - Mechanical Engineering,333875.56,+3.0%,21483,336067.01,317969.90,353933.33,343426.55
Datacore - Minmatar Starship Engineering,374568.07,+0.1%,4494,374568.07,298053.62,324948.59,382060.58
Datacore - Molecular Engineering,180290.83,+29.4%,0,210099.16,208728.58,215135.12,180290.83
Datacore - Nanite Engineering,182730.86,-12.4%,1100,197789.59,182730.86,175516.17,144746.61
Datacore - Nuclear Physics,243611.28,-9.7%,4683,290089.08,226290.03,329637.64,313473.06
Datacore - Plasma Physics,138829.05,+65.9%,0,131438.13,203412.04,617241.38,138829.05
Datacore - Quantum Physics,312139.86,+8.9%,1537,312139.86,366301.81,269383.51,290046.17
Datacore - Rocket Science,90375.38,+82.6%,0,149750.44,164481.46,191716.74,90375.38
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,11136104.54,-12.8%,142,11488199.58,10351892.87,8321739.91,13644064.32
Assembly Instructions,27866575.00,+24.7%,0,32144396.58,32636454.18,18687499.75,27866575.00
Calibration Data,3274872.45,+8.3%,224,3236705.97,3251333.91,3646564.81,4926127.20
Circuitry Schematics,5515347.18,+22.3%,116,5580117.95,5387980.54,4209294.91,6290184.70
Circular Logic,1191810.93,-48.7%,0,866509.14,1158079.29,3075000.00,1191810.93
Classic Doctrine,8889215.53,-23.7%,0,6857119.22,8079624.88,7500000.00,8889215.53
Collision Measurements,4266082.70,+64.1%,0,5706870.96,4271474.65,5340000.00,4266082.70
Engagement Plan,6266429.09,-31.8%,0,6624435.98,6350719.19,10416666.67,6266429.09
Formation Layout,5955292.30,-21.8%,0,5739860.15,4811871.43,4482500.00,5955292.30
Installation Guide,19927106.52,+18.6%,0,21455032.36,28517242.96,47500000.00,19927106.52
Interface Alignment Chart,3764650.26,-81.4%,99,3764650.26,4569076.93,8149999.50,4047592.99
Operation Handbook,7937045.64,-9.0%,348,7998560.10,7770285.09,7186206.91,9643828.61
Prototype Diagram,4470213.80,+101.3%,0,7722361.61,5762500.06,12000000.00,4470213.80
Sacred Manifesto,4655044.46,-1.6%,0,4153866.58,3982923.00,3627272.73,4655044.46
Stolen Formulas,31597616.42,-5.1%,0,36741178.52,43285714.29,24800000.00,31597616.42
Symbiotic Figures,2900281.27,+106.8%,0,7000609.70,5120834.06,5985785.71,2900281.27
Test Reports,11168969.81,-20.2%,0,10956482.27,7694000.68,10625000.00,11168969.81
Tuning Instructions,5295226.74,+13.3%,0,5511312.63,5943812.50,8050052.63,5295226.74
User Manual,2331124.69,-14.2%,0,3449995.79,3544115.59,5142928.57,2331124.69
War Strategon,19230192.33,-11.6%,0,21431250.04,41271000.00,38499999.99,19230192.33
,,,,,,,
Raw Moon Materials,,,,,,,
Atmospheric Gases,68.27,+9.9%,0,125.20,120.92,91.74,68.27
Cadmium,1223.13,+42.7%,0,1756.97,1698.56,1473.10,1223.13
Caesium,672.90,+122.4%,0,1635.51,871.20,0.00,672.90
Chromium,1843.21,+8.5%,0,1712.65,2217.44,2481.69,1843.21
