Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.57,-0.9%,13447771916,2.61,2.50,2.53,2.78
Pyerite,6.32,+1.2%,3666533158,6.51,6.11,5.47,6.80
Mexallon,27.18,-1.4%,876349592,27.21,27.23,26.13,28.81
Isogen,49.92,-0.2%,147077098,50.71,48.70,48.44,53.01
Nocxium,86.76,-4.0%,33600467,95.65,61.42,99.73,97.38
Zydrine,1418.21,-1.9%,6622014,1411.33,1407.73,1513.58,1396.84
Megacyte,2606.84,-1.5%,5719431,2596.06,2717.04,2451.33,2651.06
Morphite,5669.62,-0.4%,256197,5696.41,5635.30,5010.01,5645.07
,,,,,,,
Fuel,,,,,,,
Coolant,1273.01,-3.8%,700288,1150.00,1386.93,2115.43,1239.06
Enriched Uranium,5229.74,-0.2%,469813,5145.16,5252.35,5300.00,5300.68
Heavy Water,19.93,-8.4%,9594358,21.46,17.69,170.10,22.26
Helium Isotopes,366.08,-1.9%,3292354,360.00,354.97,399.98,355.63
Hydrogen Isotopes,338.71,-2.5%,38757261,335.24,339.47,343.60,372.29
Nitrogen Isotopes,401.01,+0.8%,6447810,402.16,398.94,474.54,342.87
Oxygen Isotopes,393.63,-0.5%,8389467,378.33,414.40,476.38,376.50
Liquid Ozone,301.43,-6.0%,5813936,311.72,283.62,350.04,304.06
Mechanical Parts,614.30,+0.5%,1101115,636.00,606.53,589.89,645.80
Oxygen,104.38,-0.7%,4667640,109.22,99.60,127.47,134.38
Robotics,6902.43,+0.5%,709134,6960.00,6890.00,7604.22,6928.71
Strontium Clathrates,759.99,-9.3%,457696,700.03,791.36,385.36,793.56
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,133650.41,-1.5%,53170,132810.19,136415.42,135000.01,138725.71
Armor Plates,222286.02,+0.0%,44773,226465.47,204937.50,220000.00,238880.00
Broken Drone Transceiver,98.63,+0.2%,9877,100.16,97.59,100.00,171.85
Burned Logic Circuit,30469.18,+1.3%,66267,31110.95,29763.38,32000.00,32134.00
Charred Micro Circuit,123.99,+13.7%,59312,165.04,91.26,100.00,149.69
Conductive Polymer,139.28,-22.4%,16544,110.03,144.89,114.59,226.59
Contaminated Lorentz Fluid,129.28,+14.5%,7883,186.29,90.15,101.00,151.17
Contaminated Nanite Compound,2765.23,+4.6%,23229,3100.00,2224.33,2000.00,3108.45
Damaged Artificial Neural Network,287.73,+6.2%,6491,300.00,261.10,500.00,355.65
Defective Current Pump,175.68,+2.3%,3888,191.26,157.46,150.00,370.87
Fried Interface Circuit,4407.70,+3.0%,76995,4810.95,3958.84,4410.01,4623.53
Malfunctioning Shield Emitter,188.16,+17.3%,12931,255.02,111.09,300.00,341.99
Melted Capacitor Console,79221.00,-0.7%,3387,77086.38,82710.78,87000.00,78150.00
Scorched Telemetry Processor,129.82,+1.4%,5746,137.11,123.57,120.03,148.17
Smashed Trigger Unit,89.05,+9.1%,39070,106.22,73.63,10.00,124.11
Tangled Power Conduit,248.83,-5.7%,3952,201.00,305.22,100.00,181.08
Thruster Console,101.90,-23.9%,13666,51.00,157.90,100.00,295.04
Tripped Power Circuit,42561.56,+2.7%,60854,44235.95,40168.00,46000.00,46094.03
Ward Console,21548.43,+0.9%,6441,20885.95,21243.13,25000.00,19396.65
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,193999.00,-63.0%,58,0.00,193999.00,0.00,148169.00
Datacore - Caldari Starship Engineering,222779.06,-7.9%,334,184197.22,291583.33,0.00,149546.08
Datacore - Electromagnetic Physics,116603.27,+29.6%,116,107600.00,119743.94,0.00,92482.84
Datacore - Electronic Engineering,301337.12,-0.3%,1160,320381.24,277485.75,0.00,283152.72
Datacore - Gallentean Starship Engineering,174585.55,-0.4%,391,0.00,174585.55,0.00,203749.22
Datacore - Graviton Physics,117622.85,+16.1%,175,128239.40,113376.22,0.00,117899.94
Datacore - High Energy Physics,196847.31,+0.7%,904,202183.29,196613.16,0.00,205245.28
Datacore - Hydromagnetic Physics,430092.49,+1.8%,639,440000.00,421963.25,0.00,422999.97
Datacore - Laser Physics,148274.53,-0.2%,316,111885.42,164153.41,0.00,154061.37
Datacore - Mechanical Engineering,372713.09,+0.1%,3984,416000.00,367199.70,301000.00,413582.89
Datacore - Minmatar Starship Engineering,409581.91,+1.1%,3420,414900.44,406144.32,300100.00,471946.62
Datacore - Molecular Engineering,324044.98,-4.8%,689,301351.00,350213.98,0.00,319448.62
Datacore - Nanite Engineering,292084.80,-2.6%,637,232990.00,301682.32,0.00,188340.91
Datacore - Nuclear Physics,310014.20,-4.0%,2395,331788.00,306061.19,0.00,354337.26
Datacore - Plasma Physics,257244.79,+13.4%,157,237478.25,285222.04,0.00,174999.77
Datacore - Quantum Physics,448255.44,-0.5%,719,439999.00,456581.06,0.00,385747.10
Datacore - Rocket Science,279757.31,+3.2%,736,293999.00,252568.63,0.00,230269.94
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,8172190.42,-7.9%,38,8415473.33,8020016.16,4707123.00,0.00
Assembly Instructions,11304539.01,+50.8%,4,8899385.33,18520000.03,0.00,0.00
Calibration Data,4177505.84,+1.6%,97,4287811.10,4096792.46,4000000.00,0.00
Circuitry Schematics,5491705.04,-16.9%,37,5004172.10,5725720.85,0.00,6115264.96
Circular Logic,1126000.00,+169.2%,1,1126000.00,0.00,0.00,1810055.63
Classic Doctrine,5000000.00,+25.6%,2,0.00,5000000.00,0.00,7329568.55
Collision Measurements,4758809.56,+31.5%,0,0.00,0.00,0.00,4758809.56
Engagement Plan,6572727.18,-3.4%,11,0.00,6572727.18,0.00,0.00
Formation Layout,5273999.85,+19.9%,7,5273999.85,0.00,0.00,0.00
Installation Guide,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Interface Alignment Chart,4077666.99,+50.2%,3,2133000.96,5050000.00,0.00,5568048.20
Operation Handbook,6846406.98,-2.5%,239,7319466.89,6771285.60,4661002.00,0.00
Prototype Diagram,8000000.00,-6.2%,2,0.00,8000000.00,0.00,8524752.72
Sacred Manifesto,3770358.73,-11.8%,41,3764617.70,4000000.00,0.00,0.00
Stolen Formulas,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Symbiotic Figures,7695760.02,-17.5%,2,0.00,7695760.02,0.00,0.00
Test Reports,10750000.00,-10.1%,2,0.00,10750000.00,0.00,0.00
Tuning Instructions,8199999.96,+11.8%,0,0.00,0.00,0.00,8199999.96
User Manual,5101666.68,-10.8%,6,0.00,5101666.68,0.00,2958549.22
War Strategon,0.00,+100.0%,0,0.00,0.00,0.00,0.00
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,91.84,-12.9%,5583650,91.66,92.00,0.00,88.36
Fermionic Condensates,24407.55,+1.7%,5941,24997.91,12777.25,0.00,21493.93
Fernite Carbide,75.23,-2.0%,14657008,72.99,81.97,0.00,71.13
Ferrogel,12211.06,-12.0%,53679,12996.30,11140.42,0.00,11741.17
Fullerides,932.69,-4.2%,1825710,921.08,974.98,0.00,933.86
Hypersynaptic Fibers,3606.40,-1.2%,114255,3489.94,4192.40,0.00,3380.39
Nanotransistors,2997.45,+3.6%,947118,3052.50,2860.06,0.00,2746.87
Phenolic Composites,473.13,+7.5%,1007265,476.14,465.73,0.00,432.71
Sylramic Fibers,133.80,-9.4%,3740559,153.01,163.99,55.04,163.66
Titanium Carbide,82.20,+1.5%,3236033,82.15,95.96,0.00,89.74
Tungsten Carbide,88.68,+22.2%,6588824,88.20,118.98,0.00,83.01
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,952.22,-4.4%,183,1505.00,744.41,0.00,1531.98
Central System Controller,7928.04,-0.7%,25,15023.01,5168.89,0.00,28249.90
Defensive Control Node,10875.48,-7.2%,27,12129.01,10013.69,0.00,7554.11
Electromechanical Hull Sheeting,573.30,+0.7%,16944,700.79,553.06,0.00,263.42
Emergent Combat Analyzer,1255.58,+10.1%,104,2026.01,804.94,50.00,1901.00
Emergent Combat Intelligence,15933.32,-53.4%,38,10019.01,20721.10,0.00,23689.40
Fused Nanomechanical Engines,1211.26,-15.8%,142,1500.00,1089.99,0.00,1501.03
Heuristic Selfassemblers,2201.88,-27.0%,164,2000.83,2292.62,0.00,3912.37
