Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.57,-1.0%,21377582781,2.61,2.51,2.55,2.76
Pyerite,6.29,+1.8%,6016373349,6.45,6.13,5.37,6.72
Mexallon,27.20,-1.4%,1549447689,27.22,27.23,26.54,28.85
Isogen,50.07,-0.5%,232308127,50.69,48.96,49.20,52.62
Nocxium,92.60,-10.1%,71838138,97.19,73.44,100.09,95.16
Zydrine,1428.52,-2.6%,12549785,1416.53,1439.44,1495.68,1396.36
Megacyte,2614.64,-1.8%,9054821,2603.08,2668.70,2513.99,2658.71
Morphite,5765.36,-2.0%,515914,5848.49,5585.22,6422.65,5687.93
,,,,,,,
Fuel,,,,,,,
Coolant,1268.61,-3.5%,2408914,1189.26,1317.80,1734.98,1252.90
Enriched Uranium,5337.12,-2.2%,1228646,5509.60,5240.73,4951.24,5300.62
Heavy Water,20.86,-12.5%,23179478,18.47,18.44,144.57,22.31
Helium Isotopes,377.92,-4.9%,5558358,365.53,381.21,401.83,349.25
Hydrogen Isotopes,339.25,-2.7%,68737884,345.57,336.75,338.06,368.87
Nitrogen Isotopes,412.18,-1.9%,13224772,402.28,421.81,474.54,347.01
Oxygen Isotopes,392.27,-0.1%,16143351,382.70,411.03,476.40,376.01
Liquid Ozone,288.71,-1.8%,13335053,282.23,288.87,352.64,301.43
Mechanical Parts,635.12,-2.8%,2386706,676.45,609.11,596.85,646.03
Oxygen,107.64,-3.7%,9613286,109.24,101.36,137.51,125.83
Robotics,6918.63,+0.3%,1434828,6960.00,6887.93,7524.32,6933.71
Strontium Clathrates,747.61,-7.8%,721795,700.02,797.31,758.69,794.62
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,134097.54,-1.8%,87621,133444.89,136326.49,133594.03,139229.48
Armor Plates,221937.35,+0.2%,72531,225716.43,206104.27,215209.75,233506.66
Broken Drone Transceiver,99.23,-0.4%,23745,100.16,97.80,100.00,140.23
Burned Logic Circuit,30796.62,+0.2%,173922,31425.01,29695.28,30986.20,31944.38
Charred Micro Circuit,138.32,+1.9%,151563,165.03,104.01,76.20,134.55
Conductive Polymer,122.83,-12.0%,25699,94.62,139.13,111.05,187.38
Contaminated Lorentz Fluid,144.80,+2.2%,20650,186.29,90.14,100.81,170.66
Contaminated Nanite Compound,2701.07,+7.1%,50913,2864.08,2215.69,2765.81,3108.06
Damaged Artificial Neural Network,300.23,+1.7%,46637,300.00,261.10,500.00,310.24
Defective Current Pump,180.11,-0.2%,11774,191.26,157.45,133.28,294.01
Fried Interface Circuit,4429.48,+2.5%,198359,4634.99,3957.85,4309.42,4571.86
Malfunctioning Shield Emitter,211.60,+4.3%,31829,255.01,111.08,300.00,283.23
Melted Capacitor Console,78314.65,+0.5%,10818,76742.64,82307.92,86277.18,77085.97
Scorched Telemetry Processor,133.43,-1.4%,16621,139.20,124.42,125.86,148.08
Smashed Trigger Unit,96.82,+0.3%,86018,106.21,82.85,74.45,124.11
Tangled Power Conduit,222.65,+5.4%,11838,200.21,301.77,100.00,259.56
Thruster Console,84.39,-8.1%,37967,51.06,157.20,100.00,272.26
Tripped Power Circuit,43075.95,+1.4%,168231,44839.97,39632.21,44058.22,46059.22
Ward Console,21161.55,+2.8%,18350,20880.72,20942.38,23985.82,19167.96
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,193999.00,-63.0%,154,0.00,193999.00,0.00,150136.67
Datacore - Caldari Starship Engineering,205243.22,+2.4%,560,182261.07,213960.59,0.00,149909.21
Datacore - Electromagnetic Physics,99927.14,+51.2%,962,101178.57,98836.40,0.00,96793.79
Datacore - Electronic Engineering,290981.96,+3.2%,3464,320045.51,274331.40,10000.00,278130.76
Datacore - Gallentean Starship Engineering,186665.89,-6.8%,1139,197191.94,188111.18,10000.00,205012.78
Datacore - Graviton Physics,123513.44,+10.5%,386,128368.43,113376.22,0.00,116104.20
Datacore - High Energy Physics,189001.03,+4.9%,1923,210952.89,186018.50,198499.99,213162.89
Datacore - Hydromagnetic Physics,408278.49,+7.2%,1163,400543.73,423433.10,0.00,425015.38
Datacore - Laser Physics,153092.16,-3.3%,480,122824.27,164098.66,0.00,151423.82
Datacore - Mechanical Engineering,371417.89,+0.5%,11942,392636.87,363044.87,305199.40,414721.39
Datacore - Minmatar Starship Engineering,387426.65,+6.8%,4943,419290.05,371056.16,300100.00,462699.13
Datacore - Molecular Engineering,330086.87,-6.5%,1013,314203.69,348076.65,0.00,318589.99
Datacore - Nanite Engineering,239632.49,+18.7%,1730,221576.54,253824.72,300000.00,188105.55
Datacore - Nuclear Physics,313743.18,-5.2%,4301,322146.26,307376.48,0.00,347721.58
Datacore - Plasma Physics,192028.36,+51.9%,403,162415.27,279415.99,0.00,176334.97
Datacore - Quantum Physics,446433.85,-0.1%,1002,437860.85,459296.58,385005.13,386265.71
Datacore - Rocket Science,276749.19,+4.4%,1077,291079.75,256396.58,0.00,230984.38
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,8906328.91,-15.5%,78,8592890.95,9426241.80,4707123.00,0.00
Assembly Instructions,18160044.43,-6.2%,7,12175078.00,26139999.68,0.00,0.00
Calibration Data,4174257.06,+1.6%,153,4283918.65,4051250.01,4014285.71,0.00
Circuitry Schematics,5531238.40,-17.5%,67,5719733.98,5284244.19,0.00,7211640.66
Circular Logic,1435600.00,+111.2%,5,1435600.00,0.00,0.00,1605154.32
Classic Doctrine,6347250.00,-1.1%,4,7694500.00,5000000.00,0.00,8394029.56
Collision Measurements,6300000.02,-0.7%,6,6000000.00,6450000.02,0.00,4697031.83
Engagement Plan,6538095.19,-2.9%,21,0.00,6538095.19,0.00,7128678.30
Formation Layout,5461375.05,+15.8%,16,5461375.05,0.00,0.00,0.00
Installation Guide,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Interface Alignment Chart,4558250.24,+34.4%,4,4066500.48,5050000.00,0.00,5606703.31
Operation Handbook,6800466.63,-1.9%,335,7058445.27,6694616.06,4661002.00,0.00
Prototype Diagram,8000000.00,-6.2%,2,0.00,8000000.00,0.00,8424123.63
Sacred Manifesto,4059592.21,-18.1%,75,4018579.65,4458000.00,0.00,0.00
Stolen Formulas,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Symbiotic Figures,6410625.01,-1.0%,4,9999980.00,5214173.35,0.00,5609066.97
Test Reports,10900000.00,-11.3%,5,0.00,10900000.00,0.00,0.00
Tuning Instructions,9112495.20,+0.6%,2,10999990.00,7225000.40,0.00,8066318.05
User Manual,4735000.01,-3.9%,12,4800000.00,4688571.44,0.00,2965144.51
War Strategon,48999000.00,-16.7%,1,0.00,48999000.00,0.00,0.00
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,88.60,-9.7%,9738417,86.79,92.35,0.00,89.30
Fermionic Condensates,24769.55,+0.2%,10632,24997.93,20255.58,0.00,21787.32
Fernite Carbide,75.23,-2.0%,30305205,72.48,85.97,99.00,71.97
Ferrogel,12706.23,-15.4%,97482,12997.67,12375.37,0.00,11509.02
