Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.75,-0.3%,31091528638,2.79,2.63,2.75,2.93
Pyerite,6.87,-0.8%,8065979593,7.03,6.47,6.41,7.43
Mexallon,28.59,+0.2%,2148756637,29.10,27.13,26.77,29.62
Isogen,54.48,-1.1%,389227662,55.21,52.82,50.13,56.27
Nocxium,81.33,+3.7%,82799127,83.26,77.66,89.51,81.23
Zydrine,1173.65,-0.8%,30095041,1159.69,1205.73,1238.81,1159.64
Megacyte,2100.02,-0.8%,12656838,2062.27,2179.94,2276.62,2087.46
Morphite,4408.16,-55.4%,936709,6075.60,2825.37,5500.01,6184.50
,,,,,,,
Fuel,,,,,,,
Coolant,1135.03,-2.2%,3915360,1096.10,1322.66,2239.75,1196.71
Enriched Uranium,5213.04,-4.1%,1899306,5204.84,5255.79,4994.89,5300.69
Heavy Water,20.53,-10.2%,34220334,21.08,19.94,15.11,22.19
Helium Isotopes,425.34,+0.8%,14467091,401.57,475.37,1000.00,389.07
Hydrogen Isotopes,434.84,+3.5%,145498281,434.98,431.97,467.36,453.66
Nitrogen Isotopes,475.26,-5.8%,19566298,454.89,519.73,590.00,416.32
Oxygen Isotopes,500.04,-3.5%,27562220,495.09,506.70,836.74,487.27
Liquid Ozone,357.36,-1.8%,25236374,350.87,349.98,446.84,324.60
Mechanical Parts,610.64,-1.5%,3854128,613.07,609.13,588.67,645.42
Oxygen,111.48,+3.8%,17723537,109.25,114.75,93.66,123.58
Robotics,6828.18,-3.2%,762640,6958.99,6618.11,6986.50,6926.24
Strontium Clathrates,1057.27,-23.4%,1845450,1292.81,765.98,451.91,846.54
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,137296.45,+0.4%,171766,137799.02,135679.43,136000.00,146426.12
Armor Plates,208267.77,+0.7%,120179,208246.65,208010.02,210553.53,211096.62
Broken Drone Transceiver,100.87,+5.5%,71220,102.24,96.41,100.01,192.26
Burned Logic Circuit,32914.97,-2.5%,452078,33181.82,32014.72,31470.56,33367.04
Charred Micro Circuit,159.88,-0.3%,488685,171.49,141.75,55.00,386.89
Conductive Polymer,134.27,-1.4%,39223,135.18,136.61,100.00,206.05
Contaminated Lorentz Fluid,130.03,-2.7%,62462,145.62,58.13,100.00,244.27
Contaminated Nanite Compound,3412.78,-32.2%,280201,3469.46,2882.03,3000.00,3212.51
Damaged Artificial Neural Network,525.14,-22.1%,104026,543.17,330.14,500.00,389.76
Defective Current Pump,139.30,-0.2%,34114,152.13,70.21,100.00,332.47
Fried Interface Circuit,4670.25,-2.0%,619323,4581.32,4839.94,4496.90,4315.59
Malfunctioning Shield Emitter,449.79,-13.8%,98873,405.42,594.44,301.00,381.15
Melted Capacitor Console,102583.04,-2.1%,64769,102961.88,97669.60,103249.09,99920.09
Scorched Telemetry Processor,240.85,+1.1%,43014,237.35,280.16,120.02,316.70
Smashed Trigger Unit,147.77,-5.1%,264949,160.05,108.14,100.00,222.71
Tangled Power Conduit,524.74,+17.2%,50228,537.76,434.03,405.09,399.07
Thruster Console,178.00,-5.4%,111900,191.78,142.56,100.00,262.11
Tripped Power Circuit,38894.60,-2.2%,434082,39583.81,36597.30,32000.00,39322.07
Ward Console,22594.78,-4.0%,49579,22712.36,22206.91,20814.61,18431.95
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,180002.43,+2.4%,1776,180002.43,0.00,0.00,122800.49
Datacore - Caldari Starship Engineering,175163.76,+4.1%,1605,178021.89,150393.25,0.00,129061.36
Datacore - Electromagnetic Physics,93772.04,+14.8%,2785,90124.57,97009.84,0.00,95340.10
Datacore - Electronic Engineering,224544.89,-8.0%,8734,225995.18,221853.02,305000.00,205063.51
