Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.74,-0.5%,34281717770,2.77,2.69,2.60,2.93
Pyerite,6.98,-1.9%,7814588536,7.04,6.89,6.48,7.46
Mexallon,28.49,+1.1%,2258134554,28.87,27.26,26.82,30.99
Isogen,54.04,-0.7%,385234808,54.56,52.79,51.90,55.18
Nocxium,82.29,+0.3%,126036037,82.14,83.59,79.24,80.06
Zydrine,1165.10,-2.3%,24933247,1166.73,1153.82,1187.08,1108.12
Megacyte,2096.63,+0.6%,11840159,2120.83,2000.23,1773.15,2060.25
Morphite,4887.15,+0.4%,1100303,4856.41,5027.20,4784.27,4792.69
,,,,,,,
Fuel,,,,,,,
Coolant,1142.27,+3.3%,3887504,1092.01,1331.80,1997.76,1239.78
Enriched Uranium,5121.42,+0.6%,1795201,5040.92,5271.67,5290.17,5300.01
Heavy Water,18.87,-7.5%,40415815,19.26,17.90,18.98,20.75
Helium Isotopes,393.52,+0.9%,14237100,377.56,428.73,422.55,367.88
Hydrogen Isotopes,408.68,-2.7%,116023744,417.38,396.04,422.06,437.87
Nitrogen Isotopes,457.65,+4.1%,29587617,442.03,482.83,663.69,412.57
Oxygen Isotopes,419.53,+6.6%,25214120,405.54,437.62,552.76,393.98
Liquid Ozone,336.33,+0.6%,27041586,332.34,327.22,435.44,306.59
Mechanical Parts,617.94,-0.9%,4663753,625.40,608.01,588.12,645.65
Oxygen,105.34,+1.1%,13121686,109.25,97.13,139.81,115.89
Robotics,6833.59,+1.3%,694755,6959.80,6658.96,6964.41,6943.61
Strontium Clathrates,855.96,+0.5%,1651830,883.21,711.52,1738.47,909.76
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,131925.24,-0.7%,135573,132036.42,130403.28,134105.23,140530.15
Armor Plates,200871.55,+0.1%,111214,202692.86,192179.33,198818.18,203878.62
Broken Drone Transceiver,96.78,-0.0%,71884,96.10,98.45,100.01,141.07
Burned Logic Circuit,30188.16,+2.4%,468555,30378.92,28688.14,31000.00,30712.94
Charred Micro Circuit,143.30,-19.6%,504315,154.13,98.39,121.93,319.45
Conductive Polymer,141.86,-7.6%,60464,139.04,148.08,100.01,117.16
Contaminated Lorentz Fluid,163.09,-3.3%,76187,180.23,78.59,100.01,253.78
Contaminated Nanite Compound,2606.47,-0.4%,135885,2684.91,1854.27,3000.00,3005.15
Damaged Artificial Neural Network,308.59,-11.1%,47697,273.25,476.91,422.07,306.89
Defective Current Pump,183.18,-2.8%,40863,191.15,153.33,100.68,269.47
Fried Interface Circuit,3920.13,+0.5%,508663,3988.41,3118.05,4200.00,3916.21
Malfunctioning Shield Emitter,209.96,+2.4%,80265,200.23,302.20,100.00,238.62
Melted Capacitor Console,89512.22,+6.4%,28923,84097.52,97144.95,164828.00,85506.64
Scorched Telemetry Processor,250.23,-16.2%,52982,269.65,136.83,120.00,174.03
Smashed Trigger Unit,117.38,+1.0%,202536,118.00,119.56,100.00,136.90
Tangled Power Conduit,379.34,+0.6%,64123,400.51,336.95,165.26,199.73
Thruster Console,137.31,+3.9%,96120,136.54,160.10,100.01,177.03
Tripped Power Circuit,38927.96,+0.4%,419649,39294.53,37037.01,38574.05,40162.74
Ward Console,22759.14,-9.6%,44298,22666.83,24813.01,20496.27,19043.71
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,139645.03,-8.9%,1394,146024.60,120000.00,0.00,121513.47
Datacore - Caldari Starship Engineering,167034.33,-8.7%,1258,169009.21,154615.38,0.00,194997.00
Datacore - Electromagnetic Physics,89337.31,-18.1%,3160,83019.25,119467.96,0.00,82373.41
Datacore - Electronic Engineering,272459.59,+1.8%,11051,302479.57,248483.55,117333.33,241176.68
Datacore - Gallentean Starship Engineering,198820.84,+15.6%,4595,197454.46,212058.65,250000.00,204164.54
Datacore - Graviton Physics,105215.01,+166.6%,1817,105905.43,99550.81,0.00,80008.90
Datacore - High Energy Physics,167978.46,-0.3%,3472,194540.17,158543.21,0.00,191727.55
Datacore - Hydromagnetic Physics,537472.77,+1.7%,2574,543965.28,481847.81,0.00,509074.59
Datacore - Laser Physics,165592.72,+12.8%,1998,166142.88,164897.39,0.00,114999.99
