Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.73,-0.1%,31415867226,2.79,2.64,2.70,2.93
Pyerite,6.86,-0.5%,7543411975,7.03,6.46,6.26,7.43
Mexallon,28.41,+0.8%,2152995117,28.94,27.15,26.71,29.70
Isogen,54.59,-2.6%,376998546,55.66,53.05,50.31,55.77
Nocxium,80.92,+4.6%,99792395,83.35,74.05,89.73,81.11
Zydrine,1200.33,-3.3%,29161808,1187.86,1231.36,1278.85,1182.00
Megacyte,2130.84,+0.4%,13122697,2097.77,2208.73,2431.53,2134.23
Morphite,6444.38,+2.0%,669871,6459.66,6335.76,7529.58,6331.93
,,,,,,,
Fuel,,,,,,,
Coolant,1189.03,-4.9%,3527200,1094.44,1472.67,2239.76,1202.22
Enriched Uranium,5233.98,+2.5%,1807520,5239.73,5271.21,4859.62,5300.89
Heavy Water,22.79,-11.8%,30315438,21.91,24.00,23.27,22.26
Helium Isotopes,432.69,-0.4%,16225199,416.75,445.96,447.22,389.93
Hydrogen Isotopes,431.05,-0.6%,121087534,438.28,422.66,456.50,450.58
Nitrogen Isotopes,497.97,+6.3%,20802212,486.21,505.52,590.00,417.90
Oxygen Isotopes,523.90,-2.5%,22171381,520.34,519.37,686.80,486.13
Liquid Ozone,374.35,-5.0%,30119934,360.35,381.36,485.30,327.53
Mechanical Parts,615.99,+2.2%,4363480,615.47,611.26,674.93,650.82
Oxygen,109.41,-2.1%,19814597,109.25,110.16,104.39,123.60
Robotics,6883.40,-2.6%,858319,6975.18,6694.34,7000.00,6947.34
Strontium Clathrates,1103.17,-22.5%,2523360,1296.64,922.18,730.67,839.07
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,136321.94,+0.5%,161939,136805.50,134358.00,136000.00,144859.06
Armor Plates,209194.27,-0.2%,125366,208913.41,210478.91,209711.36,211478.39
Broken Drone Transceiver,99.32,+0.0%,79820,100.09,95.78,100.01,190.09
Burned Logic Circuit,33885.68,-3.8%,552212,34544.82,30680.96,30976.66,32786.53
Charred Micro Circuit,154.34,-5.9%,437847,169.10,110.41,112.36,326.32
Conductive Polymer,131.28,-0.9%,40953,135.05,127.05,100.00,188.00
Contaminated Lorentz Fluid,126.91,+4.4%,62214,139.69,55.85,100.00,225.05
Contaminated Nanite Compound,3662.80,-0.7%,283456,3743.91,2469.71,2927.02,3017.83
Damaged Artificial Neural Network,521.39,-54.8%,102726,534.52,317.26,474.10,410.87
Defective Current Pump,139.21,-2.1%,33901,151.35,67.69,100.00,326.10
Fried Interface Circuit,4690.55,-4.4%,612599,4584.36,5039.98,5132.45,4876.85
Malfunctioning Shield Emitter,437.96,-1.0%,83284,425.58,541.42,301.00,381.19
Melted Capacitor Console,103302.88,+0.8%,39978,103909.29,97983.89,101928.78,99784.48
Scorched Telemetry Processor,448.66,-53.6%,45453,219.11,1407.78,120.01,316.23
Smashed Trigger Unit,143.30,+2.2%,205155,156.82,95.63,100.00,218.56
Tangled Power Conduit,446.18,+0.4%,69031,452.10,440.45,405.08,392.46
