Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.28,+0.4%,25956295008,2.32,2.19,2.10,2.44
Pyerite,4.13,-1.3%,5574576988,4.16,4.11,4.07,4.29
Mexallon,33.21,-1.9%,1810510078,33.57,32.47,29.36,35.61
Isogen,57.46,-2.9%,217773394,58.64,54.95,48.73,60.78
Nocxium,132.12,+3.6%,52914414,133.23,132.76,154.15,132.00
Zydrine,1087.24,-6.9%,21126686,1091.12,1073.23,1124.80,1031.25
Megacyte,2418.09,-5.0%,9243853,2426.03,2316.68,2386.16,2358.24
Morphite,3966.06,-10.7%,780028,4117.61,3863.34,3400.50,4050.88
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,113643.93,-1.3%,135904,113753.48,112779.73,115710.26,109402.49
Armor Plates,243949.31,-6.0%,87894,245842.02,233546.43,212170.79,246483.28
Broken Drone Transceiver,95.70,+4.5%,49774,100.24,87.69,11.79,182.45
Burned Logic Circuit,29756.43,-5.4%,359260,30004.79,28731.11,25804.48,29801.69
Charred Micro Circuit,159.50,+25.4%,336699,153.34,181.24,34.82,296.33
Conductive Polymer,145.99,+2.8%,23603,150.10,97.30,105.00,186.24
Contaminated Lorentz Fluid,203.20,-4.7%,91456,215.06,104.16,15.23,183.18
Contaminated Nanite Compound,2354.08,-5.1%,108857,2479.67,1591.87,1290.35,2458.03
Damaged Artificial Neural Network,264.96,-5.5%,112176,267.39,186.24,28.45,246.03
Defective Current Pump,186.71,-15.1%,30989,158.59,239.24,10.04,219.80
Fried Interface Circuit,4259.74,+5.8%,385918,4321.13,3883.52,3030.12,4158.17
Malfunctioning Shield Emitter,132.84,+5.6%,68014,131.83,137.26,10.31,294.97
Melted Capacitor Console,127545.41,+2.8%,23984,129148.36,116245.77,107712.51,126412.41
Scorched Telemetry Processor,104.13,+8.5%,26773,112.95,50.16,25.00,240.26
Smashed Trigger Unit,93.00,-39.7%,148667,101.01,57.10,10.05,180.15
Tangled Power Conduit,229.39,-32.4%,30964,242.83,63.74,33.35,231.85
Thruster Console,81.93,-2.3%,75883,80.00,106.12,10.31,173.00
Tripped Power Circuit,72550.79,-2.1%,339512,73014.99,70977.94,58610.50,72738.75
Ward Console,24660.04,+5.7%,25854,25397.10,22690.99,24190.98,24890.46
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,9810.56,+63.1%,412,6419.28,9810.56,3065.55,4258.76
Capacitor Console,20329121.49,-6.0%,62,21201763.93,20014021.90,15842353.37,23290456.72
Conductive Thermoplastic,20593.66,+122.9%,0,32177.96,92777.85,6281.09,20593.66
Current Pump,46767.81,-55.8%,0,21025.65,9598.63,3223.68,46767.81
Drone Transceiver,3695.81,+0.4%,279,3695.81,3574.63,2001.18,2880.42
Enhanced Ward Console,14955747.22,-3.6%,0,15765046.91,12865546.48,11931627.65,14955747.22
Impetus Console,20127.31,-45.3%,0,10965.89,368.05,5012.28,20127.31
Intact Armor Plates,22580469.90,-2.5%,91,22580469.90,21393666.38,17797830.84,26885884.18
Intact Shield Emitter,777824.46,-21.4%,0,611015.46,441780.77,307500.75,777824.46
Interface Circuit,114291.94,-44.2%,0,93639.20,65071.26,37333.78,114291.94
Logic Circuit,181078.00,+1.4%,1192,186636.20,120382.41,265474.05,186445.06
Lorentz Fluid,3423.63,-11.6%,0,3025.03,8972.87,3981.35,3423.63
Micro Circuit,5829.74,+8.0%,0,4609.58,1743.66,9200.16,5829.74
Nanite Compound,33400.82,-94.0%,129,35751.31,43856.96,24368.43,43045.79
Power Circuit,1564033.99,-10.8%,0,1200594.59,1038256.53,1635599.65,1564033.99
Power Conduit,44611.24,-95.5%,0,2473.59,49929.19,19932.84,44611.24
Single-crystal Superalloy I-beam,5702857.80,+1.7%,124,5972167.49,5628822.91,3404301.21,5863166.77
Telemetry Processor,69813.39,+43.2%,0,99695.34,117136.85,8546.61,69813.39
Trigger Unit,52099.19,-84.5%,418,54533.53,5979.11,5525.01,39571.56
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,350.99,-4.6%,16098352,335.96,407.63,420.21,315.99
Hydrogen Isotopes,310.00,-4.8%,87014647,310.43,308.50,311.38,329.14
Nitrogen Isotopes,316.21,-2.1%,14634430,313.69,342.34,370.64,291.12
Oxygen Isotopes,385.36,-3.5%,10841721,365.49,386.02,432.81,330.70
Heavy Water,20.02,+1.4%,15890912,21.34,16.38,21.00,21.72
Liquid Ozone,222.27,-0.6%,12498853,217.78,231.78,259.56,228.43
Strontium Clathrates,224.19,-31.8%,538862,354.32,224.19,1193.93,316.98
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,15117.93,-7.4%,738941,15117.93,20982.03,14362.56,16629.72
Enriched Uranium,8513.27,+6.6%,844443,8529.06,8434.73,11533.63,9150.96
Mechanical Parts,8087.50,+71.3%,1197821,8068.27,7896.84,5182.88,7622.18
Oxygen,223.48,-3.7%,5484036,221.13,223.68,195.57,296.27
Robotics,28634.95,+10.6%,412339,28610.50,23672.42,26807.26,29275.43
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,234048.79,-40.2%,1072,188136.25,240873.11,90187.02,148037.62
Datacore - Caldari Starship Engineering,97190.40,+88.2%,0,199782.74,161988.27,173844.25,97190.40
Datacore - Electromagnetic Physics,50971.61,+19.7%,0,71483.78,63889.49,191699.04,50971.61
Datacore - Electronic Engineering,264472.28,+0.2%,6395,256819.49,264308.24,211278.46,226297.68
Datacore - Gallentean Starship Engineering,120561.33,+14.2%,0,148874.15,131463.82,199974.44,120561.33
Datacore - Graviton Physics,85852.58,+11.8%,0,99910.57,120820.23,188048.08,85852.58
Datacore - High Energy Physics,120026.51,-18.4%,635,142238.00,120026.51,189008.62,126226.38
Datacore - Hydromagnetic Physics,228013.39,+7.4%,932,228013.39,249780.39,286414.33,208198.45
Datacore - Laser Physics,99328.80,+47.1%,0,145901.16,174442.77,211111.11,99328.80
Datacore - Mechanical Engineering,333875.56,+3.0%,21483,336067.01,317969.90,353933.33,342424.87
Datacore - Minmatar Starship Engineering,372922.44,+0.5%,4918,372922.44,298053.62,324948.59,382060.58
Datacore - Molecular Engineering,180290.83,+29.4%,0,210099.16,208728.58,215135.12,180290.83
Datacore - Nanite Engineering,182730.86,-12.4%,1100,197789.59,182730.86,175516.17,144746.61
Datacore - Nuclear Physics,243611.28,-9.7%,4683,290089.08,226290.03,329637.64,302567.12
Datacore - Plasma Physics,138829.05,+65.9%,0,131438.13,203412.04,617241.38,138829.05
