Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.54,-0.3%,17851585772,2.58,2.50,0.00,2.67
Pyerite,6.21,-1.7%,3734628560,6.30,6.06,0.00,6.35
Mexallon,27.08,-0.2%,1208082552,27.30,26.70,0.00,28.77
Isogen,49.92,+1.3%,298684714,51.20,47.82,0.00,52.61
Nocxium,105.89,+3.8%,51060734,114.77,96.51,0.00,108.11
Zydrine,1369.80,+2.1%,10193253,1412.34,1303.70,0.00,1350.23
Megacyte,2654.49,-0.9%,7429051,2665.82,2630.96,0.00,2787.84
Morphite,5821.05,-3.9%,660182,5770.10,6197.52,0.00,5755.89
,,,,,,,
Fuel,,,,,,,
Coolant,1134.81,+11.3%,8996976,1130.50,0.00,1917.89,1243.71
Enriched Uranium,5760.37,+1.1%,876202,5760.37,0.00,0.00,5300.99
Heavy Water,24.02,+21.6%,34938914,26.76,16.94,0.00,22.89
Helium Isotopes,393.60,+1.8%,6959704,357.12,466.24,384.75,330.22
Hydrogen Isotopes,324.96,+2.3%,55898920,336.68,317.29,0.00,354.27
Nitrogen Isotopes,371.18,-6.1%,15297975,349.00,435.45,0.00,318.80
Oxygen Isotopes,379.98,+3.0%,10117534,378.14,386.30,0.00,360.55
Liquid Ozone,337.73,+9.2%,16937444,341.17,330.03,0.00,298.59
Mechanical Parts,634.37,-0.3%,2313219,634.37,0.00,0.00,650.09
Oxygen,108.13,+1.2%,25478211,109.25,107.74,0.00,117.66
Robotics,6994.43,-0.7%,339428,6993.38,0.00,7200.00,6926.90
Strontium Clathrates,738.48,-2.1%,1357268,738.31,739.06,0.00,719.78
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,133804.87,-1.9%,82146,133012.66,137006.58,0.00,142334.88
Armor Plates,226284.44,-0.2%,55227,229760.36,209145.60,0.00,232069.79
Broken Drone Transceiver,91.01,-2.2%,25347,91.01,0.00,0.00,127.36
Burned Logic Circuit,31159.04,-0.1%,259240,31314.06,30551.81,0.00,30541.73
Charred Micro Circuit,111.68,+9.3%,185005,137.13,35.21,0.00,151.43
Conductive Polymer,97.87,+2.2%,31469,97.87,0.00,0.00,129.54
Contaminated Lorentz Fluid,136.38,-5.0%,16569,136.38,0.00,0.00,196.34
Contaminated Nanite Compound,3000.47,-5.3%,41333,3000.47,0.00,0.00,2976.66
Damaged Artificial Neural Network,291.27,+5.8%,18392,300.01,259.24,0.00,372.59
Defective Current Pump,186.00,-1.8%,12200,191.29,155.02,0.00,218.75
Fried Interface Circuit,4842.09,+1.2%,212215,5060.09,3999.61,0.00,4898.29
Malfunctioning Shield Emitter,228.57,+3.3%,36947,265.03,104.01,0.00,289.23
Melted Capacitor Console,84848.59,-4.1%,12857,86509.41,76297.48,0.00,77276.96
Scorched Telemetry Processor,139.13,-2.3%,10764,139.13,0.00,0.00,166.03
Smashed Trigger Unit,78.96,-19.6%,89910,96.15,16.50,0.00,149.83
Tangled Power Conduit,892.89,+55.3%,17584,202.45,2748.71,0.00,298.37
Thruster Console,52.01,+22.0%,26079,52.01,0.00,0.00,188.59
Tripped Power Circuit,45101.47,-1.6%,211680,45772.84,41860.49,0.00,44808.30
Ward Console,23129.47,-2.0%,10915,23129.47,0.00,0.00,19646.13
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,190477.91,-0.9%,611,190477.91,0.00,0.00,169168.89
Datacore - Caldari Starship Engineering,191500.00,+7.7%,491,191500.00,0.00,0.00,148631.60
Datacore - Electromagnetic Physics,115812.49,+0.6%,325,115812.49,0.00,0.00,90745.08
Datacore - Electronic Engineering,313596.18,+0.3%,3212,313596.18,0.00,0.00,283182.51
Datacore - Gallentean Starship Engineering,193724.95,-9.1%,986,193724.95,0.00,0.00,197665.85
Datacore - Graviton Physics,128299.00,+5.6%,213,128299.00,0.00,0.00,113690.55
Datacore - High Energy Physics,197829.63,-0.6%,1097,197829.63,0.00,0.00,199788.66
Datacore - Hydromagnetic Physics,502980.38,-8.3%,340,502980.38,0.00,0.00,397444.74
Datacore - Laser Physics,165030.23,-1.1%,421,165030.23,0.00,0.00,150016.36
Datacore - Mechanical Engineering,385016.12,-3.7%,14874,394768.18,363014.22,0.00,399116.24
Datacore - Minmatar Starship Engineering,435560.20,-1.8%,4198,435560.20,0.00,0.00,457605.73
Datacore - Molecular Engineering,334642.61,-10.6%,470,334642.61,0.00,0.00,302943.29
Datacore - Nanite Engineering,198250.07,+25.4%,718,198250.07,0.00,0.00,193421.05
Datacore - Nuclear Physics,296951.37,-1.8%,2651,335870.73,276744.53,0.00,328653.23
Datacore - Plasma Physics,199999.00,+37.8%,80,199999.00,0.00,0.00,173912.42
Datacore - Quantum Physics,401833.36,-0.9%,934,401833.36,0.00,0.00,380060.58
Datacore - Rocket Science,265280.09,-0.7%,1251,288422.49,247703.58,0.00,208521.03
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,9586815.88,+11.1%,91,8907852.22,11379279.95,0.00,12264863.56
