Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.73,-0.3%,25374762476,2.76,2.66,2.72,2.92
Pyerite,6.96,-0.7%,6236483605,7.03,6.80,6.64,7.38
Mexallon,29.35,+0.0%,1765593107,29.74,28.58,27.58,30.74
Isogen,53.87,-0.2%,266400796,54.17,53.99,51.12,54.12
Nocxium,86.76,+4.1%,118939963,87.78,83.90,87.44,84.99
Zydrine,1335.56,+8.3%,24752436,1345.54,1299.17,1363.10,1342.97
Megacyte,2359.70,+1.9%,11787276,2351.06,2367.89,2481.06,2446.35
Morphite,5968.44,+9.7%,1561149,6034.69,5694.28,6187.18,5578.88
,,,,,,,
Fuel,,,,,,,
Coolant,1178.33,-0.6%,3190767,1129.55,1375.21,2097.61,1247.94
Enriched Uranium,5333.74,-0.3%,1542015,5370.21,5269.49,5365.81,5300.33
Heavy Water,19.47,-17.5%,28939879,19.93,18.50,25.81,20.65
Helium Isotopes,411.31,-8.3%,13778848,411.75,427.89,361.02,370.07
Hydrogen Isotopes,399.27,-4.9%,132566163,411.19,393.54,387.13,429.76
Nitrogen Isotopes,475.08,+0.6%,16351018,467.67,471.63,553.53,412.17
Oxygen Isotopes,442.63,+1.4%,22586116,435.72,449.37,521.11,403.74
Liquid Ozone,333.77,-9.0%,18989530,347.29,299.68,394.29,289.42
Mechanical Parts,624.92,-0.1%,4058927,640.29,617.18,592.21,640.37
Oxygen,108.96,-4.7%,15275993,112.21,101.57,138.53,114.02
Robotics,6916.93,-0.7%,670986,6959.99,6845.47,6936.16,6969.79
Strontium Clathrates,1001.24,-12.5%,1655569,1075.88,859.52,1285.43,854.64
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,132755.99,+0.9%,123238,132911.38,130440.59,136275.67,142869.65
Armor Plates,199915.59,+0.8%,91219,202568.81,193357.02,187513.39,211487.99
Broken Drone Transceiver,97.20,-0.3%,64939,96.10,98.31,102.57,142.01
Burned Logic Circuit,29330.03,+1.8%,363686,29347.29,28571.02,30790.01,31228.03
Charred Micro Circuit,136.30,-10.1%,425630,139.81,106.97,147.18,350.11
Conductive Polymer,131.05,+0.5%,35126,135.00,122.54,100.00,188.01
Contaminated Lorentz Fluid,163.23,+2.4%,54303,180.16,82.06,100.00,202.02
Contaminated Nanite Compound,2648.72,+0.3%,99265,2729.20,1904.23,3000.00,2911.19
Damaged Artificial Neural Network,286.72,-4.0%,44764,265.97,258.46,565.14,311.24
Defective Current Pump,183.59,-3.0%,25804,191.19,153.37,110.87,231.74
Fried Interface Circuit,3953.99,+1.2%,405939,4055.24,3130.66,4315.91,4472.08
Malfunctioning Shield Emitter,214.29,+2.5%,67818,204.64,302.20,100.00,187.40
Melted Capacitor Console,84812.56,+0.2%,47598,84911.29,85176.67,80000.36,80084.45
Scorched Telemetry Processor,186.03,+4.0%,57678,193.86,142.44,120.83,179.94
Smashed Trigger Unit,115.85,-5.1%,175998,115.19,130.11,85.53,150.00
Tangled Power Conduit,461.97,-51.1%,33606,480.10,310.18,369.49,5816.49
Thruster Console,140.65,-2.6%,85284,142.13,160.10,100.00,166.98
Tripped Power Circuit,39636.32,-0.2%,366874,40050.80,37440.25,39955.32,40536.07
Ward Console,22326.68,-8.0%,41902,22046.14,23125.59,23710.69,19573.11
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,141788.79,+33.0%,1157,122968.05,193211.94,0.00,137851.59
Datacore - Caldari Starship Engineering,152664.88,-6.2%,2042,172966.19,143896.89,70000.00,171712.86
Datacore - Electromagnetic Physics,78773.37,-1.8%,1711,72749.54,81281.64,0.00,87434.51
Datacore - Electronic Engineering,270434.44,-8.2%,5000,283145.13,256446.04,230000.00,256491.36
Datacore - Gallentean Starship Engineering,232958.65,+16.4%,2985,218474.86,305922.83,250000.00,228966.50
Datacore - Graviton Physics,94490.78,+178.8%,743,100668.97,87882.34,0.00,79899.23
Datacore - High Energy Physics,153332.55,+17.1%,5448,163177.25,147966.27,0.00,189625.65
