Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.73,-0.6%,30313708225,2.79,2.65,0.00,2.95
Pyerite,6.92,+0.0%,8079046313,7.07,6.53,0.00,7.47
Mexallon,28.69,+0.2%,2180821815,29.13,27.50,0.00,30.07
Isogen,53.83,-3.0%,353290077,54.74,50.90,0.00,56.09
Nocxium,86.15,+6.4%,77636019,84.55,89.08,0.00,81.79
Zydrine,1161.50,+0.9%,29320960,1163.49,1158.65,0.00,1137.36
Megacyte,2042.65,-4.0%,13127226,2018.65,2094.30,2220.85,2083.51
Morphite,4862.32,+14.7%,1053161,5802.82,3399.60,0.00,5849.45
,,,,,,,
Fuel,,,,,,,
Coolant,1131.38,-0.3%,3443444,1097.26,1338.47,0.00,1196.06
Enriched Uranium,5249.80,+0.8%,1848137,5317.50,5206.20,4873.05,5300.69
Heavy Water,20.52,-14.2%,36537759,21.38,17.95,0.00,22.43
Helium Isotopes,421.40,+3.8%,13964539,398.17,503.95,0.00,383.21
Hydrogen Isotopes,442.89,+3.2%,119763822,451.42,426.48,480.65,471.20
Nitrogen Isotopes,452.15,+6.3%,20278771,436.79,512.49,0.00,411.59
Oxygen Isotopes,493.47,+2.1%,27046536,492.14,501.37,0.00,490.91
Liquid Ozone,350.72,-0.7%,21737654,343.71,345.11,437.80,324.33
Mechanical Parts,638.05,-5.1%,4224449,628.65,644.51,0.00,642.69
Oxygen,110.50,-10.1%,15678538,109.25,112.69,0.00,117.25
Robotics,6889.80,-0.1%,576895,6973.07,6782.75,6981.65,6931.40
Strontium Clathrates,1114.34,-33.5%,1709927,1228.65,785.42,0.00,850.50
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,138619.74,+0.8%,156088,139082.17,136398.82,0.00,145663.45
Armor Plates,208685.50,-1.6%,126308,208782.72,208044.99,0.00,211206.00
Broken Drone Transceiver,179.09,-39.4%,77853,210.27,96.43,0.00,191.28
Burned Logic Circuit,32494.10,-0.0%,457776,32599.68,32020.77,0.00,33904.09
Charred Micro Circuit,170.22,-6.0%,525551,177.29,144.02,0.00,403.07
Conductive Polymer,164.06,-16.8%,37665,168.82,139.40,0.00,205.75
Contaminated Lorentz Fluid,133.27,-4.9%,56667,150.07,63.72,0.00,235.01
Contaminated Nanite Compound,2342.47,+3.9%,113077,2206.61,2938.25,0.00,3098.25
Damaged Artificial Neural Network,392.83,+3.2%,44425,409.37,326.39,0.00,354.64
Defective Current Pump,140.15,-2.3%,30908,153.61,72.77,0.00,348.17
Fried Interface Circuit,4622.51,-1.7%,472716,4612.20,4649.21,0.00,4197.93
Malfunctioning Shield Emitter,437.60,-8.1%,91642,385.10,602.88,0.00,430.13
Melted Capacitor Console,101526.53,-4.3%,57708,101926.24,97902.16,0.00,99383.50
Scorched Telemetry Processor,274.83,-21.4%,41454,289.17,202.51,0.00,317.98
Smashed Trigger Unit,151.74,-3.5%,238187,160.06,113.02,0.00,226.65
Tangled Power Conduit,545.87,-16.9%,47106,558.13,450.05,0.00,402.07
Thruster Console,182.41,-3.0%,98792,192.04,142.16,0.00,263.54
Tripped Power Circuit,39072.16,-2.7%,426213,39524.50,36636.02,0.00,39651.55
Ward Console,22142.06,-4.9%,45913,22581.32,18207.69,0.00,18803.39
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,183036.21,+3.8%,1690,180000.00,200000.00,0.00,122678.48
Datacore - Caldari Starship Engineering,182074.84,+8.5%,2073,185552.33,136661.14,0.00,135196.42
Datacore - Electromagnetic Physics,89088.80,+76.1%,2285,93004.14,86310.53,0.00,93202.89
Datacore - Electronic Engineering,219215.15,+1.0%,9000,215084.81,230104.92,0.00,198229.70
Datacore - Gallentean Starship Engineering,131994.57,-35.4%,2873,186790.58,107295.95,0.00,184200.57
Datacore - Graviton Physics,112822.63,+88.5%,3964,104095.19,174999.51,0.00,90460.67
Datacore - High Energy Physics,193329.90,+8.7%,4142,182993.92,201635.60,0.00,201866.86
Datacore - Hydromagnetic Physics,707713.14,-17.1%,1538,732417.32,687119.74,0.00,636966.27
Datacore - Laser Physics,235103.05,+10.8%,1602,230443.27,235986.34,300000.00,127541.33
Datacore - Mechanical Engineering,303594.16,-3.5%,40311,316597.78,296990.84,0.00,328410.88
Datacore - Minmatar Starship Engineering,320495.02,+1.6%,12939,312977.78,329986.19,0.00,352392.83
Datacore - Molecular Engineering,360167.31,-7.2%,2867,338696.77,385169.88,0.00,368125.35
Datacore - Nanite Engineering,240301.85,-8.9%,2980,242174.86,238321.89,0.00,199260.26
Datacore - Nuclear Physics,343256.82,+0.8%,2656,354107.63,323345.83,0.00,350783.45
Datacore - Plasma Physics,225411.27,+35.9%,727,219804.25,269332.93,0.00,159973.44
Datacore - Quantum Physics,354860.37,+4.4%,2198,355279.33,353520.26,0.00,347097.07
Datacore - Rocket Science,304743.57,+25.0%,2873,318680.42,253003.66,0.00,282972.31
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,8446172.77,-1.7%,164,8406486.81,8627347.79,0.00,10225286.55
Assembly Instructions,22502142.78,+15.2%,38,22502142.78,0.00,0.00,23377113.37
Calibration Data,4653688.92,-8.0%,355,4724849.38,4500132.13,0.00,5743288.04
Circuitry Schematics,5250259.55,-9.2%,145,5239143.51,5306951.38,0.00,6704726.53
Circular Logic,1000008.77,+153.8%,73,1000008.77,0.00,0.00,1395357.02
Classic Doctrine,6631935.68,+5.5%,52,6655340.71,6000000.00,0.00,8234381.71
Collision Measurements,5898687.72,+2.6%,100,6425001.14,5723249.92,0.00,5476168.90
Engagement Plan,7395192.61,+4.9%,43,7498398.40,7298437.19,0.00,7613340.89
Formation Layout,4829079.00,-11.5%,117,4716100.39,5833333.33,0.00,5969015.76
Installation Guide,39000000.00,+35.7%,17,39000000.00,0.00,0.00,26071061.83
Interface Alignment Chart,4289342.57,+23.1%,82,4289342.57,0.00,0.00,0.00
Operation Handbook,6921509.99,-0.4%,618,6993215.50,6778878.40,0.00,8841852.20
Prototype Diagram,9546153.77,-0.0%,33,9750000.00,8866666.33,0.00,6172023.57
Sacred Manifesto,2800874.98,+15.7%,154,2807478.01,2200000.00,0.00,3928571.36
Stolen Formulas,49000000.00,-28.4%,21,36999999.99,61000000.00,0.00,31766054.86
Symbiotic Figures,6452058.47,-14.4%,65,6142386.83,8000416.67,0.00,2851474.53
Test Reports,9400000.00,+17.0%,26,9000000.00,11000000.00,0.00,11464026.66
Tuning Instructions,7950499.89,+4.5%,29,8071999.87,7100000.00,0.00,9372413.27
User Manual,3060000.02,-9.9%,51,1100000.05,4366666.67,0.00,3464730.69
War Strategon,15000000.07,+112.2%,23,15000000.07,0.00,0.00,19949710.86
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,109.49,+21.1%,30488305,107.64,114.20,0.00,106.35
Fermionic Condensates,25596.38,+1.1%,18810,24746.48,29893.83,0.00,19186.27
Fernite Carbide,113.56,-1.2%,37921635,116.32,110.19,0.00,113.13
Ferrogel,13844.36,-0.8%,254274,13899.97,13747.73,0.00,13625.20
Fullerides,1001.50,-2.5%,6219921,984.75,1029.30,515.12,888.36
Hypersynaptic Fibers,4928.76,-11.1%,273235,5496.71,4247.83,0.00,4085.97
Nanotransistors,3194.94,+3.6%,1628249,3141.22,3431.83,0.00,2807.32
Phenolic Composites,772.50,-10.9%,922978,856.37,741.31,500.00,676.77
Sylramic Fibers,195.03,+2.3%,18492531,193.43,209.54,0.00,194.78
Titanium Carbide,125.44,+11.4%,10126309,122.53,133.74,0.00,120.19
Tungsten Carbide,115.52,-10.1%,7210914,114.55,172.80,0.00,100.70
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,468.37,+636.9%,745,500.14,351.02,0.00,657.38
Central System Controller,3788.70,-3.7%,203,4056.51,3001.02,0.00,12454.56
Defensive Control Node,7846.92,-9.1%,137,8651.63,5701.01,0.00,18154.59
Electromechanical Hull Sheeting,661.71,-5.0%,41109,735.26,465.90,0.00,1071.98
Emergent Combat Analyzer,692.08,+215.2%,840,785.79,361.60,0.00,2126.15
Emergent Combat Intelligence,2432.49,-4.3%,173,2663.93,1601.02,0.00,19278.89
Fused Nanomechanical Engines,1636.50,+110.9%,1655,1715.72,510.43,0.00,786.60
Heuristic Selfassemblers,1126.47,+72.4%,723,1430.59,382.68,0.00,2583.42
Jump Drive Control Nexus,5225.23,+32.3%,153,6186.72,2501.02,0.00,16906.60
Melted Nanoribbons,4865003.71,-3.8%,2697,4934919.03,4652401.72,0.00,5168124.62
Modified Fluid Router,21928.26,+4.9%,28603,22424.88,20067.61,0.00,24586.43
