Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.26,-0.4%,31206294877,2.29,2.18,2.17,2.44
Pyerite,4.23,-0.2%,8175091840,4.27,4.14,4.07,4.43
Mexallon,32.19,+2.7%,2465861023,32.41,31.66,29.36,35.13
Isogen,56.05,-1.9%,273624200,56.96,54.14,48.73,59.52
Nocxium,137.55,-2.0%,87688876,137.59,138.26,154.15,131.42
Zydrine,1075.64,+3.5%,19617447,1089.61,1036.96,1124.80,1059.27
Megacyte,2300.96,+2.1%,8319701,2342.77,2135.30,2386.16,2339.97
Morphite,3907.80,+4.9%,566506,3857.64,3959.28,3400.50,3891.50
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,114167.04,-7.6%,115183,115438.53,107473.76,115640.80,122806.67
Armor Plates,238371.14,-0.9%,81266,239266.05,231228.89,212170.79,242282.02
Broken Drone Transceiver,107.31,-10.0%,77178,119.86,73.30,11.79,189.47
Burned Logic Circuit,30011.34,-3.4%,380145,30402.62,28402.68,25804.48,30993.09
Charred Micro Circuit,177.94,+12.4%,348632,163.24,212.57,34.82,315.84
Conductive Polymer,194.14,-22.7%,49799,167.87,362.99,105.00,217.93
Contaminated Lorentz Fluid,202.22,+6.3%,63799,215.50,120.74,15.23,197.77
Contaminated Nanite Compound,2513.26,-10.0%,97614,2641.92,2258.30,1290.35,2598.12
Damaged Artificial Neural Network,235.92,-57.5%,35430,251.28,201.85,28.45,297.55
Defective Current Pump,157.01,+1.1%,27404,158.70,159.49,10.04,214.37
Fried Interface Circuit,4188.41,-7.1%,369452,4247.87,4031.70,3030.12,4255.54
Malfunctioning Shield Emitter,116.84,+19.9%,58498,118.78,113.12,10.17,307.56
Melted Capacitor Console,110124.00,+3.6%,28442,110933.03,106863.75,107712.51,120851.74
Scorched Telemetry Processor,162.55,-36.4%,40050,183.01,32.46,25.00,190.24
