Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.28,-1.6%,31573733972,2.33,2.19,2.10,2.45
Pyerite,4.20,-4.3%,6470503428,4.22,4.16,4.07,4.37
Mexallon,33.61,-2.8%,2421017410,34.13,32.37,29.36,36.24
Isogen,56.96,+0.7%,248430814,57.99,54.58,48.73,60.83
Nocxium,133.39,-2.8%,83416445,133.69,132.76,154.15,130.32
Zydrine,1119.98,+3.5%,19666756,1135.54,1073.23,1124.80,1061.95
Megacyte,2410.94,-2.9%,10863608,2423.31,2316.68,2386.16,2401.20
Morphite,4047.11,+3.1%,437919,4023.36,3959.28,3400.50,4136.69
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,114106.83,-0.1%,130502,114833.47,110668.19,115688.74,110988.23
Armor Plates,243156.22,+0.9%,102506,244351.44,237212.57,212170.79,246057.76
Broken Drone Transceiver,102.47,-2.4%,50659,108.81,96.73,11.79,189.42
Burned Logic Circuit,29555.18,+0.9%,384684,29706.89,28914.78,25804.48,30279.30
Charred Micro Circuit,196.14,-20.7%,430050,176.23,251.34,34.82,296.26
Conductive Polymer,157.62,-9.1%,55443,163.02,97.30,105.00,200.49
Contaminated Lorentz Fluid,198.01,+3.4%,59440,215.22,102.11,15.23,178.64
Contaminated Nanite Compound,2418.09,-0.2%,97703,2487.37,2102.08,1290.35,2494.91
Damaged Artificial Neural Network,239.71,+0.4%,34306,266.72,156.19,28.45,248.83
Defective Current Pump,261.75,-42.1%,98920,271.11,239.24,10.04,221.42
Fried Interface Circuit,4190.00,+0.1%,400777,4264.92,3883.52,3030.12,4221.04
Malfunctioning Shield Emitter,130.33,+7.6%,71161,131.26,133.73,10.31,302.76
Melted Capacitor Console,119848.55,+0.1%,14588,117509.15,116245.77,107712.51,125597.75
Scorched Telemetry Processor,100.74,-50.2%,27462,182.13,50.13,25.00,240.19
Smashed Trigger Unit,94.78,-34.6%,168472,96.81,74.37,10.05,224.28
Tangled Power Conduit,252.83,-30.5%,30824,280.57,63.74,33.35,283.19
Thruster Console,84.67,+18.2%,71149,82.00,106.08,10.31,187.75
Tripped Power Circuit,72140.69,+0.8%,410273,72880.64,70194.52,58610.50,72925.20
Ward Console,24578.63,-4.1%,25893,25241.97,22690.99,24190.98,25055.64
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,4517.39,+121.4%,0,6419.28,6000.15,3065.55,4517.39
Capacitor Console,23075190.80,+1.3%,0,21201763.93,18693771.57,15842353.37,23075190.80
Conductive Thermoplastic,24313.52,+88.8%,0,32177.96,92777.85,6281.09,24313.52
Current Pump,36834.04,-43.8%,0,21025.65,9598.63,3223.68,36834.04
Drone Transceiver,3695.81,+0.4%,279,3695.81,3574.63,2001.18,2322.85
Enhanced Ward Console,15097705.49,-4.5%,0,15765046.91,12865546.48,11931627.65,15097705.49
Impetus Console,9625.05,+14.3%,159,10965.89,368.05,5012.28,29520.20
Intact Armor Plates,22580469.90,-2.5%,91,22580469.90,21393666.38,17797830.84,26562852.95
Intact Shield Emitter,740899.52,-17.5%,0,611015.46,441780.77,307500.75,740899.52
Interface Circuit,63854.98,-0.2%,0,93639.20,65071.26,37333.78,63854.98
Logic Circuit,181078.00,+1.4%,1192,186636.20,120382.41,265474.05,186988.04
Lorentz Fluid,2884.53,+4.9%,0,3025.03,8972.87,3981.35,2884.53
Micro Circuit,6043.56,+4.2%,0,4609.58,1743.66,9200.16,6043.56
Nanite Compound,33400.82,-94.0%,129,35751.31,43856.96,24368.43,50495.07
Power Circuit,1544152.64,-9.7%,0,1200594.59,1038256.53,1635599.65,1544152.64
Power Conduit,41987.93,-95.2%,0,2473.59,49929.19,19932.84,41987.93
Single-crystal Superalloy I-beam,5822665.90,-3.3%,0,5972167.49,5716704.91,3404301.21,5822665.90
Telemetry Processor,71067.73,+40.7%,0,99695.34,117136.85,8546.61,71067.73
Trigger Unit,52099.19,-84.5%,418,54533.53,5979.11,5525.01,32327.99
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,362.62,+9.8%,8519770,354.25,394.49,420.21,316.15
Hydrogen Isotopes,314.02,-1.5%,119635630,317.19,310.70,311.38,332.22
Nitrogen Isotopes,334.07,+10.1%,8042087,330.96,342.34,370.64,294.71
Oxygen Isotopes,374.22,+6.9%,12262032,365.49,368.17,432.81,337.59
Heavy Water,16.57,-3.4%,8671389,20.26,16.38,21.00,21.45
Liquid Ozone,216.88,+10.2%,13544583,215.69,214.78,259.56,226.41
Strontium Clathrates,224.19,-31.8%,538862,354.32,224.19,1193.93,317.74
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,17107.16,-12.3%,776621,16525.33,20982.03,14362.56,18299.71
Enriched Uranium,8489.45,-3.7%,751853,8425.33,8748.83,11533.63,9060.98
Mechanical Parts,7746.09,+28.4%,1313704,8068.27,7364.69,5182.88,7468.50
