Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.52,-1.4%,28479696485,2.55,2.48,2.47,2.67
Pyerite,5.23,+1.2%,7903499595,5.31,5.14,4.80,5.71
Mexallon,23.57,+0.1%,1824914897,23.90,23.57,22.01,25.59
Isogen,48.59,-10.6%,257713877,49.33,47.09,48.65,48.83
Nocxium,133.73,+4.6%,80075180,132.63,134.58,138.08,126.73
Zydrine,1261.37,-0.6%,23985545,1251.87,1280.51,1377.28,1215.02
Megacyte,2669.95,-0.4%,13319457,2651.36,2695.78,2928.61,2688.36
Morphite,5211.98,+5.4%,712156,5274.22,5276.02,5677.32,5113.36
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,123407.61,+1.8%,139983,124231.44,120219.38,121549.72,126686.62
Armor Plates,230156.15,+1.7%,105220,231545.72,225828.22,221826.64,230996.87
Broken Drone Transceiver,145.18,+21.5%,238380,67.75,172.65,100.00,174.36
Burned Logic Circuit,30949.81,+1.0%,435084,31454.98,29139.61,29238.11,32014.80
Charred Micro Circuit,124.60,-11.0%,593975,104.81,154.33,100.00,254.68
Conductive Polymer,67.70,+47.7%,24534,196.47,112.67,100.00,155.03
Contaminated Lorentz Fluid,140.59,-28.9%,35536,151.00,132.98,100.00,200.58
Contaminated Nanite Compound,2677.61,-25.3%,104964,2734.61,2522.24,1865.65,3025.40
Damaged Artificial Neural Network,324.78,+53.9%,38558,335.85,252.48,500.00,379.60
Defective Current Pump,211.99,-52.8%,37729,201.95,249.65,100.00,223.42
Fried Interface Circuit,4705.37,+0.1%,424672,4748.11,4699.42,4234.88,4969.78
Malfunctioning Shield Emitter,286.27,+4.8%,80418,311.48,103.13,301.31,368.60
Melted Capacitor Console,87498.66,+14.3%,49926,86124.40,97664.72,88303.61,80426.92
Scorched Telemetry Processor,135.10,-26.0%,31563,146.76,108.74,100.00,167.16
Smashed Trigger Unit,86.14,+16.2%,219759,83.08,71.93,100.01,168.69
Tangled Power Conduit,395.79,-69.7%,34667,309.67,551.58,417.06,281.45
Thruster Console,97.04,+3.1%,82019,100.06,89.91,100.00,278.18
Tripped Power Circuit,47250.40,-4.8%,372288,47895.25,44683.89,44866.41,47279.12
Ward Console,22437.58,+2.5%,32505,22119.81,21568.49,24075.94,19910.03
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,5284.22,-62.1%,120,6794.87,1179.56,2041.07,8703.65
Capacitor Console,19066691.75,+1.1%,110,19962015.33,14646246.26,9071433.65,17145620.03
Conductive Thermoplastic,10382.47,-42.2%,50,12002.95,16900.20,3001.08,14500.92
Current Pump,13956.45,-28.3%,65,15683.67,17762.93,3858.27,43484.64
Drone Transceiver,2739.91,+15.3%,106,3629.10,2394.29,2149.22,5255.46
