Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.72,-0.2%,23634617929,2.75,2.67,2.73,2.92
Pyerite,6.98,-0.3%,5982631944,7.07,6.86,6.60,7.40
Mexallon,29.17,+0.8%,1549090193,29.67,28.54,27.25,30.82
Isogen,53.70,-0.0%,324797707,53.90,54.02,50.80,54.20
Nocxium,85.64,-1.8%,135229490,86.20,84.72,81.57,84.21
Zydrine,1283.39,+4.3%,29816507,1287.29,1272.74,1303.93,1310.99
Megacyte,2326.65,+1.8%,14656086,2318.77,2349.82,2359.53,2407.99
Morphite,5362.02,+14.6%,1201502,5186.11,5676.81,6154.90,5512.93
,,,,,,,
Fuel,,,,,,,
Coolant,1188.62,-0.5%,2800616,1136.52,1357.97,2097.65,1290.67
Enriched Uranium,5343.25,+1.1%,1627852,5293.06,5294.61,6036.84,5300.39
Heavy Water,20.38,+23.8%,23399588,20.05,20.04,25.08,20.44
Helium Isotopes,411.01,-3.2%,12590704,404.87,429.95,429.86,370.15
Hydrogen Isotopes,400.07,+2.2%,115030301,406.85,395.95,393.02,432.05
Nitrogen Isotopes,473.01,+0.1%,13931845,460.10,467.69,584.39,412.29
Oxygen Isotopes,450.31,-1.9%,15181287,438.98,452.57,525.25,403.83
Liquid Ozone,335.82,+6.4%,19911120,335.55,316.15,403.54,282.42
Mechanical Parts,622.89,+9.4%,3185864,651.18,608.63,590.65,639.71
Oxygen,108.87,+7.1%,14835848,112.36,101.60,128.76,113.46
Robotics,6919.55,-0.1%,674224,6959.99,6857.71,6948.63,6964.41
Strontium Clathrates,990.61,+1.8%,1436218,1050.63,893.38,1168.51,846.16
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,133082.34,+0.8%,141193,133268.30,130427.38,136148.63,142406.24
Armor Plates,199072.19,+1.3%,104755,201226.18,193065.33,187848.70,210761.01
Broken Drone Transceiver,97.14,+0.2%,73350,96.10,98.31,102.33,141.85
Burned Logic Circuit,29557.89,+1.0%,425972,29638.68,28563.03,30704.53,31178.62
Charred Micro Circuit,135.61,-9.1%,480488,138.10,106.19,150.06,295.45
Conductive Polymer,130.43,-0.0%,31468,135.35,122.54,100.00,179.71
Contaminated Lorentz Fluid,159.91,-2.9%,49335,180.21,81.68,100.00,202.26
Contaminated Nanite Compound,2654.11,-0.3%,112066,2725.52,1887.53,3000.00,2845.87
Damaged Artificial Neural Network,293.45,+3.9%,39598,265.16,259.87,557.61,291.90
Defective Current Pump,184.29,-4.3%,31218,191.18,153.36,109.51,229.39
Fried Interface Circuit,3980.59,+2.5%,486556,4064.43,3127.90,4301.50,4531.82
Malfunctioning Shield Emitter,211.17,+1.5%,75845,204.16,302.20,100.00,182.91
Melted Capacitor Console,84386.70,-0.6%,25575,84646.82,85105.15,80000.29,79901.24
Scorched Telemetry Processor,187.24,-28.6%,33647,206.31,125.26,120.71,179.82
Smashed Trigger Unit,115.04,-6.2%,202344,115.52,129.94,76.80,140.59
Tangled Power Conduit,506.47,-53.6%,32116,536.01,310.42,374.86,5027.95
Thruster Console,140.90,-3.5%,96598,142.13,160.10,100.00,167.70
Tripped Power Circuit,39670.38,-0.1%,422423,40043.03,37352.09,39961.48,40219.20
Ward Console,22845.58,-1.3%,29472,22675.80,23197.65,23254.92,19678.63
,,,,,,,
Datacores,,,,,,,
