Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.74,-0.9%,29195258627,2.79,2.72,2.50,2.94
Pyerite,6.99,-1.2%,7715964740,7.08,6.91,6.67,7.44
Mexallon,28.31,+0.7%,2225336145,29.06,27.31,26.55,30.67
Isogen,53.70,+0.5%,324442180,54.44,52.82,52.24,55.47
Nocxium,82.26,-1.9%,98774973,82.68,80.52,85.99,80.69
Zydrine,1167.96,-1.4%,26988904,1152.97,1200.36,1204.91,1122.25
Megacyte,2049.50,+2.0%,9107701,2040.68,2072.57,2054.07,2037.43
Morphite,5110.52,+1.5%,748367,5053.73,5093.86,5598.49,4873.80
,,,,,,,
Fuel,,,,,,,
Coolant,1166.31,-3.1%,3928763,1115.45,1350.00,2099.36,1239.40
Enriched Uranium,5362.79,+0.6%,1862217,5505.25,5276.72,4896.04,5300.01
Heavy Water,18.99,-2.0%,33688151,19.89,16.81,22.29,21.01
Helium Isotopes,396.03,-5.6%,19419238,387.60,453.45,431.49,365.47
Hydrogen Isotopes,429.49,-1.3%,120854407,438.76,424.58,396.77,459.73
Nitrogen Isotopes,485.28,+1.7%,24502104,479.29,489.60,544.96,421.91
Oxygen Isotopes,464.33,-7.4%,22590160,435.64,488.93,533.55,409.80
Liquid Ozone,369.70,-0.2%,30974911,368.45,379.88,345.70,308.84
Mechanical Parts,628.15,-1.7%,3682802,656.58,611.24,576.66,639.82
Oxygen,104.81,-0.5%,14877751,109.25,98.70,115.15,116.52
Robotics,6903.64,-0.0%,685993,6938.10,6856.21,7000.00,6917.14
Strontium Clathrates,912.03,-30.7%,1966691,980.02,742.96,976.00,821.88
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,138489.01,-3.2%,151622,138826.70,138320.41,135764.72,144073.73
Armor Plates,200454.93,+1.4%,128021,203184.70,191068.00,196970.70,204544.67
Broken Drone Transceiver,99.33,-2.1%,85091,96.07,108.94,100.01,142.66
Burned Logic Circuit,30120.51,-5.1%,477045,30439.60,29119.83,30000.00,31680.08
Charred Micro Circuit,147.49,-26.0%,462468,150.82,125.51,160.08,349.88
Conductive Polymer,136.21,-3.8%,46450,138.36,150.02,100.01,115.72
Contaminated Lorentz Fluid,162.07,-2.9%,73321,180.14,75.22,100.01,235.05
Contaminated Nanite Compound,2805.85,+3.4%,137959,3000.72,1862.00,2745.16,3526.62
Damaged Artificial Neural Network,299.75,-6.3%,58489,293.75,285.24,400.00,286.24
Defective Current Pump,204.13,-16.1%,53320,215.00,179.14,101.01,326.00
Fried Interface Circuit,3911.77,-0.7%,453275,3965.22,3604.50,4114.59,3884.36
Malfunctioning Shield Emitter,210.31,-1.9%,81011,200.18,302.20,117.16,466.49
Melted Capacitor Console,88846.41,-5.3%,32844,88110.02,91698.07,90917.56,87270.29
Scorched Telemetry Processor,331.73,-31.5%,96012,305.83,582.55,120.01,152.28
Smashed Trigger Unit,134.11,-7.1%,245701,137.18,135.20,100.01,124.10
Tangled Power Conduit,444.74,+5.8%,100840,274.98,541.26,2666.50,242.22
Thruster Console,140.92,-0.2%,91628,142.13,158.83,100.01,194.52
Tripped Power Circuit,37977.84,+0.6%,459909,38221.68,37020.97,38000.00,38997.09
Ward Console,21403.20,-10.5%,44406,20438.19,25943.90,21450.28,19746.95
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,129816.18,+7.6%,1124,126259.84,180000.00,0.00,0.00
Datacore - Caldari Starship Engineering,179868.13,+2.6%,1695,180498.79,173666.67,0.00,165419.38
Datacore - Electromagnetic Physics,95596.74,+3.9%,1849,83852.04,123999.59,10000.00,89002.37
Datacore - Electronic Engineering,253620.10,+7.8%,8708,264060.01,239176.86,15352.94,230481.18
Datacore - Gallentean Starship Engineering,191987.53,+9.0%,3817,190285.98,198114.78,250000.00,212395.60
Datacore - Graviton Physics,107954.92,+105.8%,1965,98322.18,141552.04,0.00,86917.17
Datacore - High Energy Physics,191772.54,+8.7%,2925,213753.05,157300.00,0.00,184502.06
