Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.52,-5.7%,26024432235,2.58,2.45,2.54,2.72
Pyerite,5.22,+0.6%,6577449096,5.41,5.00,4.97,5.70
Mexallon,25.90,-7.1%,1721615473,26.74,24.97,24.33,26.26
Isogen,49.10,-8.3%,342343038,50.75,47.71,49.78,50.35
Nocxium,111.58,-32.6%,130741517,112.98,110.05,120.57,120.94
Zydrine,1339.86,+4.9%,28158929,1322.50,1378.17,1397.05,1269.64
Megacyte,2844.84,+0.0%,11986659,2814.17,2897.22,2922.92,2925.40
Morphite,5671.80,-4.6%,694735,5621.09,5801.06,5222.20,5553.73
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,121426.38,+2.9%,129626,122986.00,119000.06,123748.99,134864.26
Armor Plates,226483.06,-0.0%,115198,229098.35,213770.80,226380.27,228479.85
Broken Drone Transceiver,52.62,+4.7%,64022,53.55,36.46,100.00,159.00
Burned Logic Circuit,29798.35,-0.7%,468275,30008.28,28413.22,32194.17,31681.81
Charred Micro Circuit,105.61,-9.1%,616234,112.58,56.97,101.74,221.28
Conductive Polymer,49.30,-39.1%,46419,41.08,100.01,100.00,254.03
Contaminated Lorentz Fluid,228.59,+9.4%,61095,245.92,120.45,127.39,238.88
Contaminated Nanite Compound,2253.64,-0.3%,126810,2279.77,2227.47,1931.80,2622.16
Damaged Artificial Neural Network,370.18,-10.3%,50573,334.61,376.21,500.12,370.84
Defective Current Pump,203.27,-6.0%,35160,191.00,268.24,114.79,303.82
Fried Interface Circuit,4848.21,-12.5%,570244,4809.16,4467.70,6027.11,4887.75
Malfunctioning Shield Emitter,388.81,-22.3%,93327,322.14,528.73,300.08,286.91
Melted Capacitor Console,78197.71,-0.2%,27539,78133.82,77882.00,88008.87,79144.10
Scorched Telemetry Processor,141.33,+2.6%,36790,144.20,188.43,100.00,203.61
Smashed Trigger Unit,54.58,+8.1%,226166,56.64,34.94,100.00,111.70
Tangled Power Conduit,292.61,-12.2%,54804,258.10,372.56,100.07,231.29
Thruster Console,96.89,+9.3%,117824,92.12,143.71,100.00,162.10
Tripped Power Circuit,44422.74,+1.1%,439500,44938.54,43306.14,41376.31,46524.08
Ward Console,21462.98,+2.5%,47144,21566.43,22193.64,23301.47,19239.03
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,8300.86,-3.6%,260,7988.97,8871.76,60902.36,9529.30
Capacitor Console,16137915.95,+8.6%,118,17860529.26,13517774.28,10942859.17,17145620.03
Conductive Thermoplastic,24662.95,-51.3%,92,19551.28,34313.13,3786.78,14494.89
Current Pump,15114.04,-7.4%,68,19564.59,250.00,3917.74,42061.32
Drone Transceiver,3242.75,+12.6%,152,3557.23,2581.18,3167.74,4000.87
Enhanced Ward Console,17373907.45,-3.3%,92,17840300.64,15629043.75,7070353.40,18952799.66
