Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.73,+0.8%,260953128634,2.68,2.51,2.62,2.74
Pyerite,6.58,-0.7%,42517483971,6.46,6.16,5.65,6.62
Mexallon,28.69,+0.1%,12303715815,27.50,26.93,26.09,28.93
Isogen,51.24,+1.1%,2878749353,50.99,49.28,50.81,51.32
Nocxium,90.11,+3.0%,1252526831,100.48,89.46,103.36,89.99
Zydrine,1400.48,-0.4%,232355665,1410.77,1455.90,1491.31,1398.68
Megacyte,2677.80,-2.1%,95241828,2645.69,2656.06,2678.96,2680.01
Morphite,5624.31,-1.0%,11184750,5906.46,5525.38,6630.60,5622.81
,,,,,,,
Fuel,,,,,,,
Coolant,1276.61,-0.9%,22026133,1157.23,1244.73,1727.33,1291.19
Enriched Uranium,5305.02,-0.3%,10208305,5454.06,5250.63,4893.65,5300.26
Heavy Water,22.56,-0.4%,318453766,19.86,18.42,139.44,22.51
Helium Isotopes,351.15,+1.5%,264616001,354.05,405.16,426.98,350.20
Hydrogen Isotopes,361.75,+1.8%,310420313,368.06,337.56,339.43,367.45
Nitrogen Isotopes,357.48,-3.8%,727916876,403.69,379.79,439.05,356.80
Oxygen Isotopes,377.40,-0.4%,417921494,388.06,412.10,463.92,376.27
Liquid Ozone,297.73,+4.3%,259441804,306.90,287.04,322.03,297.44
Mechanical Parts,644.03,+0.2%,34454488,670.70,613.33,589.35,644.77
Oxygen,116.62,-6.4%,99716672,109.24,99.04,125.93,118.35
Robotics,6939.01,+0.1%,7332989,6959.59,6888.06,7168.81,6946.78
Strontium Clathrates,798.72,-2.4%,19443385,832.11,724.20,880.72,798.05
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,138670.45,-2.9%,409919,135709.74,136166.32,132832.44,139784.36
Armor Plates,230641.52,+2.9%,855725,222807.81,204975.33,217919.03,231926.09
Broken Drone Transceiver,64.35,+3.8%,226653,100.16,97.85,100.00,60.75
Burned Logic Circuit,31864.68,+0.1%,2055242,31859.97,29296.18,30763.72,31991.02
Charred Micro Circuit,131.75,+13.6%,3234387,160.51,118.44,80.09,130.46
Conductive Polymer,131.09,+3.6%,436576,88.82,100.01,118.37,133.57
Contaminated Lorentz Fluid,152.97,-1.1%,258490,186.29,90.09,100.28,152.04
Contaminated Nanite Compound,3040.59,-1.8%,460542,2570.01,2186.16,2668.67,3093.39
Damaged Artificial Neural Network,261.78,-14.1%,273298,300.00,260.19,457.09,245.84
Defective Current Pump,214.77,-18.5%,203849,191.26,209.25,143.43,216.35
Fried Interface Circuit,4392.89,+4.0%,2351734,4507.30,3940.44,4132.69,4397.56
Malfunctioning Shield Emitter,271.04,+24.4%,740662,244.60,113.75,300.00,275.40
Melted Capacitor Console,77380.36,-1.1%,145043,84394.01,81916.86,88109.17,76879.32
Scorched Telemetry Processor,147.45,-0.3%,305567,140.00,125.44,127.75,148.77
Smashed Trigger Unit,120.94,-4.4%,509573,105.86,101.23,90.34,124.16
Tangled Power Conduit,228.23,-20.0%,185076,300.00,288.56,1906.50,154.35
Thruster Console,198.91,+19.9%,538363,51.00,160.24,100.00,204.53
Tripped Power Circuit,45759.04,-0.2%,1969498,45635.84,39200.20,42332.57,46132.35
Ward Console,19922.45,-3.5%,309223,20880.15,20546.23,23148.72,19805.55
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,150458.45,+3.3%,46289,100000.00,193999.00,0.00,150220.68
Datacore - Caldari Starship Engineering,150086.88,+2.6%,61741,191999.96,207329.43,0.00,149603.14
Datacore - Electromagnetic Physics,99999.60,-13.4%,30299,100000.00,90691.91,0.00,100229.86
Datacore - Electronic Engineering,273181.48,+0.7%,103814,322999.98,270706.00,110000.00,272997.86
Datacore - Gallentean Starship Engineering,201672.81,+1.2%,70696,197499.97,198399.05,10000.00,201769.48
Datacore - Graviton Physics,114363.16,+3.8%,34884,119889.99,160000.25,0.00,114338.00
Datacore - High Energy Physics,223745.35,-5.9%,70557,179000.00,174537.83,198499.99,225564.64
Datacore - Hydromagnetic Physics,428311.10,-0.5%,46894,479500.00,447823.72,0.00,427898.34
Datacore - Laser Physics,150447.04,+0.9%,33155,162510.10,164156.71,0.00,150215.66
Datacore - Mechanical Engineering,413388.40,-1.5%,275049,398000.00,371435.25,307791.92,415699.97
Datacore - Minmatar Starship Engineering,445164.89,+3.0%,33098,449900.00,376926.37,356928.57,453719.85
Datacore - Molecular Engineering,320210.94,+0.2%,48156,347300.00,321420.38,425000.00,320090.56
Datacore - Nanite Engineering,188617.74,+3.5%,60904,263898.03,210267.33,300000.00,188248.90
Datacore - Nuclear Physics,346863.46,+0.3%,19783,288302.02,310475.37,280083.33,348872.29
Datacore - Plasma Physics,170147.85,+6.8%,15020,164085.58,276333.28,0.00,169653.89
Datacore - Quantum Physics,392147.42,-2.3%,62759,455000.02,469900.08,385005.13,391225.68
Datacore - Rocket Science,230983.93,+0.2%,14416,294999.00,248172.22,318332.50,229401.47
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,9233255.50,+7.4%,66,8194448.00,9540591.87,8797964.09,0.00
Assembly Instructions,27469470.39,+8.6%,15,0.00,28067499.89,0.00,26786008.11
Calibration Data,5297892.21,-1.1%,425,4636668.33,4517279.68,4016666.67,5727215.42
Circuitry Schematics,6234273.57,-9.7%,483,5275650.53,4480270.61,4416674.17,6707814.96
Circular Logic,1101282.75,+47.4%,423,2059333.34,2499999.01,0.00,1080690.61
Classic Doctrine,7937872.32,+0.6%,182,5922000.10,0.00,0.00,7949009.73
Collision Measurements,4376623.61,-8.1%,221,0.00,5075000.26,0.00,4322116.16
Engagement Plan,6774021.10,+5.8%,1175,4251000.03,6474193.32,0.00,6784360.28
Formation Layout,7433427.52,+4.2%,488,4130333.97,10000000.00,0.00,7448598.40
Installation Guide,28494247.51,+23.0%,39,0.00,0.00,0.00,28494247.51
Interface Alignment Chart,6370562.27,-13.1%,860,0.00,0.00,0.00,6370562.27
Operation Handbook,7328218.52,+2.4%,567,7135436.27,6660307.41,5942566.04,8018513.52
Prototype Diagram,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Sacred Manifesto,5383725.73,-0.9%,789,4288970.20,4829420.84,0.00,5461351.45
Stolen Formulas,35200751.01,-2.1%,10,0.00,0.00,0.00,35200751.01
Symbiotic Figures,5591874.33,+5.8%,349,0.00,5778504.01,1000.00,5605453.71
Test Reports,10815682.05,+0.7%,113,0.00,11500000.00,4000000.00,10853445.11
Tuning Instructions,8793861.88,-6.8%,1034,0.00,7225000.40,0.00,8798426.95
User Manual,4281000.01,-29.4%,10,0.00,4281000.01,0.00,0.00
War Strategon,22761900.87,+5.5%,29,0.00,48999000.00,0.00,20818412.05
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,90.37,+0.1%,1054945231,92.95,91.57,80.00,90.35
Fermionic Condensates,21619.20,-0.6%,2408126,25000.00,25013.19,19791.29,21615.47
Fernite Carbide,75.33,-1.5%,802433147,74.18,82.43,83.08,75.32
