Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.28,-0.8%,29339504991,2.33,2.19,2.10,2.45
Pyerite,4.16,-1.8%,6176734903,4.19,4.11,4.07,4.34
Mexallon,33.76,-5.2%,2050944017,34.26,32.44,29.36,36.15
Isogen,57.29,+0.9%,258863393,58.48,54.62,48.73,60.81
Nocxium,132.86,+1.6%,74029651,133.30,132.76,154.15,130.42
Zydrine,1119.98,+3.5%,19666756,1135.54,1073.23,1124.80,1037.93
Megacyte,2410.94,-2.9%,10863608,2423.31,2316.68,2386.16,2380.73
Morphite,4086.79,+2.0%,388318,4083.40,3959.28,3400.50,4133.16
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,113810.77,-0.1%,134262,114232.17,111823.50,115710.26,110988.23
Armor Plates,244586.52,+0.6%,94416,245465.86,237212.57,212170.79,246057.76
Broken Drone Transceiver,96.93,-77.3%,46816,108.81,88.17,11.79,182.45
Burned Logic Circuit,29813.18,+0.6%,375265,29955.91,28914.78,25804.48,30008.39
Charred Micro Circuit,172.84,-14.1%,364580,169.13,251.34,34.82,295.87
Conductive Polymer,158.75,-5.4%,54992,162.95,97.30,105.00,187.61
Contaminated Lorentz Fluid,198.01,+3.4%,59440,215.22,102.11,15.23,184.70
Contaminated Nanite Compound,2440.68,+2.6%,98990,2501.66,2102.08,1290.35,2494.91
Damaged Artificial Neural Network,253.67,+2.5%,35034,270.05,186.24,28.45,245.96
Defective Current Pump,224.06,-29.2%,47711,213.76,239.24,10.04,219.75
Fried Interface Circuit,4208.18,+2.2%,366906,4278.16,3883.52,3030.12,4221.04
Malfunctioning Shield Emitter,131.62,+0.3%,75381,131.71,133.73,10.31,302.76
Melted Capacitor Console,126138.47,+3.9%,25208,127797.17,116245.77,107712.51,127289.39
Scorched Telemetry Processor,102.27,+1.2%,30228,112.96,50.16,25.00,240.71
Smashed Trigger Unit,94.82,+5.5%,169512,100.06,74.37,10.05,224.77
Tangled Power Conduit,252.83,-30.5%,30824,280.57,63.74,33.35,252.79
Thruster Console,84.71,-2.3%,80484,80.00,106.12,10.31,180.26
Tripped Power Circuit,72419.78,+0.3%,378893,72967.75,70843.77,58610.50,72605.82
Ward Console,24660.04,+5.7%,25854,25397.10,22690.99,24190.98,24625.93
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,4517.39,+121.4%,0,6419.28,6000.15,3065.55,4517.39
Capacitor Console,23075190.80,+1.3%,0,21201763.93,18693771.57,15842353.37,23075190.80
Conductive Thermoplastic,24313.52,+88.8%,0,32177.96,92777.85,6281.09,24313.52
Current Pump,36834.04,-43.8%,0,21025.65,9598.63,3223.68,36834.04
Drone Transceiver,3695.81,+0.4%,279,3695.81,3574.63,2001.18,2322.85
Enhanced Ward Console,15075929.90,-4.4%,0,15765046.91,12865546.48,11931627.65,15075929.90
Impetus Console,9625.05,+14.3%,159,10965.89,368.05,5012.28,20049.14
Intact Armor Plates,22580469.90,-2.5%,91,22580469.90,21393666.38,17797830.84,26562852.95
Intact Shield Emitter,753515.57,-18.9%,0,611015.46,441780.77,307500.75,753515.57
Interface Circuit,101034.87,-36.9%,0,93639.20,65071.26,37333.78,101034.87
Logic Circuit,181078.00,+1.4%,1192,186636.20,120382.41,265474.05,186172.59
Lorentz Fluid,3461.30,-12.6%,0,3025.03,8972.87,3981.35,3461.30
Micro Circuit,6043.56,+4.2%,0,4609.58,1743.66,9200.16,6043.56
Nanite Compound,33400.82,-94.0%,129,35751.31,43856.96,24368.43,46619.92
Power Circuit,1558660.77,-10.5%,0,1200594.59,1038256.53,1635599.65,1558660.77
Power Conduit,41987.93,-95.2%,0,2473.59,49929.19,19932.84,41987.93
Single-crystal Superalloy I-beam,5834498.16,-3.5%,0,5972167.49,5716704.91,3404301.21,5834498.16
Telemetry Processor,71067.73,+40.7%,0,99695.34,117136.85,8546.61,71067.73
Trigger Unit,52099.19,-84.5%,418,54533.53,5979.11,5525.01,32327.99
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,362.62,+9.8%,8519770,354.25,394.49,420.21,316.46
Hydrogen Isotopes,311.22,+1.2%,94344463,317.19,308.50,311.38,331.93
Nitrogen Isotopes,334.07,+10.1%,8042087,330.96,342.34,370.64,294.71
Oxygen Isotopes,374.22,+6.9%,12262032,365.49,368.17,432.81,335.72
Heavy Water,16.57,-3.4%,8671389,20.26,16.38,21.00,21.65
Liquid Ozone,227.23,+6.9%,6751842,215.69,231.78,259.56,228.43
Strontium Clathrates,224.19,-31.8%,538862,354.32,224.19,1193.93,317.74
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,15787.01,-5.0%,815636,15662.50,20982.03,14362.56,17418.43
Enriched Uranium,8318.92,-8.6%,755237,8242.88,8748.83,11533.63,9153.22
Mechanical Parts,7746.09,+28.4%,1313704,8068.27,7364.69,5182.88,7781.74
Oxygen,225.09,+32.8%,2502954,201.10,230.39,195.57,285.90
Robotics,27608.85,+14.7%,657549,27616.26,23672.42,26807.26,29275.43
,,,,,,,
Datacores,,,,,,,
