Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.74,-1.7%,264252941509,2.73,2.51,2.62,2.75
Pyerite,6.66,-1.6%,50015282306,6.56,6.14,6.18,6.69
Mexallon,28.63,-0.2%,13991403750,27.71,26.75,23.99,28.84
Isogen,51.04,+1.5%,3234064924,51.35,49.35,50.76,51.08
Nocxium,87.37,+6.4%,1785665097,94.03,91.14,89.81,87.12
Zydrine,1397.91,+0.1%,287005531,1420.36,1440.70,1585.36,1395.72
Megacyte,2710.38,-1.5%,99006334,2656.49,2680.54,2700.58,2714.93
Morphite,5494.57,+3.9%,11879151,5821.15,5505.23,6534.79,5489.52
,,,,,,,
Fuel,,,,,,,
Coolant,1264.76,+1.6%,21619217,1099.88,1227.00,1596.29,1279.39
Enriched Uranium,5308.14,+0.4%,9497519,5397.72,5418.87,4831.70,5300.43
Heavy Water,22.24,+2.1%,260112175,21.37,13.00,14.39,22.37
Helium Isotopes,356.77,-5.2%,209665380,350.61,439.99,414.98,357.04
Hydrogen Isotopes,366.13,-1.8%,204811966,367.03,339.00,346.94,371.15
Nitrogen Isotopes,367.42,-2.1%,574264631,407.05,352.61,401.76,367.18
Oxygen Isotopes,378.81,-0.1%,253997095,397.41,433.51,462.49,377.73
Liquid Ozone,295.35,+6.0%,214142757,321.13,298.00,325.65,293.91
Mechanical Parts,638.42,-0.7%,28975846,634.87,617.34,570.16,639.84
Oxygen,117.30,+2.2%,85911542,109.25,94.52,165.23,119.26
Robotics,6939.45,-0.1%,6582440,6959.43,6775.93,5722.65,6946.54
Strontium Clathrates,806.40,+1.6%,19175356,841.05,924.99,1069.67,803.90
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,139856.11,-0.8%,411225,137969.71,135443.75,135000.34,140393.73
Armor Plates,228195.22,-0.3%,762019,218088.54,199234.00,218601.46,228842.75
Broken Drone Transceiver,68.34,-2.0%,406297,100.20,98.30,100.00,65.57
Burned Logic Circuit,31894.50,-0.0%,1957667,31975.60,29070.14,30656.09,32018.04
Charred Micro Circuit,138.19,-13.5%,2475321,145.49,110.01,81.42,138.87
Conductive Polymer,132.67,+1.9%,487645,119.83,100.01,116.88,133.24
Contaminated Lorentz Fluid,153.14,+0.0%,306417,186.34,88.65,100.00,151.57
Contaminated Nanite Compound,3019.34,-1.8%,435307,2842.59,1969.05,2758.08,3058.51
Damaged Artificial Neural Network,269.88,-16.8%,345776,300.00,258.08,447.55,262.74
Defective Current Pump,215.23,-18.9%,256718,191.29,154.47,144.49,217.34
Fried Interface Circuit,4267.66,+3.6%,2106441,4410.00,3901.87,4400.11,4266.45
Malfunctioning Shield Emitter,246.27,-10.6%,470297,217.47,100.02,300.00,248.36
Melted Capacitor Console,76598.70,+0.3%,210225,80005.63,81723.63,91929.29,76288.46
Scorched Telemetry Processor,148.87,-1.9%,337244,138.42,125.38,129.20,149.57
Smashed Trigger Unit,120.48,-2.6%,628627,105.50,90.10,100.00,124.21
Tangled Power Conduit,202.78,+147.5%,266659,260.38,315.00,5378.27,152.79
Thruster Console,142.23,-14.8%,299042,51.00,162.12,100.26,154.14
