Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Datacore - Nanite Engineering,258377.60,-11.0%,1628,258831.92,254719.88,196363.65,176176.39
Datacore - Nuclear Physics,288440.66,-3.6%,8223,296837.37,281473.30,331265.92,330013.50
Datacore - Plasma Physics,177145.09,-29.8%,818,177420.55,183530.56,764516.13,156320.84
Datacore - Quantum Physics,370025.94,-7.8%,1373,340550.00,359724.28,373640.24,351016.28
Datacore - Rocket Science,184755.86,+7.4%,2682,197029.03,179828.18,232902.30,163685.81
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,10733141.83,-6.2%,106,10304242.04,11178015.00,9176380.30,12151375.49
Assembly Instructions,31153961.84,-23.0%,13,29687450.19,31836546.08,21055555.33,31256140.02
Calibration Data,4645283.28,+9.5%,463,4605932.16,4679850.75,4000000.00,5808263.79
Circuitry Schematics,6386944.37,+2.6%,139,6474730.03,5798700.59,5094670.07,6691902.88
Circular Logic,896204.80,-9.5%,44,882163.06,2385714.27,3075000.00,883268.13
Classic Doctrine,7677591.45,-13.9%,11,7677591.45,6925599.90,7500000.00,8536145.76
Collision Measurements,4468945.33,-13.8%,51,4115140.29,4307556.19,5340000.00,3951531.21
Engagement Plan,5849582.45,-27.0%,59,5446105.17,5995454.52,10416666.67,6687701.04
Formation Layout,5632253.03,-24.1%,87,5630158.05,5274529.54,3608750.00,6483696.48
Installation Guide,30625714.73,+20.5%,7,31484998.77,34355556.57,47500000.00,23115875.90
Interface Alignment Chart,5257624.30,-41.6%,77,5317988.40,4691500.01,8149999.50,4899742.84
Operation Handbook,8411103.72,-3.8%,626,8248345.29,8507980.81,7254836.94,10197353.61
Prototype Diagram,7426166.66,+21.2%,24,7192761.90,8322727.18,12000000.00,5219022.78
Sacred Manifesto,3931948.86,-13.5%,102,3903544.16,4378695.70,3568181.82,4615211.89
Stolen Formulas,30750001.70,-15.1%,14,34321429.85,49000000.00,24800000.00,31495652.13
Symbiotic Figures,5459160.56,+20.9%,43,5120705.05,4402700.00,8568812.50,4745167.79
Test Reports,12202526.96,-33.4%,19,11371647.78,11400000.00,10625000.00,10040496.63
Tuning Instructions,7796853.78,+24.4%,19,8113869.52,7704469.27,7246733.33,7905951.89
User Manual,2754371.76,-16.5%,23,2901113.53,2408081.81,5142928.57,2640594.63
War Strategon,18273749.96,+14.9%,8,18273749.96,44856714.29,38499999.99,20724287.83
,,,,,,,
Raw Moon Materials,,,,,,,
Atmospheric Gases,126.75,+13.6%,215233,129.37,139.66,91.74,112.55
Cadmium,1665.64,+8.0%,71296,1765.82,1719.41,1493.07,1682.13
Caesium,1454.92,+23.7%,41821,1671.99,871.20,0.00,943.10
Chromium,2032.26,-1.6%,312538,1988.72,792.87,2481.69,2074.97
Cobalt,499.71,+29.9%,889203,499.71,263.57,49.32,608.42
Dysprosium,10500.98,+57.1%,52712,13132.13,17506.61,200000.00,17693.84
Evaporite Deposits,432.48,-50.1%,353600,475.66,448.14,238.67,653.66
Hafnium,629.69,+26.9%,288858,544.93,657.21,649.18,834.25
Hydrocarbons,91.08,-78.0%,119810,91.08,226.93,117.73,139.58
Mercury,2309.15,+25.6%,158043,2309.15,1885.14,1050.81,2707.79
Neodymium,18851.79,+18.3%,0,22282.32,14193.69,2000.00,18851.79
Platinum,2692.89,+9.5%,281547,2657.02,2208.34,692.62,2819.60
Promethium,12580.14,-85.7%,0,19403.55,10361.78,0.00,12580.14
Scandium,271.82,+6.7%,298616,271.73,535.22,234.88,407.41
Silicates,218.89,+82.7%,89565,422.54,434.97,25.33,361.21
Technetium,40005.66,-0.3%,0,34282.64,16648.43,2252.45,40005.66
Thulium,389.13,+336.4%,45615,2114.30,732.59,0.00,795.62
Titanium,665.33,+31.5%,33936,659.23,565.27,567.06,823.62
Tungsten,413.26,-25.7%,128603,602.05,858.47,208.03,441.18
Vanadium,1380.14,+36.9%,218185,1579.40,1099.47,679.07,1226.40
,,,,,,,
Processed Moon Materials,,,,,,,
Caesarium Cadmide,2007.50,+24.5%,0,3285.85,553.63,4499.99,2007.50
Carbon Polymers,164.70,+142.9%,582080,442.11,84.82,344.54,350.49
Ceramic Powder,850.02,+5.8%,132503,882.66,794.02,791.47,619.15
