Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.25,+1.7%,22630705905,2.31,2.20,2.12,2.43
Pyerite,4.04,-0.5%,5056864539,4.12,3.97,4.07,4.28
Mexallon,32.71,-0.4%,1935911161,32.87,32.44,29.36,35.45
Isogen,58.02,-3.4%,230926609,59.01,55.35,48.73,60.94
Nocxium,123.36,+0.3%,69683252,133.23,115.58,154.15,134.60
Zydrine,1060.89,-5.7%,15187044,1091.12,1051.46,1124.80,1024.55
Megacyte,2377.89,-1.2%,7334587,2428.14,2323.33,2386.16,2333.21
Morphite,3825.92,+22.7%,354828,4117.61,3554.99,3400.50,4016.06
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,113266.37,-3.9%,115363,113497.33,112324.21,115710.26,112020.36
Armor Plates,243591.72,-5.6%,88559,246119.79,232177.58,212170.79,246786.11
Broken Drone Transceiver,94.99,+5.3%,42936,100.24,86.45,11.79,180.25
Burned Logic Circuit,29672.72,-5.1%,300415,30004.79,28619.98,25804.48,29906.86
Charred Micro Circuit,143.59,+3.9%,384493,135.66,181.30,34.82,300.35
Conductive Polymer,140.28,-78.5%,22897,150.10,101.57,105.00,181.53
Contaminated Lorentz Fluid,202.13,-55.4%,87054,215.06,102.29,15.23,183.18
Contaminated Nanite Compound,2314.26,-56.7%,96026,2479.67,1491.43,1290.35,2436.20
Damaged Artificial Neural Network,262.42,-61.7%,111018,267.39,187.16,28.45,246.45
Defective Current Pump,184.13,-57.1%,29862,158.59,218.89,10.04,219.85
Fried Interface Circuit,4222.79,-5.2%,338640,4321.13,3894.47,3030.12,4121.36
Malfunctioning Shield Emitter,133.09,+5.4%,61634,131.83,137.37,10.31,295.87
Melted Capacitor Console,130800.26,+0.2%,37587,131748.32,123537.56,107712.51,126325.28
Scorched Telemetry Processor,99.53,-49.5%,25126,112.95,50.22,25.00,234.27
Smashed Trigger Unit,94.90,+1.2%,166093,103.01,57.05,10.05,176.43
Tangled Power Conduit,213.49,-73.8%,29802,242.83,64.20,33.35,231.85
Thruster Console,82.92,+20.7%,68063,80.00,100.05,10.31,169.06
Tripped Power Circuit,72277.52,-10.1%,341254,73028.18,69976.28,58610.50,73116.80
Ward Console,25120.07,+8.1%,22944,26076.17,22800.58,24190.98,25545.36
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6738.46,-11.0%,2126,6419.28,6738.46,3065.55,4258.76
Capacitor Console,20552855.01,+2.4%,131,21047010.44,20373743.04,15842353.37,23290456.72
Conductive Thermoplastic,81708.79,+22.4%,401,32177.96,107196.96,6281.09,20593.66
Current Pump,20013.72,-84.0%,89,21025.65,3079.24,3223.68,46767.81
Drone Transceiver,3045.88,-67.2%,68,3695.81,2998.06,2001.18,2880.42
Enhanced Ward Console,16902198.95,-40.2%,61,15765046.91,17625057.01,11931627.65,15237237.73
Impetus Console,6699.59,-97.0%,54,10965.89,6699.59,5012.28,20127.31
Intact Armor Plates,24013361.44,+5.2%,148,24122569.16,22960369.10,17797830.84,27401282.40
Intact Shield Emitter,595344.65,-91.6%,122,611015.46,392280.66,307500.75,777824.46
Interface Circuit,180953.47,-81.3%,504,93639.20,180953.47,37333.78,115089.57
Logic Circuit,136718.05,-36.4%,349,186636.20,128268.22,265474.05,176440.49
Lorentz Fluid,1717.32,-82.5%,216,3025.03,206.76,3981.35,3423.63
Micro Circuit,4416.25,-93.6%,186,4609.58,4416.25,9200.16,5829.86
Nanite Compound,102353.34,-98.0%,38,35751.31,102353.34,24368.43,43045.79
Power Circuit,1501577.34,-33.4%,232,1200594.59,1501577.34,1635599.65,1567745.83
Power Conduit,9600.88,+889.9%,123,2473.59,9419.75,19932.84,44611.24
Single-crystal Superalloy I-beam,5675454.01,+2.2%,58,5972167.49,5588573.19,3404301.21,5863166.77
Telemetry Processor,109471.36,-97.5%,342,99695.34,156694.54,8546.61,69813.39
Trigger Unit,73508.22,-99.3%,55,54533.53,73508.22,5525.01,39571.56
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,341.61,-1.9%,16573578,330.92,407.63,420.21,346.75
Hydrogen Isotopes,308.44,+3.2%,83221445,308.48,308.50,311.38,329.14
Nitrogen Isotopes,313.11,-2.0%,14594697,310.44,342.34,370.64,291.12
Oxygen Isotopes,385.36,-3.5%,10841721,365.49,386.02,432.81,330.70
Heavy Water,20.02,+1.4%,15890912,21.34,16.38,21.00,21.73
Liquid Ozone,222.65,+0.5%,12754247,219.60,231.78,259.56,230.70
Strontium Clathrates,224.19,-31.8%,538862,354.32,224.19,1193.93,316.22
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,15109.19,-10.1%,948459,14930.99,15721.58,14362.56,15386.88
Enriched Uranium,8484.92,+0.1%,735571,8529.06,8322.68,11533.63,8974.44
Mechanical Parts,8087.50,+71.3%,1197821,8068.27,7896.84,5182.88,7214.44
Oxygen,228.57,+18.1%,5793802,221.13,250.43,195.57,301.47
