Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.73,-0.0%,24429907349,2.76,2.66,2.67,2.93
Pyerite,6.96,-0.0%,6230155916,7.04,6.86,6.49,7.44
Mexallon,28.88,+0.8%,1641262502,29.40,27.78,26.56,30.85
Isogen,53.29,-0.7%,283301323,53.63,53.73,46.55,54.48
Nocxium,82.84,+9.4%,135003641,82.63,83.45,80.27,81.32
Zydrine,1201.12,+11.3%,27125385,1199.12,1202.19,1220.55,1211.78
Megacyte,2174.08,+8.5%,14239623,2166.07,2231.41,1925.97,2243.28
Morphite,5095.29,+9.1%,1501492,5077.13,5146.72,5744.10,5025.84
,,,,,,,
Fuel,,,,,,,
Coolant,1152.28,+3.8%,3254919,1115.91,1269.73,2018.34,1305.10
Enriched Uranium,5134.59,+4.8%,1369192,5043.45,5242.48,5372.29,5300.02
Heavy Water,18.03,+7.4%,23636277,18.61,16.85,21.60,20.33
Helium Isotopes,408.23,+1.2%,8327588,400.23,429.61,436.57,368.71
Hydrogen Isotopes,400.68,+3.1%,90345826,406.89,395.63,397.70,434.25
Nitrogen Isotopes,443.65,+3.5%,20788822,432.72,468.56,611.41,413.16
Oxygen Isotopes,423.54,+3.8%,22439628,412.19,438.80,525.19,398.12
Liquid Ozone,326.14,+6.9%,29560184,327.89,313.28,419.07,286.10
Mechanical Parts,605.76,-0.1%,3077725,608.33,604.56,596.85,645.00
Oxygen,105.49,+5.3%,12378578,109.25,97.57,144.00,118.02
Robotics,6864.82,+0.9%,494941,6959.76,6724.28,7000.00,6950.56
Strontium Clathrates,880.55,+18.5%,1325907,903.94,858.11,762.48,846.12
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,131945.27,+0.2%,124196,132162.60,130403.72,133143.00,141276.79
Armor Plates,197094.67,+0.2%,91909,198368.91,192225.05,193994.19,205590.43
Broken Drone Transceiver,96.88,-0.1%,50129,96.10,98.30,100.00,141.24
Burned Logic Circuit,30124.97,-3.7%,384110,30362.94,28405.41,31277.29,30604.71
Charred Micro Circuit,155.53,-12.3%,432920,170.35,96.15,153.61,323.97
Conductive Polymer,133.66,-3.7%,27867,139.71,122.54,100.00,124.28
Contaminated Lorentz Fluid,156.96,+1.3%,41990,180.24,80.87,100.00,219.78
Contaminated Nanite Compound,2657.96,+3.1%,115304,2735.96,1855.01,3000.00,2882.56
Damaged Artificial Neural Network,494.41,-36.9%,31738,260.00,1638.26,500.00,298.21
Defective Current Pump,180.58,+0.5%,22777,191.16,153.35,100.00,241.85
Fried Interface Circuit,3930.71,+0.8%,496863,4012.91,3121.69,4200.00,4348.67
Malfunctioning Shield Emitter,210.57,-4.3%,62665,200.99,302.20,100.00,178.06
Melted Capacitor Console,86555.78,-3.4%,27981,84395.17,97764.72,86319.02,83933.84
Scorched Telemetry Processor,243.02,-8.5%,36402,268.61,130.34,120.00,179.31
Smashed Trigger Unit,116.33,-2.4%,169052,117.67,133.26,51.04,126.21
Tangled Power Conduit,304.46,-26.2%,29352,305.91,321.84,181.62,189.60
Thruster Console,142.99,-2.4%,92110,143.51,160.10,100.00,172.00
Tripped Power Circuit,39283.99,+1.0%,379532,39729.21,37042.68,39057.37,40261.34
Ward Console,23023.64,-5.3%,30929,23557.35,21606.01,20000.00,19376.73
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,128546.26,+3.2%,588,128944.77,128212.50,0.00,117339.92
