Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.26,+0.5%,32622577539,2.30,2.19,2.17,2.43
Pyerite,4.25,-0.6%,8071312061,4.28,4.18,4.07,4.43
Mexallon,32.05,+0.6%,2524913301,32.27,31.66,29.36,34.58
Isogen,55.81,+1.4%,303884948,56.81,53.96,48.73,59.00
Nocxium,138.23,-1.6%,89674794,137.87,139.72,154.15,131.81
Zydrine,1068.22,-1.7%,17590235,1082.37,1036.96,1124.80,1051.42
Megacyte,2283.78,+0.8%,8396127,2326.66,2135.30,2386.16,2300.21
Morphite,3861.71,+1.0%,943832,3857.64,3942.28,3400.50,3891.50
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,114465.42,+0.5%,144996,115438.53,109228.42,115640.59,122806.67
Armor Plates,236780.25,+1.3%,110879,239266.05,228454.45,212170.79,242282.02
Broken Drone Transceiver,105.24,-33.5%,78149,118.28,68.43,11.79,189.40
Burned Logic Circuit,29972.05,-3.6%,440059,30476.28,28145.33,25804.48,30782.56
Charred Micro Circuit,141.47,+1.3%,343856,157.47,75.26,34.82,312.32
Conductive Polymer,194.14,-22.7%,49799,167.87,362.99,105.00,217.59
Contaminated Lorentz Fluid,202.22,+6.3%,63799,215.50,120.74,15.23,193.39
Contaminated Nanite Compound,2560.27,-7.0%,119033,2641.92,2255.53,1290.35,2626.07
Damaged Artificial Neural Network,235.92,-57.5%,35430,251.28,201.85,28.45,316.07
Defective Current Pump,157.01,+1.1%,27404,158.70,159.49,10.04,255.72
Fried Interface Circuit,4254.89,-0.7%,433525,4308.60,4225.43,3030.12,4247.10
Malfunctioning Shield Emitter,113.07,-4.5%,59891,116.73,107.96,10.17,299.24
Melted Capacitor Console,110124.00,+3.6%,28442,110933.03,106863.75,107712.51,119433.48
Scorched Telemetry Processor,168.65,-70.4%,35668,183.82,32.46,25.00,187.98
Smashed Trigger Unit,74.31,-3.9%,183912,79.70,57.54,10.05,190.00
Tangled Power Conduit,261.75,+12.0%,23970,293.68,70.22,26.36,298.21
Thruster Console,113.56,-11.9%,67093,126.10,42.61,10.31,181.70
Tripped Power Circuit,69814.86,+3.1%,452455,71103.99,65467.81,56167.00,72540.41
Ward Console,23871.24,+1.4%,28897,23707.69,24682.56,24190.98,24472.60
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6512.14,+53.6%,695,6419.28,6000.15,3065.55,6266.25
Capacitor Console,21126431.57,+10.6%,92,21201763.93,18693771.57,15842353.37,21888784.95
Conductive Thermoplastic,31578.57,+45.4%,185,32177.96,92777.85,6281.09,30399.94
Current Pump,18819.61,+9.9%,114,21025.65,9598.63,3223.68,37381.93
Drone Transceiver,3700.87,+0.2%,328,3709.01,3574.63,2001.18,2264.17
Enhanced Ward Console,15549386.14,-7.3%,61,15765046.91,12865546.48,11931627.65,15897101.63
Impetus Console,10645.38,-11.5%,178,12770.44,368.05,5012.28,25755.35
Intact Armor Plates,23764772.02,-0.0%,154,23855521.57,21393666.38,17797830.84,25822580.23
Intact Shield Emitter,589302.67,+3.7%,130,611015.46,441780.77,307500.75,712631.23
Interface Circuit,91245.79,-30.1%,1105,93639.20,65071.26,37333.78,62623.85
Logic Circuit,185977.30,+60.0%,1215,190502.14,236414.52,265474.05,182958.27
Lorentz Fluid,2694.28,+12.3%,192,3025.03,8972.87,3981.35,4012.39
Micro Circuit,4219.25,+49.3%,1230,4609.58,1743.66,9200.16,6866.16
Nanite Compound,39599.33,-15.0%,168,35751.31,65612.20,24368.43,47398.76
Power Circuit,1162882.33,+19.9%,1116,1200594.59,1038256.53,1635599.65,1454246.76
Power Conduit,2444.64,-17.5%,97,2473.59,49929.19,19932.84,32630.38
Single-crystal Superalloy I-beam,5920064.62,-4.9%,271,5972167.49,5716704.91,3404301.21,6253002.65
Telemetry Processor,112273.92,-10.9%,317,99695.34,117136.85,8546.61,100429.93
Trigger Unit,47126.22,-0.4%,372,49918.01,520.76,5525.01,41018.24
,,,,,,,
Ice Products,,,,,,,
Helium Isotopes,368.10,+0.8%,7553375,361.84,370.93,420.21,316.95
Hydrogen Isotopes,322.72,-6.7%,136406903,332.16,316.77,311.38,349.19
Nitrogen Isotopes,341.76,+2.3%,16348478,339.50,342.34,430.10,298.37
Oxygen Isotopes,355.60,-6.3%,17902751,366.61,351.05,373.42,335.21
Heavy Water,17.84,+12.9%,22560345,20.26,16.86,21.00,20.54
Liquid Ozone,221.36,+19.7%,24499394,219.79,229.30,255.44,210.55
Strontium Clathrates,323.55,-51.5%,1642971,354.32,248.23,1193.93,311.21
,,,,,,,
Starbase Fuel,,,,,,,
Coolant,17304.48,+15.6%,1328736,19394.86,15323.94,14362.56,17931.80
Enriched Uranium,8408.41,+15.3%,857649,8407.41,8130.37,11533.63,8969.45
Mechanical Parts,5489.21,+17.6%,1711240,5447.85,5860.56,5182.88,5780.38
Oxygen,198.22,+11.0%,6391515,201.10,177.74,195.57,233.99
Robotics,24660.97,+3.2%,365699,25095.52,23857.77,26807.26,24259.94
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,234468.23,-26.9%,1095,188136.25,289060.82,90187.02,147773.86
Datacore - Caldari Starship Engineering,182692.31,+0.1%,2426,199782.74,161988.27,173844.25,103431.62
Datacore - Electromagnetic Physics,66902.91,+17.2%,3542,65907.63,63889.49,191699.04,59612.89
Datacore - Electronic Engineering,259576.94,+2.1%,8654,256819.49,264743.57,211278.46,223369.16
Datacore - Gallentean Starship Engineering,140514.61,-2.0%,2189,148874.15,131463.82,199974.44,129636.34
Datacore - Graviton Physics,104730.39,-8.3%,1260,99910.57,120820.23,188048.08,92951.41
Datacore - High Energy Physics,127220.84,+13.4%,2517,142238.00,122196.54,189008.62,130687.31
Datacore - Hydromagnetic Physics,245734.48,-0.8%,2123,244539.72,249780.39,286414.33,211263.04
Datacore - Laser Physics,156421.63,-6.6%,1317,145901.16,174442.77,211111.11,96685.47
Datacore - Mechanical Engineering,338758.99,+2.4%,15667,344860.46,307541.16,353933.33,344485.01
Datacore - Minmatar Starship Engineering,334887.68,+15.9%,7902,343532.42,317488.86,324948.59,383471.91
Datacore - Molecular Engineering,210114.08,+11.0%,3217,210099.16,208728.58,215135.12,189927.03
Datacore - Nanite Engineering,203143.82,-0.8%,2564,197789.59,220093.58,175516.17,169167.18
