Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.52,+1.8%,29995174675,2.57,2.46,2.45,2.69
Pyerite,5.25,-1.7%,8690210396,5.33,5.12,4.98,5.75
Mexallon,24.00,-6.2%,1779253766,24.35,23.95,21.26,25.33
Isogen,48.55,-3.2%,300022493,49.34,47.02,49.42,48.91
Nocxium,133.13,+5.9%,76160570,132.79,127.49,137.69,127.95
Zydrine,1292.51,+12.2%,21597332,1263.38,1310.94,1378.54,1222.30
Megacyte,2765.85,+11.4%,10707419,2760.26,2809.92,2908.66,2750.88
Morphite,5380.85,-10.8%,977313,5430.39,5276.02,5788.32,5223.16
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,122339.46,-8.5%,89268,123956.56,119563.13,121549.72,127036.87
Armor Plates,226037.49,-0.5%,72502,222359.80,224121.17,221370.89,232080.29
Broken Drone Transceiver,67.97,+47.1%,63523,64.08,66.71,100.00,176.42
Burned Logic Circuit,30471.29,-4.8%,299156,29195.28,29000.46,29180.66,32321.44
Charred Micro Circuit,119.01,-16.0%,542137,95.14,149.77,100.00,159.25
Conductive Polymer,199.21,-49.8%,90054,189.92,102.10,100.00,159.31
Contaminated Lorentz Fluid,139.59,-28.4%,39351,192.44,129.15,100.00,196.97
Contaminated Nanite Compound,2458.22,-18.6%,102010,2434.62,2498.40,2000.00,2841.49
Damaged Artificial Neural Network,325.04,+53.8%,38510,334.11,258.17,500.00,369.10
Defective Current Pump,181.24,-44.8%,22108,191.61,218.67,100.00,230.89
Fried Interface Circuit,4674.89,-8.0%,337321,4680.82,4677.58,4229.21,4931.33
Malfunctioning Shield Emitter,280.06,+7.1%,50056,305.31,87.53,301.52,365.84
Melted Capacitor Console,85580.20,+2.8%,44516,85233.02,82104.53,86050.21,80176.20
Scorched Telemetry Processor,141.16,-29.2%,29086,146.16,125.00,100.00,187.46
Smashed Trigger Unit,69.75,+43.4%,171727,63.65,70.04,100.00,131.63
Tangled Power Conduit,369.34,-67.5%,35404,269.15,521.28,415.62,306.35
Thruster Console,96.23,+3.9%,72068,98.68,100.63,100.00,278.18
Tripped Power Circuit,46634.09,-1.4%,320804,46553.03,44620.46,44696.39,47033.94
Ward Console,22328.51,-1.5%,31783,22010.52,21647.34,23859.35,19032.84
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6649.52,-69.9%,1420,6768.21,2482.30,57259.70,8703.65
Capacitor Console,19497965.47,+15.7%,124,19505966.84,13515625.67,9071433.65,17145620.03
Conductive Thermoplastic,10150.75,-80.3%,27,12002.94,30227.92,3001.08,14500.92
Current Pump,22082.13,-3.3%,69,15980.60,14465.99,3858.27,43484.64
Drone Transceiver,3686.83,-45.7%,1787,3708.17,11373.91,2186.26,5255.46
Enhanced Ward Console,19002337.82,+10.0%,115,19180890.26,17050795.22,8878462.50,18370704.39
Impetus Console,8422.62,-40.5%,155,8417.54,12441.43,5008.54,36802.27
Intact Armor Plates,20587786.80,-1.1%,205,20750183.09,19641231.73,17119239.30,22627870.91
Intact Shield Emitter,882418.98,+35.7%,237,901888.04,616544.12,106476.67,694015.88
Interface Circuit,106514.98,-50.3%,355,91299.15,72172.30,178175.60,82883.59
Logic Circuit,137914.10,-19.4%,500,144706.37,109193.99,84808.92,172053.33
