Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.74,+0.8%,23569232978,2.77,2.66,2.68,2.86
Pyerite,6.75,-1.5%,5616067502,6.83,6.57,6.47,7.11
Mexallon,29.17,-0.9%,2125283843,29.36,28.64,28.02,30.54
Isogen,52.86,-2.1%,270332511,53.26,51.56,50.59,52.59
Nocxium,88.28,-0.7%,55614348,88.77,87.34,86.14,85.20
Zydrine,1437.81,+0.6%,16000625,1441.94,1366.94,1563.80,1434.44
Megacyte,2740.15,-1.6%,8257759,2736.61,2736.23,2881.94,2733.64
Morphite,6140.92,+4.5%,485126,6115.92,6191.64,7112.79,6082.86
,,,,,,,
Fuel,,,,,,,
Coolant,1151.54,+6.0%,3010535,1114.35,0.00,1697.15,1230.44
Enriched Uranium,5295.38,-2.2%,841445,5265.02,0.00,5404.04,5300.73
Heavy Water,18.93,-4.4%,24596246,19.02,19.21,17.04,21.43
Helium Isotopes,418.76,-4.1%,8236583,414.66,0.00,722.77,382.01
Hydrogen Isotopes,373.76,-0.2%,72344828,380.49,368.39,349.05,395.46
Nitrogen Isotopes,443.92,+5.5%,18949252,443.76,0.00,446.60,390.66
Oxygen Isotopes,420.51,+2.9%,16004464,416.14,0.00,471.02,392.45
Liquid Ozone,328.33,-3.4%,21000086,326.60,323.33,379.92,284.16
Mechanical Parts,612.60,+3.2%,1211274,617.30,0.00,582.50,646.31
Oxygen,116.25,+11.1%,6744571,114.25,0.00,135.37,134.08
Robotics,6357.72,+9.0%,785691,6955.09,5982.10,7000.00,6930.33
Strontium Clathrates,861.87,+1.4%,1279519,850.75,0.00,1237.07,832.92
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,137035.66,+0.7%,98358,138372.43,130894.30,136435.59,143294.91
Armor Plates,206982.84,+0.5%,77554,208880.61,196110.53,206849.23,213654.96
Broken Drone Transceiver,99.15,+0.7%,39226,97.12,0.00,116.17,151.81
Burned Logic Circuit,30389.56,+1.3%,295872,30750.14,28456.39,30315.07,32008.55
Charred Micro Circuit,126.87,-5.1%,297365,131.64,0.00,70.51,302.02
Conductive Polymer,133.39,-1.8%,24575,135.76,0.00,111.53,128.96
Contaminated Lorentz Fluid,173.30,-10.2%,43577,182.85,0.00,72.22,182.42
Contaminated Nanite Compound,3028.22,-5.1%,72861,3031.64,0.00,3000.00,3149.06
Damaged Artificial Neural Network,414.05,-25.2%,40738,273.89,0.00,679.35,316.97
Defective Current Pump,186.51,-4.8%,22186,191.28,0.00,119.49,267.96
Fried Interface Circuit,4033.02,+1.5%,330663,4020.35,4017.71,4167.35,4097.85
Malfunctioning Shield Emitter,242.76,-3.3%,49102,245.66,0.00,222.26,235.82
Melted Capacitor Console,85728.61,+0.3%,35188,85637.09,0.00,88000.00,81037.69
Scorched Telemetry Processor,139.96,-4.3%,32042,138.84,0.00,151.07,204.12
Smashed Trigger Unit,102.93,+5.4%,126280,103.25,0.00,100.00,123.02
