Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.73,-0.7%,25237810449,2.76,2.69,2.66,2.93
Pyerite,6.96,+0.7%,5883890206,7.05,6.90,6.48,7.49
Mexallon,28.64,+1.2%,1711333966,29.15,27.59,26.50,30.83
Isogen,53.63,+0.5%,320607011,54.22,53.43,46.94,54.84
Nocxium,83.05,+9.1%,145992791,82.65,84.09,80.19,80.07
Zydrine,1189.40,+4.0%,28675871,1179.89,1204.38,1201.52,1109.26
Megacyte,2166.91,+8.3%,15798842,2163.23,2212.66,1895.70,2100.28
Morphite,5027.03,+0.5%,1337397,4974.62,5170.41,5693.37,4919.48
,,,,,,,
Fuel,,,,,,,
Coolant,1138.12,+2.6%,3284549,1107.82,1279.11,1914.58,1292.53
Enriched Uranium,5080.58,-0.1%,1380616,4991.45,5248.92,4740.00,5300.02
Heavy Water,17.83,+7.5%,23781933,18.61,16.95,18.02,20.26
Helium Isotopes,402.39,-0.7%,9552955,387.89,429.28,566.44,369.11
Hydrogen Isotopes,401.09,+0.6%,94097031,408.48,395.49,400.25,436.06
Nitrogen Isotopes,450.02,+1.3%,22748871,433.99,472.00,603.09,413.79
Oxygen Isotopes,417.26,+9.0%,19105915,405.95,439.02,551.95,396.06
Liquid Ozone,325.94,+7.0%,34603378,328.05,313.58,419.77,289.78
Mechanical Parts,614.85,-1.2%,3746973,622.66,605.69,586.90,641.51
Oxygen,104.71,+3.9%,12286782,109.25,97.05,141.21,120.37
Robotics,6859.21,+0.9%,515047,6959.75,6757.16,2510.00,6948.71
Strontium Clathrates,868.65,+19.2%,1335868,885.39,849.55,551.41,846.74
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,132139.76,-1.5%,117792,132620.73,130403.88,131000.00,141086.11
Armor Plates,197330.81,-0.4%,90134,198502.82,192223.41,200000.00,204541.36
Broken Drone Transceiver,96.75,-0.0%,46307,96.10,98.35,100.00,141.12
Burned Logic Circuit,30308.45,+1.5%,342174,30764.47,28404.84,31000.00,30641.05
