Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.38,+3.1%,24555432878,2.39,2.33,2.50,2.49
Pyerite,4.53,+1.1%,6760612560,4.60,4.37,3.77,4.85
Mexallon,26.78,+4.2%,1778146128,27.07,26.24,22.55,28.50
Isogen,50.19,+0.7%,292256735,51.44,47.49,44.97,52.53
Nocxium,121.21,+3.3%,79616333,125.08,105.74,120.51,120.86
Zydrine,1044.57,+1.4%,28909858,1039.17,1054.92,1106.19,1001.86
Megacyte,2141.60,+2.7%,9352720,2137.61,2185.38,2122.34,2202.50
Morphite,4228.46,+5.5%,903539,4242.96,4196.40,5185.01,4101.23
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,123713.85,+0.9%,140767,123624.84,124009.04,124000.32,129735.09
Armor Plates,227429.30,+0.3%,98997,229243.07,224831.00,218328.61,231102.97
Broken Drone Transceiver,87.13,-74.7%,57796,94.00,49.13,100.00,247.92
Burned Logic Circuit,29941.23,-20.8%,255805,30898.12,29620.61,23367.64,31459.14
Charred Micro Circuit,140.06,+6.1%,397623,148.43,134.65,104.72,406.15
Conductive Polymer,132.22,+13.6%,38412,147.10,51.11,100.50,270.73
Contaminated Lorentz Fluid,184.12,-37.1%,55875,203.76,100.93,100.00,298.31
Contaminated Nanite Compound,2759.18,-20.0%,93154,2992.43,2136.95,114.67,3012.88
Damaged Artificial Neural Network,148.62,+1.1%,33011,148.62,121.26,400.00,330.44
Defective Current Pump,161.22,-1.9%,34281,158.41,184.43,100.00,328.98
Fried Interface Circuit,4745.97,-9.3%,410538,4811.25,4369.59,3697.28,4990.22
Malfunctioning Shield Emitter,248.74,-59.8%,60693,253.35,125.07,100.00,387.27
Melted Capacitor Console,92757.11,+0.2%,36058,93031.16,89773.00,87041.04,86899.53
Scorched Telemetry Processor,86.39,+22.7%,38426,102.15,93.20,100.00,223.24
Smashed Trigger Unit,170.22,-75.9%,244058,200.22,40.36,100.00,315.09
Tangled Power Conduit,273.40,-4.4%,38443,259.93,289.90,120.06,369.83
Thruster Console,108.44,-4.0%,114440,123.67,40.20,100.00,314.58
Tripped Power Circuit,52346.82,+2.3%,414506,54000.28,46377.95,48297.60,54951.44
Ward Console,26904.73,+4.4%,48867,26999.57,26518.42,25000.02,25120.77
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,5829.61,+6.4%,282,6164.96,1612.44,1711.60,6697.80
Capacitor Console,19497133.48,-0.9%,123,19825854.53,17216014.02,11263161.64,19757452.14
