Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.75,-2.0%,225628928311,2.73,2.50,2.58,2.77
Pyerite,6.70,-1.7%,50434404155,6.56,6.14,6.18,6.74
Mexallon,28.56,+0.5%,11996454540,27.89,26.94,24.29,28.78
Isogen,51.00,+0.1%,3335554378,51.25,49.82,50.73,51.03
Nocxium,86.24,-0.1%,2227467114,93.58,90.95,89.83,85.99
Zydrine,1396.52,+0.7%,309739455,1424.72,1432.52,1594.59,1393.85
Megacyte,2724.34,-1.2%,99899698,2680.03,2653.72,2688.92,2729.35
Morphite,5433.97,+1.1%,10308423,5862.30,5626.16,6098.54,5425.76
,,,,,,,
Fuel,,,,,,,
Coolant,1254.96,+2.3%,27641176,1099.91,1230.15,1620.81,1268.21
Enriched Uranium,5301.60,+0.3%,11328560,5399.95,5394.83,4827.30,5300.52
Heavy Water,22.23,+2.1%,314171836,21.38,15.38,16.12,22.35
Helium Isotopes,363.65,+0.7%,183959753,350.23,433.79,425.71,364.02
Hydrogen Isotopes,367.49,-2.4%,227930067,366.81,339.12,355.06,372.64
Nitrogen Isotopes,367.54,-2.1%,699239754,406.66,399.56,412.51,367.13
Oxygen Isotopes,379.08,-0.2%,337137763,400.02,425.71,465.38,378.01
Liquid Ozone,290.99,+2.3%,224548147,310.17,306.09,315.72,289.90
Mechanical Parts,637.72,-0.6%,33793739,630.20,615.61,570.59,639.29
Oxygen,115.68,+3.7%,107007906,109.20,95.71,158.54,117.24
Robotics,6940.33,-0.1%,8407568,6959.29,6786.43,5941.21,6945.98
Strontium Clathrates,819.19,-0.2%,15955430,842.66,928.06,1021.09,815.15
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,139293.06,+0.8%,375795,137502.28,134210.21,135494.72,140131.35
Armor Plates,226120.37,+1.7%,662919,217067.46,199215.92,217594.81,227120.76
Broken Drone Transceiver,71.01,-4.2%,313953,100.19,98.30,100.00,67.09
Burned Logic Circuit,31850.22,+0.2%,1675957,31936.25,29045.07,30810.39,32007.18
Charred Micro Circuit,143.15,-17.6%,2041073,143.35,110.01,73.83,144.34
Conductive Polymer,129.74,-3.3%,219748,123.69,100.01,119.33,130.74
Contaminated Lorentz Fluid,154.87,+1.5%,213442,186.32,88.32,100.00,152.11
Contaminated Nanite Compound,2982.15,-1.2%,370926,2899.83,2017.59,2800.71,3025.56
Damaged Artificial Neural Network,306.51,-3.5%,260815,300.00,438.93,451.55,300.92
Defective Current Pump,216.62,-0.5%,151644,191.29,154.64,126.14,221.39
Fried Interface Circuit,4227.64,+1.0%,1825815,4370.12,3893.19,4400.08,4222.25
Malfunctioning Shield Emitter,214.38,+1.9%,237860,216.74,100.02,300.00,214.24
Melted Capacitor Console,76699.00,+6.1%,197081,78752.59,81540.54,91339.06,76392.89
Scorched Telemetry Processor,151.72,-3.4%,263841,138.12,125.37,124.95,153.05
Smashed Trigger Unit,118.07,-3.3%,415060,105.42,104.99,100.00,124.33
Tangled Power Conduit,219.18,+105.4%,205019,253.06,315.00,4499.75,150.55
Thruster Console,145.31,-16.5%,447379,51.00,162.12,100.90,154.14
Tripped Power Circuit,44949.15,+2.7%,1574313,44450.84,38834.62,41926.76,45410.28
Ward Console,20064.59,+0.0%,287295,20876.26,20159.61,22000.00,20011.70
,,,,,,,
Datacores,,,,,,,
