Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.50,+1.9%,34431011455,2.54,2.40,2.58,2.69
Pyerite,5.32,+2.3%,7426149595,5.45,5.00,5.28,5.80
Mexallon,26.81,+0.6%,2124339472,27.12,25.94,26.40,28.54
Isogen,51.64,+2.2%,419090969,52.92,48.06,50.39,53.19
Nocxium,130.51,-6.5%,117680327,128.79,130.48,153.08,121.10
Zydrine,1395.55,+5.0%,20846436,1394.95,1376.86,1455.09,1347.64
Megacyte,2862.00,+1.8%,10813091,2859.29,2827.48,2982.83,2892.23
Morphite,5716.06,-2.3%,662146,5676.70,5936.46,5222.20,5571.00
,,,,,,,
Fuel,,,,,,,
Coolant,1211.42,-5.1%,5689326,1136.38,1809.70,1838.52,1226.59
Enriched Uranium,5435.26,+6.2%,1897195,5553.10,5422.59,5120.60,5300.13
Heavy Water,22.06,-13.9%,33257100,24.74,20.39,23.33,24.93
Helium Isotopes,354.81,-4.6%,12129784,342.25,392.74,393.76,316.31
Hydrogen Isotopes,328.99,+4.6%,167217755,335.52,322.12,340.81,360.08
Nitrogen Isotopes,361.73,+4.2%,24118149,348.84,380.39,474.60,317.00
Oxygen Isotopes,363.33,+0.7%,27710943,365.01,360.85,515.60,344.78
Liquid Ozone,339.65,-11.9%,26799053,310.00,357.37,388.07,276.62
Mechanical Parts,617.36,-2.3%,4736929,625.31,609.51,605.61,644.13
Oxygen,106.37,+2.5%,19760230,109.25,98.19,129.50,113.89
Robotics,6912.51,+0.8%,778114,6992.60,6815.32,7200.00,6955.89
Strontium Clathrates,767.41,-18.3%,2125576,749.32,770.93,1337.11,629.37
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,128565.39,+1.9%,120129,127897.90,132803.06,127368.20,132738.12
Armor Plates,226253.45,+1.5%,124481,228816.64,212308.52,226883.87,227934.06
Broken Drone Transceiver,43.50,+19.4%,52822,34.10,45.01,100.00,124.20
Burned Logic Circuit,29558.62,+3.7%,414647,29652.29,28138.22,31190.72,30287.24
Charred Micro Circuit,88.66,+8.7%,490144,93.01,59.48,96.88,133.12
Conductive Polymer,52.76,+89.5%,29233,31.85,100.63,100.00,209.27
Contaminated Lorentz Fluid,211.58,-52.7%,102224,221.45,110.75,123.25,223.88
Contaminated Nanite Compound,2038.30,+6.4%,106400,2013.69,2192.45,2001.50,2573.71
Damaged Artificial Neural Network,474.32,+5.4%,24600,368.23,258.10,634.55,407.60
Defective Current Pump,179.97,-44.4%,29956,191.17,157.01,113.69,342.55
Fried Interface Circuit,5397.07,+5.9%,650143,5547.76,4371.82,5853.32,5110.87
Malfunctioning Shield Emitter,295.09,+1.7%,89881,327.01,86.13,300.09,341.17
Melted Capacitor Console,81874.27,+3.3%,39194,82627.11,67392.56,89541.63,76594.21
Scorched Telemetry Processor,155.89,-35.9%,43050,175.37,159.76,102.44,228.29
Smashed Trigger Unit,50.53,+97.9%,202830,52.58,36.97,100.00,160.43
Tangled Power Conduit,565.26,-58.1%,71315,352.07,847.35,100.00,265.69
Thruster Console,85.90,+16.4%,86523,58.76,161.89,100.00,162.12
Tripped Power Circuit,43740.93,+1.3%,409583,44091.44,42543.64,42578.96,44980.30
Ward Console,21815.11,+0.8%,37415,21953.14,22371.25,24058.84,19736.50
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,181503.21,-0.3%,339,182798.66,189145.82,216410.78,140464.54
Datacore - Caldari Starship Engineering,229358.32,-15.0%,511,168623.91,259147.93,343947.33,146803.56
Datacore - Electromagnetic Physics,109029.05,-32.8%,738,105018.16,107725.00,194639.18,86633.33
Datacore - Electronic Engineering,313557.53,-2.0%,5829,314701.53,311506.33,229694.46,301336.11
Datacore - Gallentean Starship Engineering,203804.64,+8.1%,2595,205374.07,180480.70,118105.08,188278.12
Datacore - Graviton Physics,111084.20,+26.5%,1193,96511.98,134485.67,305272.25,105095.34
Datacore - High Energy Physics,158563.98,+0.3%,2884,190739.51,154730.88,203429.10,189058.16
Datacore - Hydromagnetic Physics,419202.38,-7.1%,1680,413958.19,449944.44,467812.78,390185.69
Datacore - Laser Physics,200556.46,-1.5%,2418,189095.73,230072.90,239116.72,192913.83
Datacore - Mechanical Engineering,379632.95,-5.5%,32524,401287.43,368493.13,366274.37,423074.22
Datacore - Minmatar Starship Engineering,386067.43,+2.4%,11310,430788.36,358376.95,405496.57,433678.11
Datacore - Molecular Engineering,292635.21,-0.9%,806,327408.20,292635.21,372342.11,272410.78
Datacore - Nanite Engineering,233186.17,+1.5%,1952,236737.97,211403.87,296026.32,186413.98
