Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Stolen Formulas,0.00,+100.0%,22,0.00,0.00,0.00,0.00
Symbiotic Figures,5966735.03,-11.2%,86,1900205.08,8000000.00,0.00,4711476.00
Test Reports,9812502.25,+39.3%,31,10000004.50,9625000.00,0.00,10588210.94
Tuning Instructions,8108200.17,-8.5%,78,8155842.29,7203000.00,0.00,8034011.01
User Manual,2321999.82,-18.1%,75,2346666.36,2100001.01,0.00,3197996.99
War Strategon,15000000.12,+112.2%,19,15000000.12,0.00,0.00,20247763.39
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,119.05,+8.5%,11110642,118.21,124.87,0.00,108.63
Fermionic Condensates,22581.33,-10.9%,22052,22322.40,29799.59,20000.11,18168.37
Fernite Carbide,114.72,+2.7%,30947899,119.55,110.47,105.04,112.54
Ferrogel,13262.84,+5.3%,141862,13085.94,13578.75,0.00,12855.90
Fullerides,1072.76,-0.7%,2968714,1055.95,1157.28,516.22,939.93
Hypersynaptic Fibers,4097.20,-3.3%,417666,4370.11,3887.47,575.28,3833.90
Nanotransistors,2926.77,+2.6%,2444969,2857.00,3385.45,2396.83,2549.07
Phenolic Composites,651.26,+36.6%,707458,637.74,690.90,32.15,589.91
Sylramic Fibers,204.70,-0.9%,19303977,204.21,209.12,201.00,201.94
Titanium Carbide,125.83,-2.4%,11188830,123.05,129.99,48.37,114.50
Tungsten Carbide,113.08,+10.0%,3058111,108.46,174.12,30.01,110.11
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,578.02,+193.3%,2426,495.28,392.34,16675.00,790.67
Central System Controller,3876.67,-11.0%,152,4201.90,3001.11,3000.00,12901.14
Defensive Control Node,7841.76,-10.7%,161,8957.39,5701.10,3000.00,14202.75
Electromechanical Hull Sheeting,682.96,-5.6%,33349,743.21,528.41,100.00,1283.17
Emergent Combat Analyzer,668.40,-21.7%,651,810.99,368.04,0.00,1621.30
Emergent Combat Intelligence,2771.82,-0.8%,177,3107.84,1611.09,3000.00,14636.89
Fused Nanomechanical Engines,548.96,+131.9%,2504,420.97,755.37,6013.00,2108.60
Heuristic Selfassemblers,1222.63,-5.3%,809,1448.01,388.06,5000.00,3231.62
Jump Drive Control Nexus,5363.75,-12.1%,186,6750.74,2501.10,1500.00,14725.51
Melted Nanoribbons,4841524.27,-3.0%,3198,4873101.43,4821811.52,1400002.26,5173999.56
Modified Fluid Router,21424.81,-0.9%,23863,21845.06,20087.75,10.00,26868.43
Neurovisual Input Matrix,697.21,+3.2%,6464,705.42,675.90,500.00,817.10
Powdered C-540 Graphite,955.89,-13.3%,13638,1001.60,869.32,780.00,1314.79
Resonance Calibration Matrix,1162.80,+127.5%,636,679.18,687.69,17461.54,4410.11
Thermoelectric Catalysts,5141.95,-20.6%,173,5455.56,4201.10,0.00,23188.53
,,,,,,,
Ancient Relics,,,,,,,
Intact Armor Nanobot,13118149.86,+22.0%,18,0.00,0.00,0.00,13118149.86
Intact Electromechanical Component,0.00,+100.0%,11,0.00,0.00,0.00,0.00
Intact Hull Section,66500000.00,-11.7%,9,66500000.00,0.00,0.00,81752342.36
Intact Power Cores,0.00,+100.0%,11,0.00,0.00,0.00,0.00
Intact Thruster Sections,12873760.05,-41.7%,17,0.00,0.00,0.00,12873760.05
Intact Weapon Subroutines,60000000.00,-91.2%,8,0.00,0.00,0.00,60000000.00
Malfunctioning Armor Nanobot,5000000.00,+45.0%,32,5000000.00,0.00,0.00,7793884.01
Malfunctioning Electromechanical Component,2382914.72,+0.9%,27,0.00,0.00,0.00,2382914.72
Malfunctioning Hull Section,21000000.00,+50.0%,17,21000000.00,0.00,0.00,23451001.04
Malfunctioning Power Cores,12741725.31,-24.9%,33,0.00,0.00,0.00,12741725.31
Malfunctioning Thruster Sections,3627500.00,+6.8%,23,3627500.00,0.00,0.00,0.00
Malfunctioning Weapon Subroutines,14644271.35,-3.0%,29,0.00,0.00,0.00,14644271.35
Wrecked Armor Nanobot,111723.62,+24.6%,84,77525.68,10000.00,1000000.00,32621.42
Wrecked Electromechanical Component,1220.00,+82091.1%,70,1220.00,0.00,0.00,35000.00
Wrecked Hull Section,10000000.00,+71.8%,37,10000000.00,0.00,0.00,4837672.61
Wrecked Power Cores,979.91,+25457.6%,83,1566.51,100.01,0.00,23680.73
Wrecked Thruster Sections,1012.00,+49337.1%,78,1012.00,0.00,0.00,14925.72
Wrecked Weapon Subroutines,113638.27,+1429.7%,74,115002.00,100001.00,0.00,445000.00
,,,,,,,
Hybrid Datacores,,,,,,,
Datacore - Defensive Subsystems Engineering,5779.27,+55.4%,647,8186.97,2237.50,0.00,7943.80
Datacore - Electronic Subsystems Engineering,4667.94,+40.6%,439,7371.64,2251.00,0.00,6022.68
Datacore - Engineering Subsystems Engineering,3547.62,-3.1%,686,4774.79,2239.12,0.00,6808.42
Datacore - Offensive Subsystems Engineering,5123.08,+684.9%,550,6046.83,2340.00,0.00,8566.73
Datacore - Propulsion Subsystems Engineering,4184.95,+2089.2%,538,5046.24,2331.00,0.00,7500.00
,,,,,,,
Hybrid Decryptors,,,,,,,
R.A.M.- Hybrid Technology,198102.93,+79.9%,315,170150.58,320210.53,0.00,0.00
Amarr Hybrid Tech Decryptor,109715.69,+620.2%,81,69773.81,296111.11,0.00,91000.09
