Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.76,-0.2%,31660939811,2.80,2.68,2.70,2.95
Pyerite,7.00,-0.1%,8725534942,7.11,6.70,6.54,7.51
Mexallon,28.60,+0.4%,2299981152,28.98,27.43,27.20,31.02
Isogen,54.29,-1.2%,374753141,54.78,53.17,53.53,55.81
Nocxium,87.00,+3.8%,133253134,86.00,89.06,88.81,82.26
Zydrine,1149.12,-0.8%,22123067,1128.12,1179.27,1343.90,1153.48
Megacyte,2029.93,+3.5%,11856817,2002.05,2026.00,2333.95,2101.25
Morphite,4906.79,-9.8%,755866,5028.70,4461.62,6285.92,5113.93
,,,,,,,
Fuel,,,,,,,
Coolant,1176.21,+4.8%,3469901,1107.72,1344.22,2129.83,1192.23
Enriched Uranium,5365.22,-1.3%,1751568,5482.22,5291.48,5139.28,5300.43
Heavy Water,19.93,+2.7%,43003181,19.08,20.43,31.28,22.30
Helium Isotopes,397.54,-2.8%,13779391,383.68,490.32,446.55,363.83
Hydrogen Isotopes,439.87,+3.3%,139451446,444.30,436.05,437.20,479.64
Nitrogen Isotopes,469.34,-0.2%,18188323,451.57,490.22,616.30,427.27
Oxygen Isotopes,501.26,-1.6%,26277424,496.64,500.82,561.73,455.60
Liquid Ozone,398.18,-8.4%,32133379,395.57,395.64,437.97,344.57
Mechanical Parts,628.60,+0.7%,4137262,642.23,623.96,595.52,659.01
Oxygen,107.69,+5.9%,14409578,109.25,106.20,105.90,117.04
Robotics,6880.16,+0.7%,681716,6958.02,6804.09,7000.00,6930.46
Strontium Clathrates,1000.40,-2.9%,2225521,1049.62,810.30,1928.36,875.33
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,136225.97,+1.3%,143350,135577.93,138149.10,137586.96,145085.47
Armor Plates,197179.79,+0.5%,110796,198360.79,191098.51,198257.91,203381.46
Broken Drone Transceiver,123.97,-3.5%,82155,130.91,98.37,100.00,140.38
Burned Logic Circuit,30922.15,+1.2%,436122,31474.08,28689.30,30760.27,31763.16
Charred Micro Circuit,205.80,+0.3%,410802,228.38,135.57,115.82,443.28
Conductive Polymer,157.09,+0.2%,66103,162.05,149.15,100.00,110.09
Contaminated Lorentz Fluid,147.04,+5.3%,62397,168.13,73.03,100.00,229.89
Contaminated Nanite Compound,2618.71,-4.9%,122576,2622.73,2448.98,3000.00,3159.42
Damaged Artificial Neural Network,403.89,+0.5%,105138,415.96,339.53,441.78,234.06
Defective Current Pump,172.79,+3.7%,28984,186.84,112.13,101.01,326.01
Fried Interface Circuit,3374.70,+4.8%,411663,3269.29,3504.76,4000.00,4401.79
Malfunctioning Shield Emitter,408.26,-8.4%,88577,435.28,324.51,300.00,384.28
Melted Capacitor Console,99800.76,+4.9%,32768,97462.30,113151.48,99084.28,94891.85
Scorched Telemetry Processor,287.88,-11.3%,90057,306.87,125.67,120.03,214.28
Smashed Trigger Unit,163.64,-7.5%,271172,172.94,128.45,100.00,121.43
Tangled Power Conduit,430.43,-1.8%,100101,456.90,266.67,400.28,240.24
Thruster Console,153.37,-9.7%,96616,157.39,147.91,100.00,215.28
Tripped Power Circuit,38834.20,-1.1%,465233,39611.47,36796.74,36139.89,39371.17
Ward Console,23470.82,+0.4%,68075,23918.50,18524.20,22000.00,19454.25
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,148880.70,+15.4%,2132,138286.90,184390.24,0.00,126759.23
Datacore - Caldari Starship Engineering,149529.23,-10.8%,833,176068.49,135490.34,0.00,172609.44
Datacore - Electromagnetic Physics,99349.15,+3.6%,1048,98134.81,100955.99,0.00,90119.65
Datacore - Electronic Engineering,238426.07,+3.9%,6392,232986.74,251408.70,230000.00,205360.27
Datacore - Gallentean Starship Engineering,175295.46,-4.0%,3624,177077.81,171349.23,248019.95,183509.45
Datacore - Graviton Physics,120451.20,+85.7%,1860,100000.00,147820.83,0.00,80832.45
Datacore - High Energy Physics,183987.45,+8.3%,4047,192103.07,177775.86,0.00,199851.26
Datacore - Hydromagnetic Physics,655377.95,+1.7%,2129,671200.89,642605.76,0.00,511757.82
Datacore - Laser Physics,194375.88,-14.7%,1837,171159.68,213008.35,230000.00,120781.89
Datacore - Mechanical Engineering,318851.88,+0.2%,37361,320792.19,317153.89,314792.38,340377.30
Datacore - Minmatar Starship Engineering,328057.12,-2.3%,7350,339615.74,309954.71,360535.91,347965.91
Datacore - Molecular Engineering,357673.64,-9.6%,3040,363704.79,336052.64,421999.99,336463.93
Datacore - Nanite Engineering,233848.81,+4.5%,3974,232827.11,238009.99,180000.00,181299.45
Datacore - Nuclear Physics,341083.34,-1.4%,4682,354996.08,310998.89,219499.74,330052.17
Datacore - Plasma Physics,215950.70,-3.6%,1258,195506.12,243776.69,0.00,151880.60
