Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.37,-1.5%,23405556374,2.39,2.34,2.35,2.50
Pyerite,4.53,-0.6%,6704587895,4.68,4.32,3.77,4.81
Mexallon,25.97,+3.8%,1821331420,26.33,25.48,22.55,28.09
Isogen,50.11,-2.0%,279655168,51.47,47.38,44.97,52.02
Nocxium,118.79,+2.7%,69596152,124.31,106.97,120.51,119.72
Zydrine,1058.60,-7.0%,25601338,1053.36,1080.46,1211.43,1004.83
Megacyte,2182.89,-8.5%,9174386,2174.60,2210.36,2552.64,2211.69
Morphite,4219.45,+5.8%,685686,4228.92,4315.78,5185.01,4107.35
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,123713.85,+0.9%,140767,123624.84,124009.04,124000.32,129723.89
Armor Plates,227429.30,+0.3%,98997,229243.07,224831.00,218328.61,230522.15
Broken Drone Transceiver,87.13,-74.7%,57796,94.00,49.13,100.00,279.89
Burned Logic Circuit,30451.57,-3.1%,377982,30898.12,29620.61,28988.69,31699.27
Charred Micro Circuit,141.51,+4.3%,494741,147.88,134.65,104.72,429.48
Conductive Polymer,132.22,+13.6%,38412,147.10,51.11,100.50,276.88
Contaminated Lorentz Fluid,184.12,-37.1%,55875,203.76,100.93,100.00,298.31
Contaminated Nanite Compound,2759.18,-20.0%,93154,2992.43,2136.95,114.67,3011.75
Damaged Artificial Neural Network,134.56,+9.3%,37999,142.96,121.26,400.00,334.53
Defective Current Pump,161.22,-1.9%,34281,158.41,184.43,100.00,337.39
Fried Interface Circuit,4724.97,-7.2%,389726,4885.40,4369.59,3697.28,4960.63
Malfunctioning Shield Emitter,275.35,+15.1%,74069,313.79,125.07,100.00,388.04
Melted Capacitor Console,92689.02,-0.7%,39189,93031.16,89138.66,87041.04,86899.53
Scorched Telemetry Processor,86.39,+22.7%,38426,102.15,93.20,100.00,221.02
Smashed Trigger Unit,170.22,-75.9%,244058,200.22,40.36,100.00,315.09
Tangled Power Conduit,273.40,-4.4%,38443,259.93,289.90,120.06,363.44
Thruster Console,108.44,-4.0%,114440,123.67,40.20,100.00,326.77
Tripped Power Circuit,51942.91,-13.3%,367689,53554.80,46377.95,48297.60,54420.72
Ward Console,26904.73,+4.4%,48867,26999.57,26518.42,25000.02,25148.20
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,5829.61,+6.4%,282,6164.96,1612.44,1711.60,6697.80
